Gene = SrpRbeta
index = 1522
Annotated 5SS: [188 580]
Annotated 3SS: [272 636]
SMsplice 5SS: [188 580]
SMsplice 3SS: [272 636]
top_k =  500
Partition function (log Z): 1.1362431316858495

Sorted 5' Splice Sites (High to Low Probability):
Position 188: 0.9852079155102582
Position 580: 0.9627213728522637
Position 451: 0.06494035617277157
Position 184: 0.00828895187187453
Position 416: 0.003836781087551991
Position 33: 0.0035464902915198332
Position 1123: 0.001685128091005533
Position 201: 0.0005521536860285427
Position 734: 0.00039736162448061847
Position 1106: 0.00037698314243418435
Position 206: 0.0002917140826340481
Position 949: 0.00019551692094504268
Position 803: 0.00018361038111481328
Position 852: 0.0001743224218171071
Position 351: 0.00015186740588088245
Position 479: 0.00013930352251873078
Position 192: 0.00012888149407529794
Position 770: 0.00011661051890261567
Position 597: 8.69967852649123e-05
Position 955: 7.827440402246631e-05
Position 336: 7.156788893450016e-05
Position 8: 5.3520960232548676e-05
Position 1181: 4.835744472467706e-05
Position 16: 2.780771422240541e-05
Position 1072: 2.7735554830530492e-05
Position 1116: 2.523495831048703e-05
Position 6: 2.438988338425458e-05
Position 545: 1.9898798366281056e-05
Position 227: 1.0327416828540811e-05
Position 998: 7.14724451292619e-06
Position 65: 5.7098628161302076e-06
Position 613: 4.931351399043465e-06
Position 726: 4.7987037694666354e-06
Position 889: 4.078892526554004e-06
Position 60: 2.9038897903958565e-06
Position 584: 2.7134662327037686e-06
Position 157: 2.4751982442438456e-06
Position 1069: 2.396916392113899e-06
Position 1053: 2.2741414071495406e-06
Position 490: 2.090365348560961e-06
Position 754: 2.0143504494914145e-06
Position 72: 1.9998552396935273e-06
Position 572: 1.82702029632629e-06
Position 39: 1.4344732417288945e-06
Position 1169: 1.2529691674870774e-06
Position 536: 1.0112109612994346e-06
Position 643: 9.728933850497605e-07
Position 281: 7.383876070151238e-07
Position 239: 5.394111473665263e-07
Position 455: 5.067323078147182e-07
Position 306: 4.617150935706256e-07
Position 533: 4.407502593976721e-07
Position 1187: 4.0271965389214524e-07
Position 442: 2.6066859708104815e-07
Position 37: 2.5833675558900273e-07
Position 67: 9.705346474385505e-08
Position 259: 6.855939920401689e-08
Position 513: 3.9662127244340945e-09
Position 527: 1.438363349334509e-09
Position 683: 1.3776746791350818e-09
Position 251: 2.880752248008521e-10
Position 628: 4.7059525414263955e-11
Position 663: 2.2488705773722085e-11
Position 689: 1.413722532040437e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 272: 0.9824652552847326
Position 636: 0.9460603856925115
Position 659: 0.03505294805295888
Position 520: 0.03045518136332276
Position 477: 0.0075024061558850545
Position 1180: 0.006336797266086457
Position 880: 0.004578042636190818
Position 367: 0.003364942251184774
Position 689: 0.002141269972779568
Position 294: 0.0019407116054658297
Position 76: 0.0018784390196325633
Position 409: 0.0016787122192612877
Position 706: 0.0014637010340594588
Position 663: 0.0014620823894704092
Position 111: 0.0014519900923180855
Position 1058: 0.0011291097136479715
Position 336: 0.0010417885885553445
Position 559: 0.0008791549741283795
Position 1209: 0.0006583692074346769
Position 607: 0.00046371302370677806
Position 412: 0.00040000461904287715
Position 770: 0.0002057792687757624
Position 351: 0.00019257917128285808
Position 1226: 0.0001394795698850861
Position 1262: 8.757952659884214e-05
Position 313: 6.520780401889041e-05
Position 703: 5.362300509236372e-05
Position 578: 4.5880169598231185e-05
Position 184: 4.33078594761728e-05
Position 754: 3.945904345106357e-05
Position 889: 3.885555952517856e-05
Position 157: 3.440885575462728e-05
Position 786: 2.7549934380354363e-05
Position 450: 1.9199255161969286e-05
Position 783: 1.2568496032875542e-05
Position 744: 7.579242363907152e-06
Position 733: 7.438175742869715e-06
Position 490: 6.635708287726929e-06
Position 724: 4.696507937229228e-06
Position 120: 4.6855631179273465e-06
Position 117: 3.6329285938057687e-06
Position 844: 3.506699232155515e-06
Position 499: 3.3679997348913064e-06
Position 1034: 3.2695227951032427e-06
Position 1088: 3.251004791932652e-06
Position 172: 3.1618207372010815e-06
Position 455: 1.2366325053203606e-06
Position 910: 7.526428191922043e-07
Position 438: 7.19382417757085e-07
Position 980: 5.801324219858442e-07
Position 1239: 1.3063654560308846e-07
Position 126: 6.26495516759487e-08
Position 223: 5.722651990290826e-08
Position 227: 9.2085366378619e-12
Position 133: 8.07249384325247e-12
Position 422: 5.866117972143664e-12
Position 206: 2.1678778642737518e-15
Position 192: 1.4175007813657148e-15
Position 135: 7.887441708754478e-17
