Gene = AGO2
index = 2
Annotated 5SS: [ 360 4005 4226 4891 6004 6466]
Annotated 3SS: [2736 4136 4280 4986 6094 6527]
SMsplice 5SS: [ 110  360 4005 4891 5149 6004 6466]
SMsplice 3SS: [ 176 2736 4136 4986 5820 6094 6527]
top_k =  500
Partition function (log Z): 15.496357711272125

Sorted 5' Splice Sites (High to Low Probability):
Position 6004: 0.9964973205794344
Position 360: 0.9853442970598719
Position 4891: 0.9682792090544338
Position 110: 0.9460877707614094
Position 5149: 0.8360349283305325
Position 4005: 0.749952512053663
Position 6466: 0.6819594482740925
Position 4226: 0.2785271783802072
Position 4451: 0.05677960556573623
Position 4336: 0.051208233847271446
Position 4447: 0.03203875862435946
Position 87: 0.02461339350943946
Position 4877: 0.02075779802230432
Position 4326: 0.01709586388207482
Position 4721: 0.016299970508415387
Position 4495: 0.014008473851643187
Position 6480: 0.01244752388127709
Position 3619: 0.012341249435317236
Position 6606: 0.011762326689215208
Position 6434: 0.011249390639804317
Position 1593: 0.01120639087339378
Position 5192: 0.011146792856401749
Position 6624: 0.010617315102422826
Position 4048: 0.009838463339275755
Position 4938: 0.009421313396002861
Position 4217: 0.00833083983304552
Position 6260: 0.00826871162881625
Position 550: 0.007603112530126416
Position 2865: 0.007352957353551912
Position 2649: 0.007036538639273986
Position 5591: 0.006873984163145587
Position 573: 0.00552033768820838
Position 6308: 0.005323581112293083
Position 5179: 0.004348553702851766
Position 3067: 0.00383552581161131
Position 5700: 0.003823955150545553
Position 2998: 0.0037397616722488303
Position 5758: 0.0035794455291511744
Position 3783: 0.0035181745534730974
Position 2178: 0.0034437969827249403
Position 5482: 0.00310065674975201
Position 4681: 0.003080184844079118
Position 5274: 0.002735405975364277
Position 371: 0.002353936064816813
Position 3136: 0.002200210951103483
Position 1762: 0.002175952610335362
Position 2137: 0.002108532430406736
Position 6758: 0.001945057730511251
Position 3205: 0.001912858233837834
Position 1666: 0.0019021955606433449
Position 3343: 0.001743139341060728
Position 554: 0.001518173543132025
Position 3412: 0.0014249149286697533
Position 5146: 0.0014136380660776501
Position 6095: 0.0013775531910423565
Position 4690: 0.0012531146623832418
Position 3274: 0.0012525772042764948
Position 62: 0.0012274596691966122
Position 403: 0.0012233752390824976
Position 2592: 0.0011304649767030935
Position 1364: 0.00105934110325098
Position 3481: 0.001050260659350131
Position 2060: 0.0009373626836956112
Position 3999: 0.0008155777415178016
Position 5286: 0.0007788928221902375
Position 2032: 0.0007725026356388122
Position 3550: 0.0007630357582276328
Position 4192: 0.0007034141637000828
Position 6826: 0.000689427771655733
Position 2389: 0.0005982299047538575
Position 386: 0.0005832466371013271
Position 6102: 0.0005253867079961835
Position 5025: 0.0005201799356109954
Position 5979: 0.0005049031066435728
Position 1507: 0.0003461397567203835
Position 3586: 0.00034443484735505284
Position 1567: 0.0003405924819326797
Position 4455: 0.0002991484953512205
Position 3034: 0.0002632397685081559
Position 1692: 0.0002458386620402721
Position 2703: 0.0002263680675745679
Position 6613: 0.0002016160464243639
Position 2965: 0.0001941973451860706
Position 2929: 0.0001561896896565008
Position 3379: 0.00015401988000889052
