Gene = Hmgcl
index = 1213
Annotated 5SS: [111]
Annotated 3SS: [169]
SMsplice 5SS: [111]
SMsplice 3SS: [169]
top_k =  500
Partition function (log Z): -6.597502792853374

Sorted 5' Splice Sites (High to Low Probability):
Position 111: 0.998288821010509
Position 41: 0.00254938922958794
Position 332: 0.0015560145062417086
Position 1088: 0.0012482464746990587
Position 1055: 0.0010643932598319475
Position 46: 0.0006087567301259246
Position 518: 0.0004632528881912765
Position 1093: 0.00044821820433698327
Position 402: 0.0003811556772598115
Position 1015: 0.00034119625183832395
Position 200: 0.00024706005594780337
Position 473: 0.0002057119798617159
Position 764: 0.0001752929301762597
Position 215: 0.000171461597738005
Position 819: 0.00012564743234302076
Position 395: 0.000114415015332457
Position 1007: 7.363301269663781e-05
Position 231: 4.9961306750870044e-05
Position 73: 4.994416463042777e-05
Position 665: 4.089250556826828e-05
Position 628: 3.674830144100266e-05
Position 502: 3.3925023724405596e-05
Position 347: 3.0911908178666896e-05
Position 374: 2.2577152354171126e-05
Position 679: 1.4352721550369649e-05
Position 947: 1.4318928639749004e-05
Position 668: 1.4150674659719873e-05
Position 773: 1.3874516392480947e-05
Position 585: 1.335427309034131e-05
Position 636: 9.550050431012863e-06
Position 292: 8.500425703844097e-06
Position 479: 7.462917694935175e-06
Position 723: 5.597507116936874e-06
Position 614: 5.036936254818979e-06
Position 1149: 4.409467235163432e-06
Position 1194: 4.29211020036847e-06
Position 1048: 3.443475625415008e-06
Position 617: 3.231462234000683e-06
Position 1199: 3.2003196124018423e-06
Position 866: 2.5234535208217516e-06
Position 944: 2.100289930111017e-06
Position 1171: 1.7931561767577185e-06
Position 919: 1.5613164399009762e-06
Position 869: 1.2153985752397811e-06
Position 983: 1.1516886639313216e-06
Position 1066: 1.0900711107485044e-06
Position 10: 7.50973830621577e-07
Position 209: 2.1069942277343108e-10
Position 179: 1.4732442279074126e-10
Position 447: 6.439046376166814e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 169: 0.9970825284472047
Position 1184: 0.003616480628324164
Position 105: 0.0029418881849886474
Position 572: 0.0010962062418127117
Position 1247: 0.0009021261804970013
Position 302: 0.0007243295961538754
Position 199: 0.0005992170970148111
Position 395: 0.00042900596241222445
Position 436: 0.000316400748537326
Position 533: 0.00013516626682635814
Position 737: 9.839938810254559e-05
Position 823: 9.068487565349267e-05
Position 263: 7.031798708905626e-05
Position 383: 4.5199512299549874e-05
Position 569: 4.070686909813336e-05
Position 186: 3.5728774901667085e-05
Position 514: 2.9513208936112027e-05
Position 355: 2.3217346611914004e-05
Position 457: 2.2849590104556807e-05
Position 416: 2.2783508042767715e-05
Position 1149: 2.0958474492436707e-05
Position 317: 1.8450463106002092e-05
Position 700: 1.7772003436271743e-05
Position 1143: 1.6277817371122385e-05
Position 1132: 1.1492856568041768e-05
Position 1038: 1.0501334404857375e-05
Position 327: 7.994317034425481e-06
Position 1189: 6.041187342370441e-06
Position 788: 5.47378961887561e-06
Position 992: 5.053206355821117e-06
Position 408: 4.8093366663378455e-06
Position 1007: 3.439384580118085e-06
Position 445: 3.4344781961191335e-06
Position 110: 3.298895541853359e-06
Position 1081: 2.2218319610797514e-06
Position 320: 2.1669960751049775e-06
Position 214: 1.5920432058910764e-06
Position 63: 6.095394838954296e-07
Position 1273: 2.506426710302403e-07
Position 73: 8.659644420302068e-11
Position 244: 1.1716650192364088e-11
Position 271: 6.803304318295403e-12
Position 374: 5.966486952816997e-13
Position 277: 8.260536686561239e-14
Position 336: 2.5528617879287867e-19
