Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  500
Partition function (log Z): -0.35655807805951917

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9947358387532
Position 680: 0.9534795905519569
Position 211: 0.6975046426093945
Position 197: 0.037028507559044056
Position 1221: 0.017256431241870294
Position 1431: 0.0037540295602851064
Position 1428: 0.003425698836382163
Position 616: 0.002292424429093234
Position 215: 0.0017099959548962256
Position 1289: 0.0007981789175010709
Position 857: 0.0007565791454932492
Position 684: 0.0005061601970240867
Position 1586: 0.0003517509774777299
Position 788: 0.0003391746967498291
Position 82: 0.0003271100405960578
Position 1358: 0.00026352772553324346
Position 1305: 0.00021857839746173787
Position 571: 0.00014453127514822532
Position 136: 0.00014010317634804027
Position 331: 0.00011666348295777186
Position 1435: 8.986511148394848e-05
Position 286: 8.519111684415953e-05
Position 24: 7.232843790364916e-05
Position 1225: 5.845152434948507e-05
Position 141: 3.897320239974761e-05
Position 844: 3.43363940278831e-05
Position 663: 3.3842402669998e-05
Position 455: 3.066362530237795e-05
Position 1235: 2.6225526378715616e-05
Position 303: 2.5070248563965284e-05
Position 339: 2.217731417732107e-05
Position 353: 2.1709895506791457e-05
Position 133: 2.0449028103748282e-05
Position 1579: 1.1174711998906742e-05
Position 1101: 1.116268611925499e-05
Position 1320: 8.072704553866715e-06
Position 297: 7.273628844631277e-06
Position 1313: 7.250041443284945e-06
Position 968: 7.090428331181421e-06
Position 365: 6.267137940723222e-06
Position 1008: 5.381691865818389e-06
Position 854: 4.9634950926288495e-06
Position 892: 4.871937979067454e-06
Position 1204: 4.0027134289331066e-06
Position 1095: 3.944105021718045e-06
Position 1444: 3.911316198244138e-06
Position 126: 3.370713744840947e-06
Position 517: 3.28675061218315e-06
Position 385: 2.745767568498732e-06
Position 27: 2.5474743035342828e-06
Position 646: 2.0503019954329116e-06
Position 1546: 1.5878479876494648e-06
Position 206: 1.5724032871370162e-06
Position 110: 4.7659154115730544e-07
Position 793: 2.3183358317282673e-07
Position 562: 2.085509020162794e-07
Position 920: 1.0082271148237703e-07
Position 909: 5.0103578158625046e-08
Position 584: 3.349476243965143e-08
Position 1133: 2.4910906151087037e-08
Position 764: 1.635926930852831e-08
Position 1113: 1.2389580724138953e-08
Position 1107: 1.2031452910911215e-08
Position 1119: 3.613983411351443e-09
Position 755: 3.155967215561294e-09
Position 743: 2.989644683188021e-09
Position 740: 2.52400094949843e-09
Position 758: 2.1746335064546692e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9979301372709128
Position 740: 0.9388401128424755
Position 267: 0.454034192316904
Position 338: 0.2177284501127504
Position 303: 0.04674395619274718
Position 1382: 0.019970329370116016
Position 1507: 0.015302902324661204
Position 359: 0.005366414623129357
Position 1089: 0.002769906954698737
Position 286: 0.0027274751688436526
Position 283: 0.002395572159450148
Position 988: 0.0021334406437084168
Position 822: 0.0018737093687942704
Position 309: 0.0015443672149056216
Position 248: 0.0010861434869840353
Position 562: 0.0008266333512336768
Position 959: 0.0006499109891252718
Position 1022: 0.0006482763186260168
Position 385: 0.0006132333192123331
Position 139: 0.00034936614380899216
Position 937: 0.0002708595342217408
Position 1637: 0.00025317138921511067
Position 868: 0.00023021678822269666
Position 793: 0.00017317303023386485
Position 635: 0.00016405524123193916
Position 1431: 0.0001589054633666849
Position 365: 0.0001520150191919976
Position 1289: 0.0001437672020040138
Position 516: 0.00013249899335607683
Position 1630: 0.00011072692641328076
Position 368: 0.00010271214075047707
Position 840: 8.300284664388009e-05
Position 684: 7.340477835049677e-05
Position 1201: 6.33701927244851e-05
Position 1305: 4.3831482258439225e-05
Position 107: 2.7800668002334435e-05
Position 507: 2.4063284885424116e-05
Position 1389: 2.3910907044024687e-05
Position 787: 1.4893089545338768e-05
Position 1095: 1.4044603902790693e-05
Position 1615: 5.783790580429828e-06
Position 1107: 4.119683412215212e-06
Position 77: 1.8302247196029427e-06
Position 1634: 1.6798590021811386e-06
Position 69: 1.4220299246885798e-06
Position 483: 1.2458750577854624e-06
Position 193: 5.083804656738358e-07
Position 227: 4.419658941291869e-07
Position 82: 1.9267429986114231e-07
Position 162: 9.363231815778632e-08
Position 1029: 9.200576336010609e-08
Position 201: 7.466489440205151e-08
Position 110: 7.22082460738454e-08
Position 178: 1.0679013170206694e-11
Position 170: 1.0256206712350135e-12
Position 180: 2.675102523047361e-14
