Gene = RtcB
index = 1459
Annotated 5SS: [1421]
Annotated 3SS: [1480]
SMsplice 5SS: [1421]
SMsplice 3SS: [1480]
top_k =  500
Partition function (log Z): -5.4512903739764855

Sorted 5' Splice Sites (High to Low Probability):
Position 1421: 0.9912516920143187
Position 749: 0.07842607484977135
Position 173: 0.06576700236048726
Position 461: 0.045465495684369125
Position 1724: 0.011484397465143483
Position 1085: 0.009498856744111365
Position 1669: 0.00871716358616358
Position 1709: 0.005190926619828601
Position 134: 0.0018518676104041744
Position 160: 0.0018164542677703884
Position 305: 0.0016377031579050154
Position 1401: 0.0011054123608340704
Position 1732: 0.0008524768233847454
Position 587: 0.0007468456473033558
Position 1425: 0.0006626193711639716
Position 1123: 0.00058229416031114
Position 476: 0.0005492887885729785
Position 890: 0.0005473453150230914
Position 500: 0.00048787639561366996
Position 935: 0.00031624694636630683
Position 715: 0.00019269606913183
Position 1135: 0.00019257462109124757
Position 827: 0.00018402040453288
Position 523: 0.00017186279430156528
Position 1031: 0.00015429565666158937
Position 1240: 0.00011203544556139172
Position 1694: 0.0001090668507866105
Position 454: 0.00010127132907899105
Position 798: 7.766817692902239e-05
Position 1244: 7.702537909723367e-05
Position 1747: 6.42201277593087e-05
Position 1634: 4.849502277277123e-05
Position 1631: 4.751847199940447e-05
Position 591: 4.276921676135506e-05
Position 365: 3.4065109457824606e-05
Position 545: 3.344094791405969e-05
Position 373: 3.246574950816451e-05
Position 1589: 2.589834632034029e-05
Position 309: 1.852548146744656e-05
Position 896: 1.4649500440119723e-05
Position 1622: 1.4158633103433565e-05
Position 5: 1.1048730116180486e-05
Position 1552: 9.616176055511965e-06
Position 850: 7.968288990177407e-06
Position 57: 5.143324658060072e-06
Position 571: 4.394104251632039e-06
Position 242: 3.7543243963571233e-06
Position 25: 3.681551143126272e-06
Position 1644: 3.5517046154306304e-06
Position 232: 3.2347902693415958e-06
Position 138: 2.611931674994907e-06
Position 458: 2.2007127182972143e-06
Position 131: 1.8056560491303711e-06
Position 1202: 1.5501661231564913e-06
Position 1356: 1.4972618581880332e-06
Position 1331: 1.1344547043151288e-06
Position 480: 9.385370608686632e-07
Position 1396: 7.347480796617101e-07
Position 1571: 3.165390441658453e-07
Position 1532: 2.2152912283930006e-07
Position 224: 1.6894911591827308e-07
Position 465: 1.0975166874830463e-07
Position 893: 1.0806796836879101e-07
Position 326: 7.58637946860371e-08
Position 683: 5.772092220699111e-08
Position 122: 5.147021942639828e-08
Position 142: 2.931073697594533e-08
Position 536: 2.1710318324754708e-08
Position 685: 2.1693270670787018e-08
Position 1335: 1.2702424890538587e-08
Position 1361: 1.1577522825734644e-08
Position 234: 1.0136297519803572e-08
Position 1438: 7.290073266632372e-09
Position 1217: 3.4465683390854448e-09
Position 1169: 2.0431746873368954e-09
Position 291: 2.429376678951852e-12
Position 352: 1.4825622017391893e-13
Position 344: 3.151415795333536e-14
Position 504: 3.0033838733252173e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 1480: 0.9980321683293563
Position 1201: 0.07946923864386073
Position 249: 0.03923952644267375
Position 1793: 0.026958002120643844
Position 1356: 0.025137759551021176
Position 1298: 0.014954784553265585
Position 934: 0.011396443615804315
Position 826: 0.005536019173672042
Position 1321: 0.0031716817610171646
Position 1255: 0.002733940589851613
Position 1095: 0.0027239006456273225
Position 532: 0.0026803798632029255
Position 1309: 0.0023380507390135343
Position 1228: 0.001913109905152296
Position 958: 0.001755302547772082
Position 1121: 0.0017468287333914517
Position 1006: 0.0016094730561564152
Position 305: 0.0015130868864879998
Position 1042: 0.001018113216452158
Position 372: 0.0009843058244185287
Position 915: 0.0006724422350964569
Position 748: 0.0005420396148550601
Position 637: 0.0004026933173190826
Position 1767: 0.0003250888909277658
Position 1456: 0.0003168110127419469
Position 1732: 0.00020650145758101485
Position 1132: 0.00019550580437070351
Position 1231: 0.00016526870414825798
Position 529: 0.00015313997664654166
Position 541: 0.0001272122130013002
Position 850: 0.00010403139841663183
Position 1054: 0.00010089144985142616
Position 465: 9.303518405318581e-05
Position 334: 6.913219471975592e-05
Position 331: 6.817768124057844e-05
Position 820: 5.6108790344352097e-05
Position 1528: 5.311067203791728e-05
Position 1381: 4.5930179113527194e-05
Position 1499: 4.127785509760714e-05
Position 604: 2.512676344608117e-05
Position 211: 1.1251674037305157e-05
Position 883: 1.0716820892931682e-05
Position 82: 1.0556093292773977e-05
Position 565: 9.273086657608004e-06
Position 1694: 8.410345754546192e-06
Position 700: 7.219096420471545e-06
Position 889: 6.694692330113121e-06
Position 202: 5.701581873176133e-06
Position 676: 5.254868469348166e-06
Position 199: 5.042766568334806e-06
Position 715: 4.996190904615934e-06
Position 65: 4.031515060618633e-06
Position 1543: 3.856064856532155e-06
Position 1618: 3.2416348808650666e-06
Position 553: 2.9879599336003953e-07
Position 550: 2.7887626626024015e-07
Position 259: 1.9897928232848895e-07
Position 107: 4.2766818700728324e-08
Position 229: 4.057503162170381e-08
Position 338: 3.582281270318352e-08
Position 283: 2.9550241749431217e-08
Position 91: 1.6504031690105674e-08
Position 88: 1.113017697290067e-08
Position 274: 8.964449443952155e-09
Position 126: 3.6986404180093487e-09
Position 694: 3.5664200083359562e-09
Position 109: 1.3861023729271538e-09
Position 640: 8.830719917106964e-10
Position 277: 2.409576486033717e-10
Position 173: 4.629286993988362e-12
Position 154: 2.3834712807598753e-13
Position 169: 8.579687234168449e-14
Position 120: 3.4923844221077764e-14
Position 177: 5.128707076183363e-15
