Gene = Hip14
index = 1212
Annotated 5SS: [ 953 1825 2173]
Annotated 3SS: [1149 1892 2226]
SMsplice 5SS: [ 953 1825 2173]
SMsplice 3SS: [1149 1892 2226]
top_k =  500
Partition function (log Z): 3.4562782159158525

Sorted 5' Splice Sites (High to Low Probability):
Position 1825: 0.9986098421820018
Position 953: 0.9936375540865705
Position 2173: 0.9779876336938518
Position 2346: 0.1507519446961005
Position 1090: 0.1392779806904812
Position 2912: 0.0647218210579453
Position 2612: 0.029064848019864142
Position 2935: 0.020926925162615063
Position 3047: 0.01398452699150919
Position 2927: 0.011887305665309551
Position 1325: 0.008169635115912045
Position 68: 0.00777938634542453
Position 1384: 0.006161418926288262
Position 2280: 0.004309412030701356
Position 2160: 0.004009509285925989
Position 2287: 0.0032585013513855496
Position 2018: 0.002428713948290073
Position 2618: 0.0023464064650612878
Position 1078: 0.0018597236068039584
Position 3227: 0.0014162597964986845
Position 2393: 0.0013734896668693144
Position 1542: 0.0011223908435470603
Position 1962: 0.0007748123524392743
Position 987: 0.000679322066499796
Position 2145: 0.00055823619119318
Position 1102: 0.0005504531870782701
Position 822: 0.0005370093708926381
Position 2138: 0.0005366158389379814
Position 219: 0.0004136827471256926
Position 2946: 0.0003937733616452614
Position 657: 0.00037222079834011866
Position 1831: 0.0003651432460854601
Position 178: 0.00033331363318304995
Position 3539: 0.00033228442838867254
Position 673: 0.0003017673462023514
Position 29: 0.000296714786591221
Position 1290: 0.0002315621340293165
Position 444: 0.00022619904468248412
Position 2271: 0.000225002491266749
Position 962: 0.00019168403433870583
Position 2123: 0.00018544725921899101
Position 937: 0.0001692840287530732
Position 1995: 0.0001561845928094777
Position 1829: 0.00014819732408734358
Position 1531: 0.00014168652186557606
Position 569: 0.00013888245561978181
Position 1752: 0.00013400227904643072
Position 1470: 0.00011509124434415065
Position 2040: 0.00010170637127649958
Position 1059: 7.629236812590932e-05
Position 581: 7.014480129211835e-05
Position 792: 6.527196868249005e-05
Position 1483: 6.168091713710029e-05
Position 550: 5.305438597026726e-05
Position 337: 5.1172793756257544e-05
Position 306: 4.696968671519739e-05
Position 1004: 4.576787873683151e-05
Position 195: 4.551537076101195e-05
Position 165: 4.1204894439497206e-05
Position 167: 3.746460287747282e-05
Position 599: 3.337915375648375e-05
Position 11: 3.166995393851001e-05
Position 1207: 2.5157360537222313e-05
Position 1689: 2.4741332355692337e-05
Position 1018: 2.4506153080579685e-05
Position 1309: 2.3496053689419335e-05
Position 469: 2.070291144363088e-05
Position 1790: 1.6899743570203086e-05
Position 1083: 1.6641934720635913e-05
Position 555: 1.5189934404926197e-05
Position 2701: 1.4166785418683827e-05
Position 522: 1.1453194137869457e-05
Position 335: 1.00765620125632e-05
Position 1117: 9.774410638787463e-06
Position 707: 9.55810095072326e-06
Position 2313: 8.66639733616764e-06
Position 1554: 8.610542574300366e-06
Position 698: 8.514804013426117e-06
Position 2108: 8.48073207603575e-06
Position 1302: 8.011080068685279e-06
Position 1756: 6.396292707993292e-06
Position 225: 5.276406714877701e-06
Position 2010: 4.763406836106304e-06
Position 391: 4.666537392143078e-06
Position 2071: 3.124360170336069e-06
Position 2893: 2.8872891398346675e-06
Position 2874: 2.6976609139918082e-06
Position 1999: 2.4510936119075237e-06
Position 2437: 1.9886032523660163e-06
Position 770: 1.931800946335857e-06
Position 1282: 1.8778543023995045e-06
Position 1997: 1.839351695070526e-06
Position 1150: 1.7107421578142984e-06
Position 2177: 1.4765992938583837e-06
Position 212: 1.4633459852080208e-06
Position 1668: 1.4579560224879365e-06
Position 623: 1.3596149530462042e-06
Position 50: 7.073362876691822e-07
Position 134: 6.018248965478836e-07
Position 2958: 5.63203390558678e-07
Position 1770: 5.110003118401506e-07
Position 2008: 4.775093960930784e-07
Position 536: 4.460466912899537e-07
Position 147: 4.3873827630137434e-07
Position 399: 4.0387737059212736e-07
Position 227: 3.911268665244997e-07
Position 1723: 3.674616905839472e-07
Position 506: 3.2838731289422765e-07
Position 1473: 3.170640033825154e-07
Position 1563: 2.3059090099249281e-07
Position 1476: 1.636665097266247e-07
Position 346: 1.349563206210985e-07
Position 1522: 1.2984100633155233e-07
Position 1710: 6.81550580595443e-08
Position 2321: 4.050101703486576e-08
Position 2096: 6.085481068415437e-09
Position 2490: 4.950625533028508e-09
Position 850: 2.0096331819258803e-09
Position 773: 1.4086735186954336e-09
Position 312: 6.796422327694198e-10
Position 1758: 5.800607537412673e-10
Position 869: 2.60315648376249e-10
Position 1524: 1.5823682102201981e-10
Position 1396: 1.5665023615448798e-10
Position 1575: 1.2598645011716734e-10
Position 1773: 8.290024825452404e-11
Position 1918: 7.228409433139714e-11
Position 431: 4.335448117019129e-13
Position 101: 1.2508955544355656e-13
Position 106: 4.4153868978625105e-14
Position 103: 3.3808393351357484e-15

