Gene = borr
index = 1633
Annotated 5SS: [ 484 1177]
Annotated 3SS: [ 767 1241]
SMsplice 5SS: [ 484 1177]
SMsplice 3SS: [ 779 1241]
top_k =  500
Partition function (log Z): -3.4738572177864087

Sorted 5' Splice Sites (High to Low Probability):
Position 1177: 0.9830720672147272
Position 484: 0.9219277579840226
Position 1437: 0.06921532788445242
Position 198: 0.04495420962682898
Position 1408: 0.018781895001820217
Position 206: 0.008143057516399717
Position 502: 0.006035812270250841
Position 285: 0.0034982752869806683
Position 602: 0.0030952781230634595
Position 1429: 0.0025431466060073615
Position 1181: 0.001424017129779651
Position 593: 0.0013620378759565022
Position 306: 0.0011763908406949158
Position 1166: 0.0010968129915571315
Position 1327: 0.0006465918314700463
Position 1175: 0.0004744230130385887
Position 177: 0.00041701331652240495
Position 1431: 0.0002921190840447489
Position 1443: 0.00018158862956581674
Position 103: 0.00016675994209213645
Position 563: 0.00015816726164682033
Position 82: 0.00015380001615201654
Position 110: 0.00013159575173618096
Position 1136: 8.858580942611624e-05
Position 1505: 7.661569301200582e-05
Position 469: 7.39412991876958e-05
Position 1536: 6.664425256361444e-05
Position 260: 3.121370719536585e-05
Position 488: 2.9819227115560395e-05
Position 894: 1.2957539038887932e-05
Position 804: 1.1804608950261373e-05
Position 667: 1.0629102343067165e-05
Position 1332: 1.0347968368649578e-05
Position 1341: 8.393204696454188e-06
Position 509: 6.780657980671928e-06
Position 108: 4.831195022766925e-06
Position 342: 4.481244291281024e-06
Position 1499: 4.351334526067237e-06
Position 427: 3.591035054004321e-06
Position 8: 3.3108868388245436e-06
Position 760: 2.3396683553687366e-06
Position 1264: 1.9741817281721496e-06
Position 1158: 1.5405569260490967e-06
Position 1026: 1.4999793552311608e-06
Position 1215: 1.450934924350567e-06
Position 1530: 1.3788530696035334e-06
Position 419: 1.014168372661909e-06
Position 909: 7.950234305494291e-07
Position 655: 7.04688927442448e-07
Position 534: 6.285179544031896e-07
Position 657: 5.378851136154526e-07
Position 1510: 4.919219944391422e-07
Position 754: 2.118852802485337e-07
Position 273: 6.70846774359989e-09
Position 1254: 1.3415348088061679e-11
Position 1201: 7.5362676803068e-12
Position 844: 6.995942606503063e-12
Position 1199: 6.168131319054586e-12
Position 621: 1.5166403317904857e-12
Position 1041: 4.3036731134013363e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1241: 0.9296625909143488
Position 779: 0.8379668017825158
Position 1530: 0.0947035532656212
Position 767: 0.08797896109581495
Position 1295: 0.04187287348896897
Position 284: 0.02954754075422327
Position 830: 0.01774667846602312
Position 1066: 0.005917166409622771
Position 260: 0.004752492903091142
Position 1505: 0.004600346397679707
Position 1464: 0.00263286004273585
Position 1578: 0.0020034121110326032
Position 305: 0.0015668847902241675
Position 1249: 0.0012693578906968065
Position 1602: 0.001211579052535552
Position 972: 0.0007184928350661026
Position 1069: 0.000698406434146211
Position 789: 0.0006209974250067578
Position 1510: 0.0005855369277883123
Position 1536: 0.00048427807722547866
Position 238: 0.00046232216698378843
Position 311: 0.00033771459754516187
Position 530: 0.0002842398549818667
Position 254: 0.0002545623138105148
Position 969: 0.00018852769320926592
Position 342: 0.00017305731431127339
Position 1126: 0.0001723179974118679
Position 386: 0.00013637551707288702
Position 1254: 0.00010816432586707925
Position 1374: 8.89043101759871e-05
Position 978: 8.3503026004208e-05
Position 314: 8.204020289779277e-05
Position 999: 6.739498093689656e-05
Position 781: 6.0853807166851846e-05
Position 975: 4.8743489217076616e-05
Position 853: 4.8507892647016215e-05
Position 359: 3.6784799549492856e-05
Position 317: 3.27886728442024e-05
Position 176: 2.3617864557776486e-05
Position 290: 2.1685225872875206e-05
Position 398: 2.1622825279694176e-05
Position 376: 2.0267310004374148e-05
Position 1347: 1.9038844249151297e-05
Position 1041: 1.60469597288585e-05
Position 1401: 1.3062471561303364e-05
Position 1158: 1.1784981871199249e-05
Position 146: 9.942300553589626e-06
Position 1033: 8.304591990321818e-06
Position 786: 7.793818804198355e-06
Position 404: 7.78494186997191e-06
Position 332: 4.976029091931367e-06
Position 801: 4.7451503043441445e-06
Position 1288: 3.3066543643863754e-06
Position 155: 1.7214600721352292e-06
Position 197: 1.4011581133184027e-06
Position 909: 1.213215384529738e-06
Position 433: 1.1515831862662253e-06
Position 981: 1.1179209524195967e-06
Position 82: 9.928752339993175e-07
Position 391: 7.362308131467385e-07
Position 1135: 4.3403960447687826e-07
Position 119: 3.7008131396136687e-07
Position 427: 7.181056559861208e-08
Position 192: 7.137970901979238e-08
Position 469: 6.768134698404133e-08
Position 53: 6.072628919568686e-08
Position 212: 1.2599201164124228e-08
Position 483: 2.125153361219594e-09
Position 60: 8.974123025772025e-11
Position 194: 1.5304585179871198e-13
Position 443: 5.4898653264856074e-14
