Gene = Bdp1
index = 46
Annotated 5SS: [1196 1583]
Annotated 3SS: [1253 1636]
SMsplice 5SS: [1196 1583]
SMsplice 3SS: [1253 1636]
top_k =  500
Partition function (log Z): -3.9893737587266043

Sorted 5' Splice Sites (High to Low Probability):
Position 1583: 0.9934072360733571
Position 1196: 0.860124337047498
Position 1408: 0.1592967049925394
Position 1153: 0.05581034246311365
Position 816: 0.05300308498154977
Position 424: 0.043906331798349456
Position 1803: 0.029465406331518368
Position 1012: 0.020278248394842338
Position 682: 0.018803757994427708
Position 541: 0.013727354996775043
Position 788: 0.012752151047375473
Position 1208: 0.009895567349146761
Position 1056: 0.005208831422899089
Position 1389: 0.0037340837041289804
Position 1170: 0.0033956089897593474
Position 824: 0.002849928983542925
Position 840: 0.0028494025474377622
Position 59: 0.0023699119957248283
Position 960: 0.0021235401353491127
Position 881: 0.0017015142358617697
Position 1138: 0.001649437793926165
Position 2000: 0.0014166222816346143
Position 2043: 0.0010275221250915908
Position 964: 0.0010210691051052913
Position 43: 0.0008687275129851475
Position 2013: 0.0007549909971635652
Position 2366: 0.0007456273260581961
Position 1835: 0.000519466705706466
Position 1383: 0.0004783922277841871
Position 949: 0.00042923000167464145
Position 307: 0.0003206473063579836
Position 526: 0.0003188262164643074
Position 989: 0.0003069910574776603
Position 869: 0.00029798998093381727
Position 1994: 0.00029721946286942854
Position 650: 0.00028272122727411093
Position 1788: 0.00026822507375486325
Position 524: 0.0002674077877799255
Position 587: 0.00024368780511275077
Position 2311: 0.00023999107686861396
Position 2066: 0.0002188854773499081
Position 301: 0.00021820919978769585
Position 1363: 0.00021149438490617668
Position 304: 0.00019799431462872843
Position 518: 0.00017736949104439528
Position 1540: 0.00017096777245560285
Position 324: 0.00016320260402844376
Position 894: 0.0001459542473437941
Position 2348: 0.00012944119471258554
Position 883: 0.00012107762899516188
Position 900: 0.00011184093241306112
Position 1372: 9.231930544255322e-05
Position 87: 8.590480507731125e-05
Position 2314: 7.512265035943025e-05
Position 150: 7.464064780187534e-05
Position 568: 5.9641743805545734e-05
Position 12: 5.8447643305851966e-05
Position 334: 5.354823344198264e-05
Position 1041: 3.9673546946765525e-05
Position 984: 3.877036904262885e-05
Position 137: 3.515002519788757e-05
Position 90: 3.4520525246476116e-05
Position 451: 3.1104553512786616e-05
Position 104: 2.916870795448789e-05
Position 174: 2.887482891989759e-05
Position 110: 2.690570224923014e-05
Position 2057: 2.024406069685676e-05
Position 1313: 1.898995215600854e-05
Position 731: 1.8725100839589223e-05
Position 1016: 1.4348239079559248e-05
Position 702: 1.2270331144574355e-05
Position 2268: 7.916228428958752e-06
Position 1222: 6.896902407219358e-06
Position 1060: 3.5850244974094517e-06
Position 15: 1.1996879310588064e-06
Position 1604: 2.927108652299794e-07
Position 139: 2.39723297004115e-07
Position 609: 2.2805598678341817e-07
Position 1594: 1.4730559040124602e-07
Position 1864: 4.681133791323148e-08
Position 1982: 3.6876488561719874e-08
Position 767: 1.2980031501061535e-08
