Gene = ninaA
index = 1817
Annotated 5SS: [570]
Annotated 3SS: [667]
SMsplice 5SS: [570]
SMsplice 3SS: [667]
top_k =  500
Partition function (log Z): -4.295374826645986

Sorted 5' Splice Sites (High to Low Probability):
Position 570: 0.9962393130172391
Position 48: 0.02360945380233929
Position 28: 0.0043059236616157116
Position 21: 0.002986216312427222
Position 26: 0.0017329171986247285
Position 531: 0.0015261165878346925
Position 177: 0.000857561789896546
Position 795: 0.00043424838243332105
Position 601: 0.0003458125415542965
Position 52: 0.00032090579496813165
Position 15: 0.0003115734058632992
Position 43: 0.0002354892682149408
Position 574: 0.00023165407070395788
Position 424: 0.00015343881722716072
Position 156: 6.227539149344562e-05
Position 200: 4.6323755342638375e-05
Position 333: 3.520618508407583e-05
Position 405: 3.2774563554693e-05
Position 4: 3.244309506773291e-05
Position 297: 2.611497090982381e-05
Position 118: 1.978695987503483e-05
Position 276: 1.8964431812894977e-05
Position 497: 1.8439328152049365e-05
Position 9: 1.7450942036178784e-05
Position 225: 1.5203272608972066e-05
Position 300: 1.5102042797017255e-05
Position 862: 1.4476414112611196e-05
Position 803: 1.1002965413268409e-05
Position 486: 1.0687337492370347e-05
Position 519: 9.076732437636625e-06
Position 137: 4.521879244309856e-06
Position 633: 4.471346259396278e-06
Position 132: 3.650139088452673e-06
Position 65: 9.483935901597708e-07
Position 477: 9.15388613764505e-07
Position 668: 8.427278551254059e-07
Position 470: 6.760750838183697e-07
Position 191: 4.959918121477272e-07
Position 115: 4.3541226542329796e-07
Position 742: 3.2368956860690094e-07
Position 748: 2.1110128524790066e-07
Position 315: 1.5257688821864718e-07
Position 821: 8.151526627494925e-08
Position 108: 1.4840234950252504e-08
Position 89: 1.1863911879109138e-08
Position 707: 8.782214570383984e-09
Position 704: 2.6360060337484026e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 667: 0.9981167967278295
Position 94: 0.03326618081095092
Position 628: 0.001397135624657874
Position 853: 0.0004989808964279306
Position 115: 0.00019612608290461343
Position 321: 5.786643468885028e-05
Position 617: 4.6187847273536606e-05
Position 637: 2.2228993747736692e-05
Position 742: 1.775559711491886e-05
Position 361: 1.4403888107185572e-05
Position 907: 1.3353759083375322e-05
Position 470: 5.951696062211667e-06
Position 395: 5.803876004643966e-06
Position 497: 5.422560614595951e-06
Position 913: 4.7999658700365e-06
Position 872: 3.23884305499737e-06
Position 530: 3.1298768090365774e-06
Position 184: 2.6879431180612753e-06
Position 209: 2.669942193706792e-06
Position 810: 2.561069340656475e-06
Position 271: 1.7267630776317686e-06
Position 221: 1.480602719082385e-06
Position 65: 1.4486138652894625e-06
Position 916: 1.1040697102740283e-06
Position 739: 1.0240548621584771e-06
Position 173: 9.401665992585388e-07
Position 161: 6.428418721182454e-07
Position 418: 5.390411725219178e-07
Position 748: 5.302847960975164e-07
Position 787: 3.7999848049571376e-07
Position 389: 2.7953093296835026e-07
Position 888: 1.6664970298093732e-07
Position 170: 1.1268299680230203e-07
Position 512: 4.2734324277488657e-08
Position 47: 8.538838521711073e-09
Position 582: 4.565153075777261e-09
Position 882: 2.3009438247955665e-09
Position 539: 1.522418300729951e-09
Position 124: 2.0215145104013736e-15
