Gene = CYP3A7-CYP3A51P
index = 422
Annotated 5SS: [   80  4044 12807 14790 17577 17926 19345 20548 21634 24371 26068 27291]
Annotated 3SS: [ 3949 12753 14689 17462 17836 19195 20419 21566 24209 25840 27127 49866]
SMsplice 5SS: [   80  4044 12807 14790 17577 17926 21634 24371 26068 29588 49948]
SMsplice 3SS: [ 3949 12753 14689 17462 17836 21566 24209 25840 29506 49866 50134]
top_k =  500
Partition function (log Z): 1.5462381164780126

Sorted 5' Splice Sites (High to Low Probability):
Position 14790: 0.9882541110360781
Position 29588: 0.9784612008589956
Position 17577: 0.9730045319121712
Position 24371: 0.967425308267797
Position 80: 0.9618359506485599
Position 26068: 0.9037351900222244
Position 17926: 0.8881734496728936
Position 21634: 0.8283114402745825
Position 4044: 0.7425534951083904
Position 4708: 0.6376337619184977
Position 12807: 0.6072680208731509
Position 49948: 0.5857724643993231
Position 27291: 0.5254429283564895
Position 4359: 0.3580888767464642
Position 29355: 0.23746618283878881
Position 13026: 0.22274411039797978
Position 250: 0.17141760122862548
Position 19345: 0.16967730021475863
Position 18138: 0.13071520028740227
Position 25009: 0.12403283852243926
Position 20548: 0.11537898321639523
Position 5996: 0.10110453353847405
Position 5940: 0.0910257517989268
Position 26648: 0.08516986962294217
Position 24805: 0.0782948749167599
Position 18962: 0.07723216882296673
Position 26638: 0.06869894245316516
Position 24048: 0.06655112999583943
Position 23480: 0.06260179891249248
Position 9452: 0.06172769668227557
Position 21315: 0.06102815724435572
Position 26328: 0.0588988413005123
Position 282: 0.05660194434530198
Position 20364: 0.0409211519226792
Position 939: 0.040313720257004595
Position 18291: 0.03923465927118735
Position 22891: 0.036008870108697646
Position 25082: 0.03539191200907582
Position 29740: 0.032870997363535874
Position 2261: 0.030495172596203556
Position 27911: 0.02909660223615561
Position 24405: 0.028448029281325542
Position 14929: 0.02803906205867187
Position 6026: 0.02581541873787056
Position 18094: 0.024270773691723677
Position 4039: 0.024084197560748023
Position 35029: 0.02295136157520533
Position 1331: 0.02179983818445087
Position 21129: 0.021295748034958973
Position 8489: 0.02032975554408908
Position 23594: 0.01985286343910681
Position 16615: 0.017504119462886495
Position 19151: 0.016924343501960062
Position 36218: 0.014789881332061772
Position 33870: 0.014667198532630812
Position 21718: 0.014019002759533326
Position 327: 0.011552588995359192
Position 27846: 0.011001672101559052
Position 18044: 0.010967702964778869
Position 4134: 0.010540718131428492
Position 2279: 0.008866091573768485
Position 17625: 0.008813198782113106
Position 2836: 0.008528535768363996
Position 21664: 0.008451600422285958
Position 2898: 0.008128508038707054
Position 22123: 0.007452566853989878
Position 27212: 0.007343023665592459
Position 35502: 0.00726183685822057
Position 28766: 0.007078937728108488
Position 17292: 0.006738777901988714
Position 25892: 0.006589093893659886
Position 34869: 0.006582021731480773
Position 774: 0.006407746547460353
Position 236: 0.006288974328726849
Position 1577: 0.00573926984001032
Position 21756: 0.005680272254021954
Position 664: 0.0055307142967669564
Position 25940: 0.005328538264203795
Position 863: 0.00486402586533326
Position 22837: 0.004315692932191882
Position 440: 0.004224002265153349
Position 2887: 0.004124882319698635
Position 22773: 0.004089857833144219
Position 17635: 0.003646880457816609
Position 19971: 0.0030921621602887596
Position 36087: 0.0030073660059453567
Position 29764: 0.002931577949192919
Position 27825: 0.002826885835566549
Position 17642: 0.0026597534232921088
Position 21684: 0.0025733340535880533
Position 4347: 0.002532126835975766
Position 24840: 0.002028084833794611
Position 33857: 0.0017044694999638834
Position 4307: 0.0015296363752294372
Position 24749: 0.0015065234199269125
Position 19068: 0.0013894563694339932
Position 33760: 0.0013224831482699373
Position 90: 0.001281620221543332
Position 23797: 0.0011423888743721663
Position 30019: 0.000827335808473602
Position 25004: 0.000814175333853949
Position 34736: 0.0007626077213084161
Position 84: 0.0006803662813311171
Position 448: 0.0003745579346183105
Position 17930: 0.00026925732211399104
Position 18496: 0.00018923986014609685
Position 749: 0.00017431278074713424
Position 17873: 0.0001317327681764988
Position 24815: 7.736590322384161e-05
Position 57: 6.243724390480202e-05
Position 2488: 5.7003951570248504e-05
Position 799: 5.6070706555034556e-05
Position 949: 5.069027451554034e-05
Position 733: 4.1877648359646495e-05
