Gene = PRPF38A
index = 1074
Annotated 5SS: [  316  1276  4127  6637  8061  9428 10084 10296 10823]
Annotated 3SS: [ 1115  4004  6550  7949  9314 10056 10197 10773 12083]
SMsplice 5SS: [  316  1276  4127  6637  8061  9428 10084 10296 10823]
SMsplice 3SS: [ 1115  4004  6520  7949  9314 10056 10197 10773 12083]
top_k =  500
Partition function (log Z): 12.811263172751566

Sorted 5' Splice Sites (High to Low Probability):
Position 10296: 0.9965058336310239
Position 4127: 0.9801886714872091
Position 9428: 0.9694806409499629
Position 8061: 0.9518627657569132
Position 6637: 0.9344877396870966
Position 1276: 0.921072529448716
Position 316: 0.8610811714500451
Position 10823: 0.8566337774190537
Position 10084: 0.6867284697572076
Position 4660: 0.48782042975107515
Position 7761: 0.24420716501253087
Position 7013: 0.2413893019733444
Position 7009: 0.2226519127623136
Position 750: 0.19522292525045487
Position 14083: 0.06431908176851193
Position 505: 0.05896828428877334
Position 10697: 0.05660606573913736
Position 381: 0.05109261425558384
Position 7717: 0.04087832748774243
Position 6995: 0.04053219532388477
Position 9953: 0.040068221380986375
Position 7402: 0.03879371156731391
Position 5408: 0.03800570192323533
Position 13541: 0.03331361476361716
Position 10709: 0.029000051614467805
Position 7571: 0.028064065213310247
Position 2311: 0.019963613245264456
Position 10473: 0.018681363002496246
Position 9697: 0.01813090376583256
Position 12180: 0.017883452646392115
Position 2184: 0.012695169964494022
Position 1150: 0.011112773781700804
Position 3730: 0.00872472706971368
Position 284: 0.008221228343799077
Position 8305: 0.008008058614382287
Position 1843: 0.007910982011001514
Position 117: 0.006496110768920012
Position 4005: 0.005978710988048096
Position 900: 0.005736949944992389
Position 5403: 0.005468355695164776
Position 932: 0.005320404650823944
Position 5721: 0.004440013666602154
Position 9162: 0.0041557508702642285
Position 1920: 0.004055995939203324
Position 11422: 0.003825706232516412
Position 2081: 0.0036229380046187976
Position 2732: 0.0036185746148871775
Position 5451: 0.0033885220232281695
Position 8084: 0.003090728120935377
Position 9085: 0.0030586377728721316
Position 8421: 0.002796132191588959
Position 543: 0.002779476281970675
Position 423: 0.0027317326684530253
Position 1661: 0.0024746085064915424
Position 138: 0.0023969938278213857
Position 5455: 0.0023806712523036255
Position 4834: 0.0023151435212187153
Position 905: 0.002114729130409224
Position 9406: 0.0018273434328944784
Position 4131: 0.0017985211988140908
Position 11618: 0.0017347036856485997
Position 12275: 0.001609739702913391
Position 1904: 0.001561953527670827
Position 7238: 0.0013869178027779577
Position 1976: 0.0012911980336650594
Position 10323: 0.0012289371991049285
Position 6796: 0.0010753881453284422
Position 1918: 0.0009376411190667817
Position 11186: 0.0008325662183291558
Position 46: 0.0007957653055737304
Position 6827: 0.0007836467917258575
Position 410: 0.0007835683021734786
Position 2144: 0.0007538592441262131
Position 816: 0.0007250408491149193
Position 9784: 0.0007028726739666164
Position 10255: 0.0006468497577604566
Position 636: 0.0006279828140217706
Position 8087: 0.0006005416516802454
Position 510: 0.000578580809560666
Position 9902: 0.0005646891051656582
Position 9836: 0.0005461922864629179
