Gene = ZBTB8OS
index = 1592
Annotated 5SS: [  152 15817 16634 16940 18758 23077]
Annotated 3SS: [15791 16511 16856 18704 23039 28635]
SMsplice 5SS: [  152 15817 16634 16940]
SMsplice 3SS: [15791 16473 16856 28635]
top_k =  500
Partition function (log Z): -11.388082925155581

Sorted 5' Splice Sites (High to Low Probability):
Position 16634: 0.9818474122918516
Position 16940: 0.7906165824299328
Position 152: 0.5738467627017877
Position 18758: 0.5258775933147074
Position 15817: 0.3732546771095813
Position 15883: 0.3271973797070711
Position 15852: 0.2662510837885289
Position 18377: 0.2478532372673585
Position 844: 0.2379716277017912
Position 123: 0.15552500485595597
Position 3342: 0.15288398501654982
Position 19482: 0.13676715776894743
Position 144: 0.0848937639848692
Position 156: 0.08061715802121956
Position 183: 0.07484424912814966
Position 17799: 0.07279763855251588
Position 18345: 0.03869705433699386
Position 17323: 0.035373868718071556
Position 483: 0.02367103911062111
Position 1128: 0.01952422012717504
Position 8341: 0.013103131037582375
Position 3081: 0.01001602655247399
Position 18550: 0.009662446393934506
Position 690: 0.008736636826632256
Position 160: 0.0014352699697425713
Position 17909: 0.0009522553585295139
Position 503: 0.000819123860842253
Position 250: 0.0007240864874762017
Position 293: 0.0003338381259203624
Position 2654: 0.00023800150359430967
Position 3031: 0.00020363657128136934
Position 1466: 0.00016649564398025306
Position 2986: 9.11523039343345e-05
Position 150: 7.749311110804946e-05
Position 838: 6.434648445267642e-05
Position 2435: 5.983170268292648e-05
Position 76: 4.9906518521883463e-05
Position 2991: 4.979778064303814e-05
Position 1418: 4.431956781817735e-05
Position 917: 4.2242785257372845e-05
Position 32: 3.86688049735583e-05
Position 1386: 3.49345486960237e-05
Position 3011: 2.6633080765828355e-05
Position 15: 2.2644367038072226e-05
Position 496: 2.01261021709699e-05
Position 2679: 1.6283636830834953e-05
Position 1585: 1.2811865256752233e-05
Position 394: 1.2034883121497058e-05
Position 3231: 1.1649802262176101e-05
Position 10: 1.0718985298156969e-05
Position 3225: 9.554565411016398e-06
Position 343: 9.284908675753234e-06
Position 372: 8.185067782595016e-06
Position 335: 7.718593392449201e-06
Position 416: 4.843704125268838e-06
Position 470: 4.805947532058877e-06
Position 494: 3.1661125711992285e-06
Position 697: 2.319051762216827e-06
Position 239: 1.975717511452982e-06
Position 456: 1.3907916478256288e-06
Position 133: 1.2987322616623128e-06
Position 775: 8.574694343955937e-07
Position 288: 8.250619448302701e-07
Position 732: 7.491378436814277e-07
Position 779: 6.535354013238122e-07
Position 37: 6.406201395617458e-07
Position 763: 4.534524248210206e-07
