Gene = RGSL1
index = 1137
Annotated 5SS: [    33   3895   8248   9988  22412  24397  38202  39057  42984  71964
  77627  80216  80765  82646  90276  98310  98679 101064 103396 104548
 106077]
Annotated 3SS: [  3811   8172   9857  22249  23428  38138  38833  42875  71857  77432
  80097  80643  82515  90100  98170  98553 100953 103308 104480 105877
 110132]
SMsplice 5SS: [    33  22387  27782  38202  39057  42984  65636  80216  80823  82646
  90276  98310  98679 101064 103396 105720 106077]
SMsplice 3SS: [ 22249  27554  38018  38833  42875  65491  80097  80643  82515  90100
  98170  98553 100990 103308 105592 105877 110132]
top_k =  500
Partition function (log Z): -48.875850424383344

Sorted 5' Splice Sites (High to Low Probability):
Position 22387: 0.7351620261355776
Position 3409: 0.6105615937521669
Position 8248: 0.5906468331376211
Position 33: 0.5743965453594059
Position 431: 0.5418888008563122
Position 3895: 0.5301481634834028
Position 9988: 0.43968641668549285
Position 10611: 0.10840965683473024
Position 316: 0.05644045952877864
Position 8268: 0.023437890978678325
Position 1222: 0.0198119981799805
Position 1619: 0.017518273825113416
Position 22412: 0.009848771901841873
Position 10219: 0.0049611167100154984
Position 860: 0.002382457908737629
Position 1694: 0.002102873978889344
Position 5102: 0.0018053670920795525
Position 3386: 0.0013843409318792194
Position 5119: 0.0011813916010538928
Position 10604: 0.001171577236487601
Position 3359: 0.001135448685047479
Position 566: 0.001063752768145147
Position 942: 0.0010253312365595063
Position 8711: 0.0007350446704301362
Position 10159: 0.0004953605108945527
Position 10912: 0.0002881157409768423
Position 139: 0.000273846595906568
Position 3600: 0.0002696826086845195
Position 10589: 0.00015237045243022114
Position 323: 0.00010927445854548306
Position 820: 8.137073229130554e-05
Position 105: 7.807654307655043e-05
Position 273: 7.769946294280364e-05
Position 1395: 3.103069365046161e-05
Position 229: 2.468581460109059e-05
Position 68: 2.2777101452039666e-05
Position 52: 1.665465757968756e-05
Position 788: 1.5599455813893934e-05
Position 37: 1.0840885129605391e-05
Position 483: 1.0658681435104211e-05
