Gene = S100A16
index = 1220
Annotated 5SS: [ 160 1339]
Annotated 3SS: [1159 1644]
SMsplice 5SS: [ 160 1339]
SMsplice 3SS: [1159 1644]
top_k =  500
Partition function (log Z): 0.8129464562723742

Sorted 5' Splice Sites (High to Low Probability):
Position 1339: 0.9954817313092538
Position 160: 0.9095271503875192
Position 439: 0.44687654506915436
Position 787: 0.04184445135451182
Position 1090: 0.02928714933463262
Position 345: 0.025669826509573994
Position 1977: 0.017774728984954836
Position 1725: 0.012647392928102602
Position 313: 0.010837361428585558
Position 820: 0.010291433843449563
Position 166: 0.009867806086429693
Position 1957: 0.008963496842160206
Position 449: 0.004244193716370465
Position 453: 0.00396485025206003
Position 1853: 0.003939197765831684
Position 808: 0.0032614618933857805
Position 413: 0.002977127469658124
Position 1514: 0.0028355272272163915
Position 1111: 0.0027903120508869107
Position 29: 0.0025764530948782964
Position 856: 0.0019147254494608368
Position 353: 0.0008391367475352524
Position 601: 0.0007366859924387435
Position 1094: 0.0006680935579181154
Position 195: 0.0005333951215637417
Position 50: 0.00046019762463111715
Position 1335: 0.00027484907904913375
Position 447: 0.0002711081255243272
Position 2035: 0.00024348095641123801
Position 1569: 0.00014119017816990133
Position 692: 7.366055392998102e-05
Position 528: 7.26842789887481e-05
Position 112: 6.71741806446855e-05
Position 385: 4.687785665590967e-05
Position 2161: 2.826936936183411e-05
Position 1260: 1.9971101971478325e-05
Position 118: 1.9236033814791624e-05
Position 2080: 1.603420931659336e-05
Position 1582: 7.835401550375889e-06
Position 11: 3.8566749493325624e-06
Position 469: 3.532669866097259e-06
Position 1949: 3.4814872507687677e-06
Position 944: 2.4296334224484335e-06
Position 518: 2.1681790710367657e-06
Position 459: 2.0505246711254883e-06
Position 394: 1.8909384730505345e-06
Position 328: 1.8765418987841862e-06
Position 387: 1.8239601063232351e-06
Position 362: 1.5560898794727723e-06
Position 228: 1.3203671487840342e-06
Position 479: 1.2733415093610504e-06
Position 222: 1.1277502385317892e-06
Position 131: 9.023929855193318e-07
Position 47: 7.814933741002092e-07
Position 90: 6.736839563235988e-07
Position 1270: 1.8845504704053655e-07
Position 264: 1.7485335254480777e-07
Position 1120: 1.3755719493186116e-07
Position 236: 7.27691991394728e-08
Position 126: 7.240644960569421e-08
Position 298: 4.94750491324901e-08
Position 206: 3.457084050175298e-08
Position 252: 1.1152857126173113e-08
Position 375: 2.2691512567654645e-10
Position 461: 2.0015478095306442e-10
Position 330: 4.77683767541547e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 1644: 0.9763801344036354
Position 1159: 0.8633523366241603
Position 262: 0.27860887436314274
Position 1172: 0.10159629291615384
Position 306: 0.07957849916804029
Position 590: 0.05279203635308713
Position 2160: 0.03653801952420932
Position 375: 0.03474343674450369
Position 1049: 0.026754043885924044
Position 309: 0.014548051081815751
Position 994: 0.009096544205879612
Position 1169: 0.007198300565133276
Position 267: 0.005808589035254626
Position 1265: 0.0057555080007542095
Position 2200: 0.005635361130777505
Position 889: 0.005302446811660596
Position 1920: 0.004980165452061079
Position 324: 0.004519483007281749
Position 1618: 0.0031257679174460694
Position 859: 0.002837084830274616
Position 1443: 0.0027665009135763845
Position 1865: 0.0026257795627243987
Position 392: 0.0021245353692063203
Position 1212: 0.0017820065939119427
Position 1495: 0.0017627493816442423
Position 756: 0.0017301535055313552
Position 2085: 0.0017076039036876408
Position 1580: 0.0016349194924171655
Position 1651: 0.0016043719024628317
Position 1260: 0.0014792042676208053
Position 328: 0.0013534294203117077
Position 1479: 0.0012978169067031197
Position 2002: 0.0012743239714997664
Position 1540: 0.0011256827082398156
Position 2264: 0.0009574905318472713
Position 486: 0.0007219692978015905
Position 1828: 0.0006304846536440954
Position 394: 0.0006200587075735942
Position 920: 0.0005854105230447488
Position 1894: 0.000544263618586019
Position 149: 0.0005412761540292912
Position 1461: 0.00042144274658822924
Position 765: 0.00039961042618298577
Position 873: 0.0003804055145569043
Position 2066: 0.0003548160829662619
Position 273: 0.0002869369576631737
Position 351: 0.00028596455896667686
Position 596: 0.0002121210837845508
Position 102: 0.00020127836215389394
Position 1427: 0.00018420001679892443
Position 1969: 0.00017838432076936866
Position 2039: 0.00016550101143449793
Position 1741: 0.0001639716381673224
Position 2165: 0.00010231740837792946
Position 698: 7.585486599248497e-05
Position 1056: 6.454328019775371e-05
Position 1178: 5.743583770074454e-05
Position 2178: 5.285303067438094e-05
Position 1782: 5.166138019592485e-05
Position 349: 4.818652225678109e-05
Position 2308: 4.7288102532787e-05
Position 405: 4.418127487857885e-05
Position 264: 4.297834405743021e-05
Position 600: 3.449091617835574e-05
Position 1545: 3.2759130177422006e-05
Position 1715: 3.134570840687577e-05
Position 1878: 3.0274731893609132e-05
Position 1314: 2.242433897154063e-05
Position 631: 2.1785717762556627e-05
Position 842: 1.6014480123112125e-05
Position 844: 1.597967402826065e-05
Position 1110: 1.5609303244404382e-05
Position 2017: 1.3547127576752484e-05
Position 1674: 1.2417989978113775e-05
Position 1548: 1.2012702378866074e-05
Position 1683: 9.72580658388851e-06
Position 1504: 7.3803508638182786e-06
Position 1408: 4.354827208882285e-06
Position 438: 1.1492456497334808e-06
Position 539: 4.8115364365810185e-08
Position 702: 1.2590209933767645e-08
Position 206: 8.664578245943217e-09
Position 202: 8.119695535251255e-09
Position 499: 6.926510351364018e-10
Position 164: 3.531917015299964e-10
Position 175: 2.5385472818795064e-12
