Gene = DCP2
index = 432
Annotated 5SS: [  251  9251 15513 16035 24501 24734 24939 27342 31307 34072]
Annotated 3SS: [ 9098 15384 15935 24347 24620 24830 27205 31201 34019 36584]
SMsplice 5SS: [  251  6126 15513 15852 16035 24501 24734 24939 31307]
SMsplice 3SS: [ 6011 15417 15677 15935 24347 24620 24830 31201 43608]
top_k =  500
Partition function (log Z): 8.137819982151557

Sorted 5' Splice Sites (High to Low Probability):
Position 24939: 0.9998862733562855
Position 24734: 0.9946659880354896
Position 16035: 0.9940947404593101
Position 251: 0.9912112106122092
Position 6126: 0.9518522208642154
Position 15513: 0.9491533463017591
Position 24501: 0.9359081615103408
Position 31307: 0.8843743029053563
Position 6459: 0.767995191611081
Position 15852: 0.6689813914374855
Position 27342: 0.4068187266906288
Position 702: 0.3107143782355894
Position 16438: 0.26124719013945197
Position 788: 0.25174167271318043
Position 12521: 0.16474814127193085
Position 32932: 0.15920111999070574
Position 36657: 0.08923360203919166
Position 32950: 0.07069667000033471
Position 1030: 0.06786633108961429
Position 38511: 0.058926943063758216
Position 28916: 0.05834521316944515
Position 35245: 0.05807226525035153
Position 19927: 0.05563945460018321
Position 36184: 0.05243634664182872
Position 24524: 0.03748047354968243
Position 36801: 0.032761963713436364
Position 33440: 0.026974434507545452
Position 1070: 0.024783985830411946
Position 26114: 0.02276746441205087
Position 16832: 0.021604786124414806
Position 24535: 0.019302658120458532
Position 6205: 0.01662294821422318
Position 31887: 0.016547101766069005
Position 2384: 0.01599808477953515
Position 31824: 0.015880695272949504
Position 36308: 0.014597129279235005
Position 5662: 0.014268333826365756
Position 1819: 0.014192677984814423
Position 19167: 0.014000292710489212
Position 37754: 0.01363641500333671
Position 4436: 0.013294535168876903
Position 17110: 0.013016097583804172
Position 25311: 0.012964416610253233
Position 2749: 0.009964866581917541
Position 21927: 0.00945874263096163
Position 778: 0.008838683903784875
Position 1612: 0.00756653199923443
Position 675: 0.007274551172536238
Position 26782: 0.006984787632635288
Position 142: 0.005811625655796279
Position 1874: 0.005697480728833489
Position 12482: 0.005410518436852662
Position 1093: 0.005345264120152683
Position 6130: 0.005266065614672761
Position 18753: 0.004072243271272505
Position 16676: 0.003932228715849998
Position 1072: 0.0035888662815613632
Position 5268: 0.003444485357496585
Position 12598: 0.0031908092884258953
