Gene = DBR1
index = 430
Annotated 5SS: [  351  1448  3317  4843  7869 11172 11601]
Annotated 3SS: [ 1322  3235  4756  7643 11090 11454 12366]
SMsplice 5SS: [  351  1448  3317  4843 11172 11601]
SMsplice 3SS: [ 1322  3235  4710 11090 11454 11689]
top_k =  500
Partition function (log Z): 0.27446193098332006

Sorted 5' Splice Sites (High to Low Probability):
Position 11601: 0.9924396260439015
Position 351: 0.9426009622792478
Position 1448: 0.8933598253786985
Position 4843: 0.8676334154061142
Position 3317: 0.5309228715776727
Position 11172: 0.42932622528469877
Position 3366: 0.2024606694346468
Position 7869: 0.06278119636265797
Position 324: 0.051582071100072964
Position 1534: 0.04921368726621672
Position 5741: 0.0448565165094335
Position 3740: 0.037521975469655
Position 12746: 0.025877033308150298
Position 4309: 0.011421386463631063
Position 12393: 0.010356116503369693
Position 3947: 0.009027711614668482
Position 4339: 0.008439635209043379
Position 11885: 0.008100553559744343
Position 2947: 0.007323930063673691
Position 3552: 0.006041433796895632
Position 1106: 0.00572805709096689
Position 856: 0.005223725550004216
Position 11846: 0.004797618984127001
Position 2843: 0.0047748401297590375
Position 11954: 0.00384262423582921
Position 486: 0.0033263245459740297
Position 522: 0.0032190687155683835
Position 4383: 0.0031725566774570115
Position 11855: 0.003001088605814341
Position 381: 0.002686175750783773
Position 12599: 0.002403013353998801
Position 1415: 0.00227720565410756
Position 12040: 0.002005087232376224
Position 539: 0.0017240126551117826
Position 12636: 0.001695757296909842
Position 280: 0.0016935518314556747
Position 12434: 0.0015240418536714634
Position 491: 0.001393977310185755
Position 12606: 0.0012878428785276128
Position 682: 0.0011109998824043173
Position 792: 0.001062155644470882
Position 11964: 0.0007706427513712326
Position 1510: 0.0006732231419569794
Position 13213: 0.0006445767810419051
Position 12779: 0.0006305516227118543
Position 12132: 0.0005702267856930552
Position 1881: 0.0005654717494590787
Position 11937: 0.0005370938604451932
Position 1539: 0.0004892523529713274
Position 13699: 0.00042271964586596683
Position 581: 0.00035345093011134076
Position 1452: 0.00034292058294600535
Position 16: 0.000281253966262912
Position 389: 0.00025640433004645935
Position 2363: 0.00025586677012527425
Position 3117: 0.00023849677441831538
Position 4886: 0.00019264453044451853
Position 93: 0.000183121476719108
Position 5337: 0.00017695343896747292
Position 1038: 0.00017531333030955555
Position 2889: 0.00015449768156732113
Position 89: 0.00015160155522955394
Position 112: 0.00012964379525104653
Position 1158: 0.00011751579273464698
Position 3287: 9.365366638638403e-05
Position 1006: 9.090182569014338e-05
Position 160: 8.064254099905175e-05
Position 49: 7.20884036675869e-05
Position 1902: 7.167522188020347e-05
Position 67: 6.83060537250066e-05
Position 2847: 6.657656823987739e-05
Position 997: 5.5662419915886124e-05
Position 534: 3.5766334164315504e-05
Position 551: 3.3872540767508935e-05
Position 967: 2.4720946191494598e-05
Position 11799: 1.852460931558731e-05
Position 453: 1.6515315589549956e-05
Position 3265: 1.550136116237707e-05
Position 937: 1.5163125114624256e-05
Position 12073: 1.474036478670026e-05
Position 3410: 9.120462237682669e-06
Position 1076: 8.544370782928014e-06
Position 699: 7.707631342974395e-06
Position 1595: 6.6873994655316e-06
Position 3370: 6.3691974675718745e-06
Position 517: 6.271689379399367e-06
Position 3250: 6.2490596055785505e-06
Position 1144: 5.734414487222283e-06
Position 1110: 5.620566304643573e-06
Position 110: 5.2114728296949876e-06
Position 12016: 4.536363207788697e-06
Position 1244: 4.424139635476998e-06
Position 4258: 4.1594337072797546e-06
Position 510: 4.086833376010889e-06
Position 466: 2.797340646444676e-06
Position 34: 2.7714164810590338e-06
Position 815: 2.481332453170085e-06
Position 2879: 2.249473408723143e-06
Position 1423: 2.2322698389613158e-06
Position 3236: 2.1919746110255963e-06
Position 527: 2.082249546126016e-06
Position 4245: 1.9000238087763485e-06
Position 2614: 1.8209000204131228e-06
Position 3991: 1.790299622764032e-06
Position 1296: 1.7373081397060107e-06
Position 8640: 1.6486831055236188e-06
Position 3263: 1.5080967160320377e-06
Position 1931: 1.1675804825168252e-06
Position 2942: 1.1205636791286598e-06
Position 3209: 1.0889776578281465e-06
Position 107: 9.500283704729002e-07
Position 2464: 8.701492529747151e-07
Position 4810: 6.253568289208626e-07
Position 11724: 4.133277178082814e-07
Position 166: 3.44307466435816e-07
