Gene = P3H1
index = 992
Annotated 5SS: [  517  4701  7823  8172  9241 11476 11859 12155 14487 14750 16838 18824
 19301 19752]
Annotated 3SS: [ 4547  7632  8039  9100 11385 11805 12032 14358 14653 16686 18705 19224
 19610 20170]
SMsplice 5SS: [  517  7823  8172  9241 11476 12155 14487 14750 16838 18824 19301 19752]
SMsplice 3SS: [ 7632  8039  9100 11385 12032 14358 14653 16686 18705 19224 19610 20170]
top_k =  500
Partition function (log Z): 22.42984961281272

Sorted 5' Splice Sites (High to Low Probability):
Position 19301: 0.9885685662392215
Position 11476: 0.9693191236259597
Position 14750: 0.9610351153393895
Position 18824: 0.952668617169943
Position 9241: 0.9399647544223703
Position 14487: 0.9113505138631022
Position 8172: 0.8982774963590903
Position 7823: 0.8892763512959827
Position 12155: 0.8850267659680546
Position 517: 0.7462836853082003
Position 16838: 0.7373541690548238
Position 4701: 0.5188787787033095
Position 19752: 0.4883494487210778
Position 19771: 0.4292801093939142
Position 10623: 0.4046691670468839
Position 8735: 0.3134889803647783
Position 11951: 0.2707454215803421
Position 9504: 0.1922051751290879
Position 13785: 0.18361201936785485
Position 16750: 0.18281424456803907
Position 20337: 0.17720249139385788
Position 19027: 0.1103504078306562
Position 17694: 0.11026558981290817
Position 12133: 0.10683144595510313
Position 10289: 0.0982649906840544
Position 19953: 0.09560412148148663
Position 6365: 0.08839844282793875
Position 8229: 0.08046748899555625
Position 502: 0.07068680308538697
Position 9828: 0.06950700835841911
Position 11859: 0.0680538319422243
Position 11959: 0.06530903620673799
Position 11884: 0.060032367554008134
Position 58: 0.057647534544481384
Position 148: 0.05029506385599652
Position 841: 0.049113421648439834
Position 10444: 0.04603395628618839
Position 9236: 0.03724766199789072
Position 12853: 0.033290319867104616
Position 13633: 0.03224908063496663
Position 4981: 0.03140450421094046
Position 10325: 0.02953265795340003
Position 11933: 0.028357432701832188
Position 19022: 0.02252867816929955
Position 11486: 0.021628584216604418
Position 13943: 0.016031273137040312
Position 11188: 0.014168606150535296
Position 727: 0.010891182218317454
Position 13843: 0.009383913903049908
Position 1244: 0.00893367103040912
