Gene = GPN2
index = 613
Annotated 5SS: [ 612 1329 4325 6138]
Annotated 3SS: [ 1171  4163  6006 10547]
SMsplice 5SS: [ 168 1329]
SMsplice 3SS: [1171 6006]
top_k =  500
Partition function (log Z): -10.753106699911362

Sorted 5' Splice Sites (High to Low Probability):
Position 1329: 0.7589503383090116
Position 168: 0.6515167213094797
Position 4325: 0.39951806015149716
Position 6138: 0.28823429025275527
Position 612: 0.21480405820906523
Position 103: 0.18137209009130006
Position 6173: 0.16689170648490015
Position 1932: 0.05075603859912541
Position 1893: 0.046932574775993954
Position 1588: 0.031010938860889067
Position 289: 0.028192250692506228
Position 1661: 0.02436460471616833
Position 1401: 0.024253585068338076
Position 700: 0.021605719703910863
Position 1739: 0.01086873110410266
Position 2070: 0.010135731096696745
Position 2056: 0.007584541615152929
Position 543: 0.007569044256422414
Position 5909: 0.006458145171351537
Position 915: 0.005622103662024775
Position 8190: 0.005541850376066503
Position 390: 0.005126698214737759
Position 5725: 0.005035720219866095
Position 3228: 0.0036092537462994526
Position 4008: 0.0034282675177290463
Position 991: 0.003176232305270692
Position 405: 0.0022226345262415853
Position 856: 0.0016010307993691083
Position 359: 0.0013370033196415888
Position 783: 0.0010373316317634643
Position 3821: 0.001016993141286832
Position 905: 0.0009022622257250422
Position 240: 0.0008863996706828021
Position 5042: 0.0004917484657785842
Position 819: 0.00045631752572213166
Position 135: 0.0004045022212465727
Position 4470: 0.0003849147153681494
Position 378: 0.00036197628641100376
Position 1786: 0.0002948462529295663
Position 11: 0.0002855721736476755
Position 828: 0.0002730756556473228
Position 130: 0.0002412644503271441
Position 2022: 0.00023900811552467414
Position 867: 0.00018248543238153815
Position 109: 0.00017466121452031812
Position 20: 0.00016978863230574022
Position 1592: 0.0001671146932769106
Position 650: 0.00014580091035851271
Position 897: 0.00014277287247771412
Position 272: 8.693363769149217e-05
Position 1431: 5.42813804495039e-05
Position 24: 5.159763340093179e-05
Position 82: 4.102657394734873e-05
Position 807: 3.9681948049584565e-05
Position 327: 3.7190554376405175e-05
Position 1451: 3.288047911243868e-05
Position 1809: 1.644873195785186e-05
Position 1232: 1.5745761461484472e-05
Position 365: 9.654450567505527e-06
Position 458: 6.4305005322367655e-06
Position 172: 4.2231115872753146e-06
Position 1414: 3.342311909591229e-06
Position 57: 2.7898208231857185e-06
Position 324: 2.4122732657134805e-06
Position 6: 6.841192214043895e-07
Position 599: 6.486746402015361e-07
