Gene = DFFB
index = 442
Annotated 5SS: [  437  1564  8720 10773 12495 15292]
Annotated 3SS: [ 1436  8530 10692 12323 15190 26225]
SMsplice 5SS: [  437  1564  8720 10773 12495 13038 15292]
SMsplice 3SS: [ 1436  8530 10692 12323 12884 15190 26225]
top_k =  500
Partition function (log Z): 1.8975749936899562

Sorted 5' Splice Sites (High to Low Probability):
Position 12495: 0.9326733828815003
Position 1564: 0.8898247038115602
Position 15292: 0.8368972615218405
Position 8720: 0.7758391532386417
Position 10773: 0.7386853377515962
Position 13038: 0.6647122969401845
Position 15644: 0.48086509919945414
Position 7995: 0.47308470410238074
Position 12324: 0.37487878785284356
Position 437: 0.3642002596972981
Position 100: 0.2676198413125578
Position 16947: 0.2593260719550632
Position 22747: 0.2582601069079826
Position 407: 0.23121232599766325
Position 10794: 0.22798401622891373
Position 16886: 0.21591883830233652
Position 15698: 0.20997663664855035
Position 15660: 0.11959684432262101
Position 1586: 0.10687185812708563
Position 721: 0.09251250898315369
Position 11142: 0.08961314445538034
Position 13259: 0.07835769074137665
Position 6229: 0.07548163490108781
Position 3453: 0.07247035860898765
Position 280: 0.057558814995143884
Position 172: 0.04688472651209489
Position 13847: 0.04122495315099476
Position 8578: 0.03214272062582764
Position 15310: 0.02360642436646789
Position 15857: 0.021857973208494353
Position 228: 0.02128857528340472
Position 26520: 0.021051318766430682
Position 8416: 0.020521325233594085
Position 10912: 0.01941189498999079
Position 899: 0.018444076074173654
Position 22715: 0.018064458999391873
Position 13907: 0.01694348220645401
Position 22981: 0.016725469963958593
Position 13723: 0.01528591624241838
Position 12858: 0.015158116751981497
Position 918: 0.01301809571387593
Position 13879: 0.01257534476640634
Position 8895: 0.012575301161080877
Position 14951: 0.01234844585555202
Position 862: 0.011968695360389688
Position 1213: 0.01176475682111902
Position 10383: 0.011751446422688005
Position 11150: 0.011500447534643066
Position 15939: 0.010643276746313666
Position 95: 0.010503933785128454
Position 8914: 0.010203198514649838
Position 3226: 0.008376220919703652
Position 799: 0.00815217880216222
Position 13338: 0.007896584838050582
Position 10866: 0.007531923665587816
Position 12345: 0.006578333573422122
Position 14371: 0.006544985394393378
Position 13891: 0.0055071829659881525
Position 1366: 0.005276075016084575
Position 60: 0.004895222451498786
Position 12885: 0.0044951004413325245
Position 13102: 0.004464425057729621
Position 9758: 0.00397436589913294
Position 1359: 0.003910364843658999
Position 13574: 0.0036286485750478942
Position 13079: 0.0035202765411174856
Position 495: 0.003457677618344487
Position 709: 0.0034126155533148825
Position 12248: 0.002499835890463537
Position 2128: 0.002467754652094017
Position 1993: 0.0024624378878582475
Position 2526: 0.0021004065286689823
Position 1530: 0.002047864561801543
Position 8282: 0.0019036835653157198
Position 9482: 0.0017605881266939654
Position 8533: 0.001746723046375564
Position 914: 0.00168412048610951
Position 14383: 0.00168255018149862
Position 1179: 0.0016100463800789802
Position 2554: 0.0015330635092032563
Position 12615: 0.0014882955524362065
Position 1362: 0.0013738116308585203
Position 1634: 0.0012479159971980076
Position 12060: 0.0012054060600154477
Position 546: 0.0011717696706385634
Position 376: 0.0011528947942532378
Position 2543: 0.0009965238948414583
Position 8206: 0.000968378262104549
Position 12740: 0.0009677885396827915
Position 13464: 0.0008975439833963256
Position 18639: 0.0007941014357503337
Position 13043: 0.0007541697918862805
Position 17826: 0.000720117858534927
Position 110: 0.0006700807765549322
Position 3598: 0.0006128217807714715
Position 177: 0.0004896811585635627
Position 2210: 0.00046324519112413517
Position 15631: 0.00046302970075232845
Position 1964: 0.00045206024020630147
Position 7388: 0.00043165288345235536
Position 924: 0.00035723873137278103
Position 6276: 0.0003461143457283135
Position 11750: 0.00030203167966488483
Position 15608: 0.00029647566222966524
Position 12567: 0.00022185235636076455
Position 5152: 0.00021578019121048386
Position 142: 0.00019733120859448435
Position 1093: 0.00017365160336640462
Position 12349: 0.00014901957166882905
Position 423: 0.00014102048647210544
Position 13105: 0.0001195519317285891
Position 628: 0.00011013222812642539
Position 13493: 9.852209529524959e-05
Position 11232: 9.238822777710394e-05
Position 2415: 8.464214867313285e-05
Position 105: 7.678579969352641e-05
Position 13481: 7.175421431527364e-05
Position 13359: 5.9278517307228735e-05
Position 292: 5.832469938535028e-05
Position 15580: 4.589994677350148e-05
Position 524: 4.472925661866447e-05
Position 12928: 4.4055230236988435e-05
Position 13526: 4.3826843845747195e-05
Position 13121: 2.752454482804118e-05
Position 8029: 2.50049840969085e-05
Position 13507: 1.2137614200764002e-05
Position 108: 8.799403297226349e-06
Position 25: 6.641336100501056e-06
Position 12981: 5.683209297550243e-06
Position 1613: 5.090243502528616e-06
Position 114: 4.880858480552899e-06
Position 20: 4.191603369984337e-06
Position 2234: 3.628913672900666e-06
