Gene = GNL2
index = 605
Annotated 5SS: [  163  2160  3210  5216  8611 12055 13144 13699 19494 20327 21257 21579
 27071 27647 28249]
Annotated 3SS: [ 2074  3114  5075  8425 11987 12984 13584 19364 20221 21097 21464 26618
 27563 28156 28913]
SMsplice 5SS: [  163  2160  3210  8611 12055 12228 13144 13699 19494 20327 21579 27647
 28249]
SMsplice 3SS: [ 2074  3114  8425 11987 12139 12984 13584 19364 20221 21464 27563 28156
 28913]
top_k =  500
Partition function (log Z): 13.10629967058082

Sorted 5' Splice Sites (High to Low Probability):
Position 163: 0.9963478499057438
Position 21579: 0.9934680251745395
Position 13144: 0.9589483814490118
Position 2160: 0.951633211740934
Position 8611: 0.9329903037392762
Position 27647: 0.9203234546304324
Position 19494: 0.8890692468699996
Position 20327: 0.7968766703234459
Position 28249: 0.771183863244021
Position 13699: 0.6597830378338317
Position 12228: 0.6533408505085242
Position 12055: 0.6410248941086715
Position 3210: 0.6015307728505348
Position 15753: 0.5542317321852633
Position 8309: 0.3925177707232208
Position 22218: 0.3378637093295881
Position 9961: 0.29172717940625176
Position 5216: 0.253899182445336
Position 19828: 0.2006838260713253
Position 21257: 0.19999322034389527
Position 1612: 0.19661571838564773
Position 2823: 0.18064827953733095
Position 3302: 0.17079875521492316
Position 26698: 0.16203580497186454
Position 3564: 0.12433151316096723
Position 20274: 0.11452762102280442
Position 8355: 0.10443966700659377
Position 6962: 0.09994632229977216
Position 7202: 0.08723875022643235
Position 22663: 0.08234199413453197
Position 27302: 0.08192870029555914
Position 13739: 0.07560838658163574
Position 8588: 0.06295985590432018
Position 3947: 0.06087936027899922
Position 27677: 0.05806265381605486
Position 27410: 0.05593334742005987
Position 21304: 0.051895557274104845
Position 27483: 0.047417487308500046
Position 26803: 0.04630691352304996
Position 4977: 0.0453328077069795
Position 23280: 0.037855282331937454
Position 23285: 0.03378820026075525
Position 2294: 0.028965525957017815
Position 2577: 0.02861031334714112
Position 1527: 0.022979481327183682
Position 10226: 0.02293291347895109
Position 19483: 0.01986875700493929
Position 13190: 0.019819495439461612
Position 14509: 0.013024348671569128
Position 3017: 0.013008839327259204
Position 2827: 0.01239003564617326
Position 27071: 0.010596146967251486
Position 21332: 0.01044893314201321
Position 21798: 0.010179699568683413
Position 21782: 0.008289471214120925
Position 488: 0.008158858833637577
Position 28374: 0.007487121354265743
Position 13920: 0.007348195391202928
Position 671: 0.006917452423247688
Position 9131: 0.006670896151681886
Position 23584: 0.006626308189962308
Position 11255: 0.006535249133648927
Position 19709: 0.006205637265296896
Position 22895: 0.0056868983821124425
Position 19719: 0.00542699600867263
Position 2290: 0.005336007931091746
Position 5237: 0.004836963491362369
Position 1616: 0.004376665344946202
Position 26705: 0.003944925161707111
Position 2639: 0.0038328140319384006
Position 903: 0.0034006760288940677
Position 7752: 0.002979228488404104
Position 21068: 0.002901963818512499
Position 1643: 0.00262759760382268
Position 21271: 0.002570532648333671
Position 25215: 0.0021241958793971893
Position 18679: 0.0019665340204926833
Position 12246: 0.001966427090066193
Position 601: 0.0019579857270173875
Position 28581: 0.0018995305554589876
Position 1946: 0.0016999152724947828
Position 22233: 0.0016770847777134246
Position 9113: 0.0016713412894150785
Position 1707: 0.0016604710336843589
Position 28594: 0.0016589810513748394
Position 739: 0.0016399320058127697
Position 695: 0.0015949792116814376
Position 1690: 0.0015170110524248737
Position 4759: 0.0014907051025111993
Position 1961: 0.0014719731144273625
Position 24872: 0.001449399607548456
Position 648: 0.001218331643491953
Position 957: 0.0009604870086778878
Position 11733: 0.0008502538728035331
Position 1150: 0.0008187132527514577
Position 24321: 0.0007948105304135194
Position 1886: 0.0007317286264490995
Position 2847: 0.0006843782683176856
Position 27652: 0.000683025161460424
Position 21590: 0.0006515538799351416
Position 452: 0.0006327542419047549
Position 2930: 0.0006192462507009389
Position 1400: 0.0005093818703068991
Position 2171: 0.0005064194081307052
Position 21830: 0.0004810239831778025
Position 471: 0.00047495143633879153
Position 1477: 0.0004594486592894486
Position 27919: 0.0004551324213672482
Position 21951: 0.0004439195648739633
Position 1063: 0.0004382833960227424
Position 3205: 0.00039968651693861914
Position 1684: 0.00036526817373925044
Position 3766: 0.0003408924760936944
Position 953: 0.00032659385115380794
Position 204: 0.0003180259882803369
Position 3359: 0.00027531410176569003
Position 1659: 0.0002580589647537293
Position 57: 0.0002366854477588644
Position 1915: 0.000221076214069741
Position 102: 0.00021613857888721876
Position 1087: 0.00021485758785651286
Position 28488: 0.00020270178191823563
Position 113: 0.00020093081884233304
