Gene = TIFAB
index = 1400
Annotated 5SS: [191]
Annotated 3SS: [2449]
SMsplice 5SS: [ 191 5954]
SMsplice 3SS: [5868 7887]
top_k =  500
Partition function (log Z): -5.9149644243839905

Sorted 5' Splice Sites (High to Low Probability):
Position 191: 0.9993871753211926
Position 5954: 0.8804761938003687
Position 6736: 0.16213446424160793
Position 436: 0.14735786370539067
Position 4288: 0.14237262527412234
Position 6277: 0.08778768450652077
Position 1782: 0.050479447997555285
Position 7514: 0.04752683366464549
Position 3645: 0.04666805623814355
Position 5687: 0.045083530804208356
Position 7742: 0.034253904772981514
Position 5382: 0.025122221988057507
Position 2487: 0.021280316135133485
Position 4872: 0.017985314818403583
Position 2735: 0.017982792562523997
Position 2047: 0.017134020217764823
Position 1436: 0.005397697692641632
Position 2367: 0.0053160888594217005
Position 1441: 0.005150100467171701
Position 1978: 0.004207573638395027
Position 1534: 0.0027985741499889183
Position 6995: 0.0020857029489849566
Position 4313: 0.0015667996462867813
Position 2242: 0.00154492800093301
Position 6052: 0.0008975968174808448
Position 68: 0.00040316178516513926
Position 1620: 0.0002613964890009479
Position 6032: 0.00017902603148948018
Position 423: 0.0001463351872725165
Position 661: 0.0001046221439006547
Position 241: 6.77968455513588e-05
Position 1450: 6.316687814019196e-05
Position 1810: 4.532276420620812e-05
Position 883: 4.370157565605018e-05
Position 3252: 3.985104163726465e-05
Position 1635: 3.4180899348308344e-05
Position 2265: 2.3017137367221015e-05
Position 2375: 2.064372827581205e-05
Position 487: 1.3692338721048358e-05
Position 1207: 1.1167695196969685e-05
Position 1705: 1.0629847265536258e-05
Position 2341: 9.920779555795469e-06
Position 455: 7.416503143129948e-06
Position 413: 5.959202497357162e-06
Position 1498: 5.93963689781838e-06
Position 1951: 5.527347039154692e-06
Position 1099: 5.361276749544228e-06
Position 2232: 4.960732128508638e-06
Position 1825: 4.807214218357195e-06
Position 175: 4.685642260163165e-06
Position 1801: 4.135571931185156e-06
Position 587: 4.084278935351216e-06
Position 195: 1.1084911123133963e-06
Position 72: 9.36867633532606e-09
Position 875: 3.9859858437374327e-10
Position 319: 7.018520869297205e-11
Position 82: 3.487652762292424e-11
Position 400: 1.1064000219375684e-11
Position 329: 5.711258031818627e-12
Position 283: 2.3731932463074025e-12
Position 335: 1.2655935579110965e-12
Position 285: 1.1037993541705839e-13
Position 301: 2.6552786725231778e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 5868: 0.8727252771799787
Position 7887: 0.3480470028435898
Position 6503: 0.2494971126423759
Position 4200: 0.1038357930294081
Position 6538: 0.10231277351810836
Position 344: 0.0994282479190604
Position 7664: 0.09293097952646166
Position 7247: 0.07499156207445104
Position 6173: 0.07059814462941824
Position 309: 0.05110419474581978
Position 1694: 0.04768773858569179
Position 7017: 0.046040046272058814
Position 7719: 0.04044032031359015
Position 5562: 0.03841342659294954
Position 7402: 0.035068622154120946
Position 6216: 0.03263994636136195
Position 5814: 0.03224479305215169
Position 2449: 0.02975755089221245
Position 4220: 0.029254665997188966
Position 3565: 0.027410236517624018
Position 6806: 0.02159277838423695
Position 7994: 0.01945237271651667
Position 7644: 0.01921924889846076
Position 8111: 0.018678642429506565
Position 1951: 0.01781907003581254
Position 7362: 0.0167972699169733
Position 7959: 0.012680065433243176
Position 5501: 0.011883399833210698
Position 7195: 0.010577647559505186
Position 6229: 0.009488318179492965
Position 4169: 0.009447355458478938
Position 4750: 0.00912174030477987
Position 5306: 0.008933403702068722
Position 5320: 0.008755165727003113
Position 4651: 0.008446402543834584
Position 1231: 0.007733140720766243
Position 5254: 0.00720376905080937
Position 3344: 0.006993560536055901
Position 2585: 0.006937300334186055
Position 7805: 0.006568980754792486
Position 7667: 0.0063729409950845145
Position 3478: 0.005958605259423967
Position 4105: 0.0047746686893615125
Position 1764: 0.004649884053715143
Position 3548: 0.004583327821843157
Position 322: 0.004347306678082929
Position 2986: 0.004138536296274093
Position 3597: 0.003833992766754213
Position 7977: 0.0036656369857652714
Position 7929: 0.003618786223434866
Position 7478: 0.0034978320023838837
Position 2111: 0.0033920478510389884
Position 6614: 0.003284710542750412
Position 7416: 0.002909244620613791
Position 5834: 0.0028047372624077967
Position 2114: 0.002689121539710488
Position 1351: 0.002202604448572904
Position 1511: 0.0020992841691683333
Position 7103: 0.001993583979808705
Position 2549: 0.0019749891508443577
Position 1291: 0.0018834332885781656
Position 2005: 0.001840575781859302
Position 8148: 0.0017182216627656855
Position 1718: 0.0016818477089638828
Position 2416: 0.0015887287860028585
Position 6758: 0.0014647332255428545
Position 2606: 0.0014314277423649283
Position 8017: 0.0013852659788688975
Position 5251: 0.0013631069295098007
Position 4277: 0.0013410784426533308
Position 2307: 0.0011400374061719177
Position 4721: 0.0011275400426093412
Position 4459: 0.0010817896358000206
Position 1271: 0.0010741509541269377
Position 6480: 0.001053342052154517
Position 2687: 0.0010113622304857655
Position 6143: 0.0010041837664300996
Position 4440: 0.0009916909413616082
Position 5717: 0.0008636013739523147
Position 2194: 0.0007842704310793756
Position 2784: 0.0007795088432276404
Position 1849: 0.0006812217912886572
Position 2008: 0.0006663122014300021
Position 2263: 0.0006303838150461237
Position 1878: 0.0006136383905211431
Position 4254: 0.0005929424589429256
Position 2875: 0.0005787188548379382
Position 2390: 0.0005489382925763673
Position 6108: 0.0004949694356853493
Position 3532: 0.00045789249649621204
Position 6556: 0.0004560071622948219
Position 2600: 0.0004169137793903822
Position 2940: 0.0004121101731039893
Position 2350: 0.00041045707076038635
Position 5694: 0.0003991425202432975
Position 989: 0.0003902364405990975
Position 6112: 0.00038621662851141727
Position 6003: 0.00038268407311066796
Position 4443: 0.0003423373356291198
Position 6263: 0.00029598308121923266
Position 485: 0.0001963341890676174
Position 6061: 0.00019265890048975233
Position 5700: 0.00017436112028427047
Position 649: 0.000164996974573672
Position 5936: 0.00014918749525964453
Position 2770: 0.00010982357092645143
Position 2066: 8.80419921526751e-05
Position 3382: 8.488874302972594e-05
Position 6086: 6.680203666360842e-05
Position 1334: 6.600529660299201e-05
Position 2997: 6.501675227490486e-05
Position 1657: 6.3055041275479e-05
Position 2854: 5.313803673964248e-05
Position 3387: 5.28392642557884e-05
Position 1158: 4.9842111798511985e-05
Position 2221: 4.963961561351386e-05
Position 583: 4.9219256835100765e-05
Position 400: 4.899393555959304e-05
Position 1043: 4.708775031969929e-05
Position 2333: 4.553498924405572e-05
Position 1704: 4.131278913963713e-05
Position 2145: 3.895185281744039e-05
Position 2642: 3.5697791941081324e-05
Position 1929: 3.566549321962722e-05
Position 1082: 3.373257415848812e-05
Position 3444: 3.143531507640096e-05
Position 507: 2.409253915023108e-05
Position 1397: 1.7919813946055296e-05
Position 2117: 1.1859159921015979e-05
Position 1484: 9.33105562845006e-06
Position 1607: 9.257757257555305e-06
Position 2169: 9.196261101386676e-06
Position 1548: 8.99783518842957e-06
Position 1567: 7.732015547952828e-06
Position 1357: 7.484927264152864e-06
Position 145: 6.585622462142126e-06
Position 1738: 6.451738832743769e-06
Position 827: 5.128505845907663e-06
Position 6913: 4.611447605797404e-06
Position 6898: 4.311944732088988e-06
Position 1858: 3.959470415097983e-06
Position 784: 3.760830196889358e-06
Position 1797: 3.7041414812904195e-06
Position 1965: 3.3319508027854825e-06
Position 536: 3.006437458963258e-06
Position 1306: 2.8436594057209775e-06
Position 1419: 2.8076748645131437e-06
Position 660: 2.8030066338041645e-06
Position 1642: 2.7454551430031105e-06
Position 2468: 2.2572295865082927e-06
Position 563: 1.907079756367786e-06
Position 1487: 1.390557866233148e-06
Position 363: 1.1950841971547554e-06
Position 1344: 1.0337100350483247e-06
Position 1323: 9.26001583344322e-07
Position 540: 7.760339392165918e-07
Position 1735: 7.367227413961894e-07
Position 1630: 6.73056371199354e-07
Position 1516: 5.936571205347048e-07
Position 1580: 5.731656072522656e-07
Position 154: 5.611954446393691e-07
Position 432: 4.7315759180291876e-07
Position 1440: 4.3727426292023375e-07
Position 752: 4.153702049111633e-07
Position 473: 3.5570307874408767e-07
Position 608: 2.784017951959998e-07
Position 1595: 2.6567314514271806e-07
Position 374: 2.158918870050438e-07
Position 1051: 2.0474293726302234e-07
Position 1086: 1.9578795941172846e-07
Position 147: 1.9330873565874625e-07
Position 549: 1.375329721284743e-07
Position 869: 1.294366343321016e-07
Position 417: 8.523148728570504e-08
Position 1884: 1.831830723563818e-08
Position 1862: 6.631918926603028e-09
Position 1318: 8.568186582639742e-10
Position 283: 8.158431548725323e-10
Position 1142: 7.873007568127048e-10
Position 1310: 3.586084617731346e-10
Position 805: 1.542293550165276e-10
Position 603: 1.1006556178773449e-10
Position 268: 2.978391198014057e-11
Position 256: 2.4615797090744726e-11
Position 434: 2.4324846891136485e-11
Position 190: 1.0855149452989248e-11
Position 429: 8.306051976245062e-12
Position 253: 8.267736698544635e-12
Position 406: 7.531012012586395e-12
Position 230: 2.2709802297413542e-12
Position 160: 6.645079463931571e-13
