Gene = POLR1E
index = 1051
Annotated 5SS: [  189   872  2005  3466  6781  7769  9342 10052 12290 14987 15910]
Annotated 3SS: [  767  1927  3379  6721  7623  9233  9954 12155 14904 15777 17107]
SMsplice 5SS: [  872  2005  3466 10052 12290 14987]
SMsplice 3SS: [ 1927  3379  9954 12155 14904 17107]
top_k =  500
Partition function (log Z): 11.088064875426685

Sorted 5' Splice Sites (High to Low Probability):
Position 3466: 0.9823658493029617
Position 10052: 0.9699533645338511
Position 12290: 0.9652352568154229
Position 872: 0.9480327499978561
Position 2005: 0.902058823855019
Position 7769: 0.8325511314887007
Position 14987: 0.6414206300340358
Position 15910: 0.5217736167844365
Position 15135: 0.5136440368065569
Position 16833: 0.43066014052617313
Position 6781: 0.4075309403010424
Position 189: 0.3140269357752219
Position 6309: 0.2940753450199524
Position 9342: 0.19815861743044516
Position 15535: 0.16688704312618544
Position 2340: 0.15813017911352079
Position 6445: 0.1578173201022812
Position 8175: 0.1539258611732766
Position 10426: 0.15224143790864572
Position 1825: 0.11318908955297681
Position 244: 0.08651648859057116
Position 16940: 0.07671651669831905
Position 7360: 0.07272118454551417
Position 7514: 0.06860688289942575
Position 504: 0.060837853849011074
Position 15334: 0.05710651741177002
Position 10925: 0.05273988364693555
Position 12058: 0.04539881808615257
Position 12426: 0.04489255146182608
Position 444: 0.035474545231715754
Position 12048: 0.03310803232767095
Position 12274: 0.029038391441543545
Position 4598: 0.026238995865959232
Position 8371: 0.023529466730843027
Position 11362: 0.018752216566650486
Position 7483: 0.018636195529099467
Position 16767: 0.018324968679420458
Position 2432: 0.016765125781207205
Position 16173: 0.01664579615458631
Position 3782: 0.014935709057956569
Position 2613: 0.014422506298337004
Position 8076: 0.01420225680002307
Position 10612: 0.013312822139347116
Position 6493: 0.012190019635157789
Position 15028: 0.011348734607797385
Position 142: 0.010973840950510442
Position 8066: 0.010439555180470886
Position 135: 0.007283283642875511
Position 12716: 0.0065331321380010165
Position 10282: 0.00508529615313808
Position 2296: 0.004803661516793505
Position 15396: 0.0046385607230070075
Position 6426: 0.0044846700459404394
Position 13262: 0.004425413164265637
Position 12411: 0.0043802278766531325
Position 4788: 0.004360990114787775
Position 2925: 0.00396445500120463
Position 125: 0.003781146481986569
Position 7973: 0.0037445073723682398
Position 57: 0.0032161574253954787
Position 2931: 0.0030118930661818845
Position 2266: 0.0029384130773726738
Position 14393: 0.0026976001287168042
Position 11208: 0.0024351321253401215
Position 636: 0.00234792277546714
Position 182: 0.002206047168887128
Position 13140: 0.002160026074102008
Position 1415: 0.0020177879039557285
Position 14194: 0.0019168460808767873
Position 15900: 0.001867268920806553
Position 1370: 0.0017804881064520499
Position 12277: 0.00171781768110626
Position 6185: 0.0016559059255930567
Position 2977: 0.0015931356483846648
Position 12864: 0.001551293459896248
Position 12083: 0.0014978622676524891
Position 2544: 0.0012882128675619521
Position 12646: 0.0011027105038626547
Position 1313: 0.0010807024562517773
Position 16436: 0.0010048922024818747
Position 13830: 0.0009384329119504311
Position 2124: 0.0008921789077413972
Position 2630: 0.0008659784963463443
Position 15965: 0.0008641123695973616
Position 2352: 0.00079839724469039
Position 17361: 0.0007904161213448263
Position 148: 0.0007800855292460554
Position 4064: 0.0006740423582035191
Position 8018: 0.0006480878981318186
Position 929: 0.000597207855845726
Position 715: 0.0005844032352531528
Position 2035: 0.0005486675591586155
Position 4348: 0.000544244446161558
Position 13031: 0.0005405940452766863
Position 10785: 0.0005091737124222201
Position 5032: 0.00047859551494329277
Position 17341: 0.00045834077997161714
Position 4014: 0.00037677999717959263
Position 3470: 0.00035847415622734254
Position 7760: 0.00035354790534966585
Position 1855: 0.00031495050740187647
Position 12642: 0.00029794292199988056
Position 6138: 0.0002969246557221112
Position 306: 0.00027224711464691337
Position 3511: 0.0002663577047930908
Position 153: 0.00024311787894624323
Position 1497: 0.00021096620967866632
Position 344: 0.00020264216319385586
Position 3875: 0.00019932122856699825
Position 15032: 0.00016060130881240676
Position 238: 0.00013469945067544461
Position 703: 0.00011136503324395399
Position 409: 9.718593641138632e-05
Position 949: 7.741107290052823e-05
Position 1348: 6.163503977702327e-05
Position 330: 5.994089298994658e-05
Position 4907: 5.131582265140447e-05
Position 6017: 5.043904255843116e-05
Position 876: 4.2141198984322314e-05
Position 1391: 3.492313244102485e-05
Position 12237: 3.400796236599129e-05
Position 411: 3.3114046613987425e-05
Position 485: 1.0470259030127464e-05
Position 1897: 7.733186797682288e-06
Position 212: 6.105919511042496e-06
Position 524: 4.471225684202883e-06
Position 89: 4.286846441907707e-06
Position 14995: 1.7626440150126786e-06
Position 2026: 2.448399185770816e-07
Position 270: 6.200808152260662e-08
Position 127: 6.171649761086301e-08
Position 65: 4.2530407804924417e-08
Position 255: 1.8667042068080645e-08
Position 49: 1.8014166985211895e-08
Position 47: 1.0640066448551905e-08
Position 508: 6.310905560233669e-09
Position 356: 2.197691500019896e-09
Position 820: 1.1036687552145218e-09
Position 77: 4.3500398263498957e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3379: 0.9819322818030218
Position 14904: 0.9566854697504491
Position 9954: 0.9526234661645899
Position 17107: 0.9365421404296514
Position 12155: 0.9289461082043221
Position 1927: 0.8485299573609046
Position 15777: 0.5169286021371464
Position 16739: 0.5005352706894286
Position 6721: 0.3839461745208432
Position 7599: 0.2963662405403076
Position 6165: 0.2929927475730127
Position 7623: 0.21257612503151935
