Gene = BASP1
index = 126
Annotated 5SS: [75]
Annotated 3SS: [58384]
SMsplice 5SS: [   75  5644 11548 17553 25039]
SMsplice 3SS: [ 5400 11406 17451 24951 58384]
top_k =  500
Partition function (log Z): -25.250185039554477

Sorted 5' Splice Sites (High to Low Probability):
Position 11548: 0.9981762564125245
Position 17553: 0.9308617180938927
Position 25039: 0.8035512227334908
Position 75: 0.6942526626358527
Position 11212: 0.6305783098884117
Position 5644: 0.5365783307674752
Position 8172: 0.5248683887454435
Position 5486: 0.443993395176726
Position 988: 0.15104658891024694
Position 9631: 0.1290461985199759
Position 273: 0.08671617189724963
Position 4744: 0.06475783453664616
Position 27126: 0.04077295113019566
Position 10015: 0.03628764893164361
Position 3069: 0.03316958734398778
Position 2109: 0.02454572946052316
Position 1230: 0.023870265704484927
Position 128: 0.01860322904995819
Position 4127: 0.014468517002123222
Position 431: 0.013748750139344996
Position 1247: 0.011758396153187245
Position 5672: 0.00953915032411562
Position 503: 0.0075833070209439125
Position 7377: 0.007122212984037538
Position 3186: 0.0070063566526772725
Position 3629: 0.006701237762621805
Position 3610: 0.005039880896960715
Position 7398: 0.0046735653689666265
Position 247: 0.004088917698947911
Position 11952: 0.004080451065490463
Position 117: 0.003787262195350834
Position 1251: 0.003662911975404942
Position 1452: 0.003332532624156452
Position 5008: 0.0031987034106413714
Position 3621: 0.0030478449564002846
Position 3551: 0.0027703588285487545
Position 2090: 0.002367625125183734
Position 212: 0.002324639643061178
Position 6771: 0.001976093063279327
Position 3159: 0.001947314129608024
Position 3974: 0.0018385901747355608
Position 86: 0.0017540964261783148
Position 285: 0.0016939287570352218
Position 1179: 0.0015422459628399846
Position 3263: 0.0013978921317386653
Position 13698: 0.0013941800881176792
Position 135: 0.001302105040947855
Position 2661: 0.0010044688342213711
Position 277: 0.0009658823678465537
Position 3479: 0.0009440181645780022
Position 2732: 0.0009051923487924519
Position 1333: 0.0008869626989591794
Position 3051: 0.0008431820386055755
Position 478: 0.0007984920970015639
Position 6424: 0.0007446958420919287
Position 2805: 0.000700746826035849
Position 1147: 0.0006865627099033475
Position 6711: 0.0006311754826446911
Position 3801: 0.0005323762381460966
Position 2690: 0.0005237756133259125
Position 7612: 0.0004226243243160658
Position 6668: 0.0004038544853823301
Position 11510: 0.0003887989101512435
Position 6491: 0.000369721829967868
Position 14312: 0.0002547532909862453
Position 7495: 0.00022349205286549298
Position 12646: 0.00010297544659170068
Position 12281: 9.976846144946005e-05
Position 11460: 5.2201740103369226e-05
Position 12166: 5.044483101608649e-05
Position 95: 5.016334182698301e-05
Position 1660: 1.2814851563010556e-05
Position 571: 1.187665665897351e-05
Position 12074: 1.1254485358620175e-05
Position 1458: 1.0789656737947039e-05
Position 145: 1.0199697978473148e-05
Position 614: 9.503646657691677e-06
Position 12025: 9.484048080736432e-06
Position 1297: 5.208623389317563e-06
Position 1519: 3.838815398894351e-06
Position 1463: 3.0889428808088164e-06
