Gene = SOX30
index = 1296
Annotated 5SS: [ 1309  3764  5784 14191]
Annotated 3SS: [ 3523  5603 13697 25698]
SMsplice 5SS: [  195  3133  5784 13585 14191 18646 25783]
SMsplice 3SS: [ 2953  5603 13399 13931 18471 25698 25957]
top_k =  500
Partition function (log Z): -7.55442906433312

Sorted 5' Splice Sites (High to Low Probability):
Position 5784: 0.9724979148156103
Position 13585: 0.9175286973434652
Position 14191: 0.874605953924909
Position 18646: 0.6976446271579985
Position 3133: 0.6621737603858052
Position 25783: 0.4921815614430202
Position 195: 0.48088787726923876
Position 17083: 0.3260023504903401
Position 13793: 0.26681310958662624
Position 96: 0.22868038901659268
Position 175: 0.21363853971282856
Position 3764: 0.12364124387893062
Position 16625: 0.10033654692553926
Position 8719: 0.09318954097870338
Position 13243: 0.07058384800810234
Position 6660: 0.06204140735828304
Position 3360: 0.05864525221868431
Position 4036: 0.04922946468782438
Position 13590: 0.03232940734141141
Position 5744: 0.025607901680995575
Position 2985: 0.02397098150708159
Position 723: 0.022347434512015405
Position 230: 0.021149441643376597
Position 11948: 0.019605821353379082
Position 3826: 0.018676172397873874
Position 1444: 0.018563400834049264
Position 125: 0.0165796379284648
Position 785: 0.013755089698476575
Position 4333: 0.012830592464025467
Position 558: 0.012132792390272859
Position 14354: 0.010877717011505628
Position 3672: 0.010660735127478187
Position 1840: 0.01062902817574962
Position 2465: 0.010275675024714959
Position 4389: 0.008695828458968219
Position 1309: 0.008550719469285973
Position 970: 0.005505547137185645
Position 540: 0.004748031521551433
Position 18555: 0.004709937621530727
Position 3385: 0.004215443266630605
Position 72: 0.0036651454453120688
Position 22468: 0.0029450359861496497
Position 15860: 0.002599240359844081
Position 181: 0.001902849283443824
Position 28: 0.0017598467005372398
Position 242: 0.001320530679619599
Position 3164: 0.0012964341172387412
Position 5127: 0.0011957464254798444
Position 3449: 0.001076503134960521
Position 4613: 0.0008055198387444085
Position 1508: 0.0007139694165907754
Position 157: 0.0007028299022417295
Position 6069: 0.0006573672115553812
Position 289: 0.000641660867482577
Position 11938: 0.0005258731372374709
Position 4833: 0.0004364949263331656
Position 3592: 0.00039710166291029146
Position 13499: 0.00035374479287097565
Position 5788: 0.00022959198861243393
Position 7993: 0.00016511313234862727
Position 3212: 8.503647999157575e-05
Position 1206: 4.9792591324735244e-05
Position 5915: 3.369915077535338e-05
Position 3335: 2.340485008801195e-05
Position 3437: 1.4020486285026462e-05
Position 187: 1.0760190169418328e-05
Position 5780: 9.827208454033871e-06
Position 3349: 8.505662898535867e-06
Position 235: 6.469308115116503e-06
Position 7701: 4.993258058435121e-06
