Gene = IARS2
index = 671
Annotated 5SS: [  382  2125  6548  8176  8311  8503  8676  9461 11959 13050 16836 20373
 31238 32742 40409 42810 43942 45038 46188 47847 49033 51552]
Annotated 3SS: [ 2001  6387  8026  8260  8392  8584  9344 11788 12958 16683 20211 31134
 32647 40299 42706 43815 44905 46080 47700 48841 51406 53390]
SMsplice 5SS: [  382  1514  1680  2125  6548  8176  8503  8676  9461 11959 13050 16836
 19276 22524 31238 32742 42810 45038 46188 51552]
SMsplice 3SS: [ 1385  1596  2001  6387  8026  8392  8584  9344 11788 12958 16683 19229
 22321 31134 32647 42706 44905 46080 51406 53390]
top_k =  500
Partition function (log Z): 20.45422733768803

Sorted 5' Splice Sites (High to Low Probability):
Position 32742: 0.9999998592859476
Position 2125: 0.9929998515484953
Position 51552: 0.9897036628120446
Position 22524: 0.9892467619128581
Position 6548: 0.987141376428439
Position 42810: 0.9799958570913425
Position 382: 0.9609893436093825
Position 8503: 0.9507911706226768
Position 16836: 0.9109226190590208
Position 8176: 0.8747086289889747
Position 13050: 0.8559512404526701
Position 1514: 0.8280055172627904
Position 45038: 0.8258535325477127
Position 46188: 0.8023065391191121
Position 8676: 0.7762761356484336
Position 9461: 0.7322433939993309
Position 19276: 0.6758236856582532
Position 1680: 0.5184472923199945
Position 9669: 0.4957228437394857
Position 11959: 0.48259185907331276
Position 11915: 0.4672321690603871
Position 20373: 0.33245917213559933
Position 2406: 0.31639368585643224
Position 49033: 0.263912378739009
Position 6019: 0.21166120754086498
Position 8680: 0.19609460258718583
Position 21733: 0.15356152587724373
Position 4342: 0.14731804134719798
Position 652: 0.12105974361669891
Position 6121: 0.12015529167591946
Position 8329: 0.11941450807567872
Position 8311: 0.1152073752275847
Position 1080: 0.10967943735135283
Position 13674: 0.1078378689838809
Position 25256: 0.10564248409210669
Position 7459: 0.08928191290962517
Position 13092: 0.08874113484249088
Position 12338: 0.056603484324711684
Position 9249: 0.044402906037478325
Position 12081: 0.040048524989492906
Position 11439: 0.03211547633197703
Position 1466: 0.03036705741663947
Position 8924: 0.029753604706869753
Position 4595: 0.027834470527807086
Position 6818: 0.026905477156980297
Position 478: 0.023718242166525353
Position 13046: 0.022394585401715374
Position 238: 0.021307887463415224
Position 1661: 0.01980224239926559
Position 2730: 0.018191510541836202
Position 21669: 0.01685773765398987
Position 10155: 0.016713209235767093
Position 9706: 0.015450343029577263
Position 243: 0.01338732415787435
Position 2762: 0.013337241558153676
Position 8130: 0.01223112162101782
Position 5996: 0.012173072343153318
Position 42814: 0.011447615970045125
Position 53519: 0.011409861278870906
Position 670: 0.010122381041329877
Position 8201: 0.009916148901016495
Position 6756: 0.009168211146041999
Position 1551: 0.009122305950865172
Position 13348: 0.008888432252043768
Position 719: 0.006951685377196598
Position 8166: 0.006844769944850566
Position 1900: 0.006515539600763079
Position 8145: 0.005977465640514453
Position 4509: 0.005533718067647218
Position 484: 0.005173570092633054
Position 1788: 0.004898682775914237
