Gene = TRNT1
index = 1490
Annotated 5SS: [   75  2273 10538 13733 17795 19708 20788]
Annotated 3SS: [ 2097 10343 13593 17667 19513 20533 20989]
SMsplice 5SS: [   75  2273 10538 13733 17795]
SMsplice 3SS: [ 2097 10343 13593 17667 20533]
top_k =  500
Partition function (log Z): -0.5478415171712783

Sorted 5' Splice Sites (High to Low Probability):
Position 2273: 0.9983624892823364
Position 75: 0.9904632540427197
Position 17795: 0.8408683545497594
Position 10538: 0.7407698681634611
Position 12795: 0.4429930442956988
Position 20788: 0.33817804001769003
Position 13733: 0.31314639424630347
Position 13663: 0.30453784589291455
Position 21095: 0.30404926453066594
Position 1900: 0.254432566448887
Position 13759: 0.24646123958885766
Position 7041: 0.23627203037958303
Position 10558: 0.22716856502029167
Position 7915: 0.22574999284899283
Position 1103: 0.1963808250686316
Position 19648: 0.16636223625870758
Position 19708: 0.1574193097360049
Position 21272: 0.127778939416701
Position 19854: 0.10979600966125452
Position 1927: 0.10599080877851563
Position 632: 0.09977525262518606
Position 8277: 0.08161533240364774
Position 18213: 0.0783720023026503
Position 15995: 0.0663808197820713
Position 762: 0.05297711128644697
Position 1122: 0.04807756183063886
Position 21707: 0.03631223159094327
Position 12771: 0.0346081342267865
Position 12938: 0.03117831224288259
Position 2575: 0.02219679242229198
Position 19656: 0.02118082727220244
Position 11948: 0.020241156223668146
Position 374: 0.019288278047774374
Position 4452: 0.018160931399294887
Position 18197: 0.01501464954883828
Position 13334: 0.010929662029771163
Position 20822: 0.008790961963934753
Position 6074: 0.00869701544197576
Position 12136: 0.007893639520585619
Position 3520: 0.007377176492182227
Position 822: 0.006986371391278037
Position 6886: 0.006722593037998896
Position 4478: 0.006485623543850086
Position 7994: 0.006464873235685581
Position 919: 0.006139693132681935
Position 18240: 0.006128504009457289
Position 1030: 0.0058322018600135495
Position 16143: 0.00583161636792187
Position 1236: 0.004192205689152177
Position 1110: 0.003930646200258806
Position 10748: 0.003700641303372281
Position 116: 0.003361546124613575
Position 20667: 0.0028676721992792354
Position 607: 0.002768179864099
Position 18374: 0.002742964965980854
Position 8009: 0.002453797577073441
Position 5551: 0.002375909309463754
Position 20164: 0.0020269984154459306
Position 243: 0.001987913783842939
Position 588: 0.0019680729645925794
Position 434: 0.0016608680156453273
Position 19866: 0.0013374454054995788
Position 17876: 0.001108353812072576
Position 1947: 0.0008369811859122947
Position 770: 0.0007392483338969576
Position 13896: 0.000698265038739886
Position 1880: 0.000645749587959874
Position 19484: 0.0006051293949832414
Position 1282: 0.0005359196085005722
Position 1500: 0.0002883636901907443
Position 1207: 0.0002648028864990181
Position 2168: 0.00023759119253727095
Position 2395: 0.000182365536576696
Position 614: 0.0001750134137226032
Position 4277: 0.00015351040724644475
Position 1150: 7.992706256141999e-05
Position 4107: 5.382121007066289e-05
Position 952: 4.491375087683078e-05
Position 533: 3.296226927083745e-05
Position 775: 2.9585881904901583e-05
Position 449: 2.6718858605909543e-05
Position 33: 1.4536965411971099e-05
Position 217: 5.0011008583349895e-06
Position 2199: 4.4677141905814776e-06
Position 107: 4.458803500951225e-06
Position 2331: 3.033085891341917e-06
Position 2324: 2.9561396001248493e-06
Position 246: 1.7750159634840625e-06
Position 259: 1.1604639713219092e-06
Position 2177: 9.336036385368297e-07
Position 400: 8.593313801975668e-07
Position 2651: 7.098252452776853e-07
Position 48: 6.467887356375704e-07
Position 422: 6.413442587264062e-07
Position 2482: 5.824629731059683e-07
Position 367: 5.702113220194928e-07
Position 453: 5.002169754033176e-07
Position 351: 4.1282062778728913e-07
Position 2838: 3.8088488649244986e-07
Position 169: 3.778907163519099e-07
Position 2613: 2.2092779490090747e-07
Position 111: 2.1203697642053217e-07
Position 248: 1.8297040512698391e-07
Position 2913: 1.7616057015453186e-07
Position 4: 1.6936881696254435e-07
Position 2889: 1.5750952892212387e-07
Position 2880: 1.5612212986876055e-07
Position 2494: 9.619245786700995e-08
Position 634: 6.227391650391016e-08
Position 2542: 6.152107766102505e-08
Position 17: 4.896693661852417e-08
Position 545: 4.108004901949443e-08
Position 143: 2.7396237212259653e-08
Position 519: 1.5295406646932206e-08
Position 195: 1.5722437327209645e-09
Position 468: 1.0684599587484907e-09
Position 120: 2.0101686581192643e-10
Position 9: 1.0946029598398487e-10
Position 39: 7.772019226376675e-11
Position 506: 1.1733570521367514e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 10343: 0.9581776373102693
Position 17667: 0.8450339022116734
Position 13593: 0.8347789757253674
Position 2097: 0.7920601578686135
Position 20533: 0.6329646111894587
Position 20989: 0.5090866292029942
Position 19513: 0.4238427682958026
Position 12672: 0.4026334376979459
Position 7734: 0.21286363275800174
Position 1029: 0.2097646860482924
Position 6932: 0.1810465279324459
Position 532: 0.17484851424194447
Position 1819: 0.1725580149418065
Position 1787: 0.16463216190032767
Position 2124: 0.11809077970538354
Position 21163: 0.1110626817031849
Position 20926: 0.08208856702950101
Position 8192: 0.08029698364340122
Position 21746: 0.07939258232273881
Position 15829: 0.07759998314659118
Position 2153: 0.07521408785494856
Position 12717: 0.0750205673674951
Position 19744: 0.0731527350831101
Position 18096: 0.07014583366683387
Position 22084: 0.06423614278666895
Position 18117: 0.05585576161135179
Position 21617: 0.04779474770376899
Position 21652: 0.040004246274132516
Position 21971: 0.03607167677573618
Position 6775: 0.03273392950180367
Position 12836: 0.03159667078929366
Position 6963: 0.027148335439880027
Position 21780: 0.026305545378312027
Position 4373: 0.023464810586017838
Position 11864: 0.02142736973695538
Position 13449: 0.021370513230421075
Position 2424: 0.02126744668216181
Position 7812: 0.019704882577791866
Position 19707: 0.017126669960030035
Position 21539: 0.016360345403764697
Position 22007: 0.016334601225693503
Position 1798: 0.01623543211189663
Position 21768: 0.014273461275046912
Position 761: 0.011652127716987032
Position 13185: 0.010929662029771163
Position 2171: 0.009033781498292025
Position 13539: 0.008676186884474009
Position 865: 0.008227711633982226
Position 18134: 0.00748004295550166
Position 991: 0.007071097112911575
Position 10256: 0.006460997137413772
Position 1842: 0.0060838645677469775
Position 21306: 0.005885010085887782
Position 17917: 0.005043762111890675
Position 151: 0.004678916968202613
Position 177: 0.0046594742986369566
Position 181: 0.004581010421126574
Position 5994: 0.004498225339488991
Position 20604: 0.004487526727530038
Position 275: 0.004439824299277592
Position 17875: 0.004296280133009873
Position 11947: 0.0042677778665400215
Position 22058: 0.004216929795042384
Position 2199: 0.004053821195459
Position 5946: 0.004024788762037341
Position 21842: 0.004000414829267941
Position 1172: 0.003731446186612
Position 13732: 0.0036493492678159006
Position 10156: 0.003299798736069471
Position 300: 0.0029520464575862283
Position 19420: 0.0026685493824773325
Position 11806: 0.002614152684789929
Position 3344: 0.0025933000507917933
Position 21061: 0.0025118727817677344
Position 5466: 0.0023759093094637557
Position 3397: 0.002309984706893903
Position 10606: 0.00223171112658922
Position 580: 0.0022315336351733553
Position 21313: 0.002202049979064724
Position 19180: 0.002067142154176342
Position 17988: 0.0020367367166609883
Position 20129: 0.0020269984154459306
Position 1736: 0.0018679677369831903
Position 7686: 0.0018481137034731126
Position 6901: 0.001736504977051124
Position 617: 0.0017053212871104258
Position 7993: 0.0015703833827316674
Position 10690: 0.0014540821338653411
Position 985: 0.0014405865322192986
Position 893: 0.0013653107842317355
Position 17872: 0.0011053828506758234
Position 3423: 0.0009812233440466933
Position 801: 0.0009574552687498034
Position 2481: 0.000933849879669886
Position 4305: 0.0008522865249722331
Position 950: 0.0006351202831463713
Position 3002: 0.000620804011030249
Position 1000: 0.0005014588125329227
Position 3467: 0.00042807465983154413
Position 882: 0.0004269218542867431
Position 814: 0.00035972661185403813
Position 6676: 0.0003293255664013033
Position 3426: 0.00022544076821570382
Position 4238: 0.00021910314011133766
Position 1846: 0.0002157409140096807
Position 4310: 0.00020287316811768997
Position 153: 0.0001977064511842874
Position 1126: 0.00018141510956712868
Position 5930: 0.00017400134044942873
Position 1060: 0.000168648872133194
Position 727: 0.0001590993513037839
Position 1900: 0.00015391229783184922
Position 1432: 0.00014476677923065548
Position 483: 0.00014100713334381715
Position 3295: 0.0001409474420266071
Position 242: 0.00013754862069535598
Position 2196: 0.00011872851395614172
Position 2180: 0.00011618660663310112
Position 1521: 9.369465373065728e-05
Position 739: 9.065423702323615e-05
Position 3139: 8.204627377737343e-05
Position 2105: 7.601591939933819e-05
Position 217: 7.350415223031821e-05
Position 1143: 6.428966614397418e-05
Position 1009: 6.256470693669922e-05
Position 835: 6.251123456192743e-05
Position 1410: 5.370108810984585e-05
Position 10958: 5.36066911495479e-05
Position 1609: 4.732148396673327e-05
Position 3872: 4.580829239086644e-05
Position 4208: 4.465040048390493e-05
Position 1300: 4.4216957227222005e-05
Position 1344: 4.1565058872102274e-05
Position 1070: 4.041083738400674e-05
Position 408: 3.999800016147541e-05
Position 10887: 3.289740013636156e-05
Position 1078: 2.8725968109134376e-05
Position 358: 2.8289443596308306e-05
Position 4253: 1.6883201475175357e-05
Position 10674: 1.4848042917719828e-05
Position 422: 1.3871390302546484e-05
Position 1107: 1.2777571437632191e-05
Position 11022: 1.195783695957363e-05
Position 214: 1.0527830086736265e-05
Position 620: 9.14077862931417e-06
Position 640: 9.03652073872199e-06
Position 1042: 8.74250174084784e-06
Position 3916: 8.080240888058775e-06
Position 392: 6.656959116405555e-06
