Gene = SLU7
index = 1274
Annotated 5SS: [  372  4270  5076  5496  5939  6944 10745 11066 11424 11649 11919 12927
 14364 14586 14955]
Annotated 3SS: [ 4083  4921  5414  5773  6874 10696 10933 11325 11580 11778 12764 14258
 14513 14837 15929]
SMsplice 5SS: [  372  4270  5076  5496  5939  6944 10745 11066 11424 11649 11919 12927
 14364 14586 14955]
SMsplice 3SS: [ 4083  4921  5414  5773  6874 10696 10933 11325 11580 11778 12764 14258
 14513 14837 15929]
top_k =  500
Partition function (log Z): 35.94027690681708

Sorted 5' Splice Sites (High to Low Probability):
Position 11066: 0.9996193111385285
Position 14955: 0.9994671311709891
Position 4270: 0.9951777220772823
Position 14586: 0.9769390159699296
Position 6944: 0.9738964421003877
Position 11424: 0.9687727321427133
Position 5076: 0.949857009201533
Position 372: 0.9272880768677264
Position 5496: 0.8436057875992063
Position 11919: 0.8337316081877553
Position 14364: 0.7485345852621162
Position 12927: 0.7355439041982922
Position 10745: 0.7272877851266779
Position 5939: 0.6507455713932654
Position 11649: 0.5166742734499432
Position 144: 0.3417091287576087
Position 14391: 0.23414291451372538
Position 10: 0.1694595693219482
Position 2283: 0.16702434721439605
Position 1170: 0.12292042895541667
Position 799: 0.12043754680915868
Position 14752: 0.09282787864827549
Position 12893: 0.07118397724522454
Position 15146: 0.07005095856757246
Position 16013: 0.0655040367623087
Position 1492: 0.06025917918452276
Position 2655: 0.05493728054492128
Position 5920: 0.05411567244603781
Position 1403: 0.044584727774964
Position 6730: 0.04294033101880359
Position 6550: 0.040689808046143715
Position 9505: 0.03412113979306394
Position 3252: 0.02662356875727512
Position 2344: 0.026372071737003955
Position 7816: 0.022553742818684802
Position 9831: 0.022203250927998363
Position 5054: 0.021795170442926233
Position 10255: 0.020117498745916052
Position 1479: 0.019663324476636865
Position 3119: 0.018917597382505716
Position 16246: 0.01848039536045288
Position 3182: 0.018358934290855566
Position 5131: 0.017137152910228236
Position 9035: 0.015649683635850932
Position 15249: 0.013369848371863833
Position 6243: 0.012315764006857525
Position 2931: 0.012193626808776488
Position 15139: 0.012177481211659458
Position 5658: 0.011940865816935183
Position 14746: 0.010903748526815719
Position 8935: 0.010362667344430254
Position 11582: 0.009817998917094863
Position 307: 0.008695512562202877
Position 14715: 0.008434335176604982
Position 13646: 0.007860253987061406
Position 13547: 0.007827629145953039
Position 14368: 0.007421966562906899
Position 7841: 0.007060284276899306
Position 6972: 0.006715133190479215
Position 12187: 0.006550108424897295
Position 6459: 0.005501045980048946
Position 3922: 0.005450133253966429
Position 8296: 0.005012841340688265
Position 10841: 0.0048599395581916845
Position 838: 0.004438926384384672
Position 827: 0.0038794047951101287
Position 1160: 0.0036188313485195365
Position 779: 0.003299738082090577
Position 8867: 0.003155573643725164
Position 11611: 0.0028502344340814723
Position 7792: 0.002728511990773282
Position 10094: 0.002642742578507552
Position 5805: 0.0026091337412536757
Position 15451: 0.002456694844223619
Position 14101: 0.0022949901864743353
Position 11442: 0.0022629106521435192
Position 11466: 0.0019882678314015827
Position 10769: 0.001861458827493796
Position 5930: 0.0017544261465627792
Position 5596: 0.0016587618835062774
Position 15850: 0.0015588959872252384
Position 15575: 0.001558335253179827
Position 16066: 0.001263119261652857
Position 1186: 0.0012121544838711825
Position 6252: 0.0012073830120168092
Position 1294: 0.0011919035022359189
