Gene = EIF2B5
index = 491
Annotated 5SS: [ 317 1473 2542 2812 2983 4894 5467 6807 7115 7340 7623 7879 8302 8961
 9444]
Annotated 3SS: [1347 2355 2633 2901 4815 5153 6660 6972 7237 7514 7787 8177 8834 9332
 9619]
SMsplice 5SS: [ 317 1473 2542 2812 2983 4894 5352 6807 7115 7340 7623 7879 8961 9444]
SMsplice 3SS: [1347 2355 2633 2901 4815 5153 6602 6972 7220 7514 7787 8834 9332 9619]
top_k =  500
Partition function (log Z): 26.569715780612007

Sorted 5' Splice Sites (High to Low Probability):
Position 7623: 0.984104797654314
Position 7340: 0.9677887829268045
Position 2983: 0.9656775916843088
Position 9444: 0.9293145895830882
Position 4894: 0.8894997345436906
Position 8961: 0.8376654576949617
Position 317: 0.8085191809641105
Position 5352: 0.7978386901592636
Position 6807: 0.749598113935199
Position 7879: 0.7442732697780549
Position 7115: 0.6883113337634859
Position 2267: 0.6684963474033243
Position 2812: 0.5485746567103515
Position 1473: 0.5068466588699411
Position 2542: 0.48949490462633694
Position 2465: 0.463836736012288
Position 8178: 0.34113418646745575
Position 158: 0.3293110992935092
Position 7131: 0.28099095253207784
Position 2731: 0.17984814450377026
Position 7938: 0.1633072504850521
Position 8215: 0.13571085646091635
Position 2125: 0.10416400549517485
Position 8302: 0.0851545429287614
Position 4958: 0.07668925483029597
Position 5889: 0.06869258380899498
Position 8337: 0.06729271839125166
Position 6513: 0.06277986903868986
Position 7924: 0.061512346427109184
Position 5467: 0.05645795432704848
Position 6246: 0.0524044287970143
Position 1588: 0.04462123851366605
Position 8613: 0.04358763885467087
Position 839: 0.0400394152325695
Position 5477: 0.03883393849169118
Position 9010: 0.03659481094268376
Position 1624: 0.031749398853798926
Position 9492: 0.030290183920899726
Position 150: 0.02530382279056746
Position 9124: 0.02445023008990862
Position 8784: 0.024309422174020098
Position 3849: 0.024098663906250904
Position 485: 0.023434907680038447
Position 6004: 0.021119330511396008
Position 688: 0.020631414966814282
Position 2728: 0.017336702241845407
Position 109: 0.016864358147396435
Position 8944: 0.016002076180544948
Position 867: 0.015469070594973084
Position 9742: 0.01529379261336014
Position 7117: 0.014631941409380332
Position 2786: 0.01034366874611149
Position 8530: 0.010135742672512658
Position 2761: 0.010106269264253868
Position 7102: 0.008262985293259365
Position 2488: 0.007648273797132448
Position 8206: 0.006664491675226158
Position 871: 0.006431051661529427
Position 4523: 0.006033936122646411
Position 1412: 0.004946938054198392
Position 957: 0.00409305846361013
Position 8603: 0.004091188648567978
Position 3033: 0.004049588759075708
Position 8383: 0.004023671040410097
Position 7554: 0.003923685871913024
Position 6661: 0.0038728106357128083
Position 4945: 0.003660816628314766
Position 1552: 0.002823521396811587
Position 7711: 0.002510842472916
Position 3029: 0.0024102819176614293
Position 653: 0.002396586061378918
Position 4874: 0.002201377564010467
Position 5053: 0.0021191735079578128
Position 9517: 0.0020995597669048144
Position 2829: 0.002055494291644864
Position 2747: 0.0016779302856583266
Position 2284: 0.0015975814585446912
Position 512: 0.0015769079826442969
Position 7563: 0.001562174349201274
Position 2935: 0.0015264100477313757
Position 9703: 0.001476099095532936
