Gene = ZMAT2
index = 1601
Annotated 5SS: [ 145  579 1796 3658 4238]
Annotated 3SS: [ 484 1671 3583 4091 5278]
SMsplice 5SS: [ 145  579 1796 3658 4238]
SMsplice 3SS: [ 484 1671 3583 4091 5278]
top_k =  500
Partition function (log Z): 8.602968587088439

Sorted 5' Splice Sites (High to Low Probability):
Position 4238: 0.9972789575163642
Position 1796: 0.9918567613453165
Position 145: 0.9714738267631616
Position 579: 0.894061143025249
Position 3658: 0.6252555950424039
Position 3671: 0.22106786983254217
Position 3883: 0.2060865474862221
Position 752: 0.1410522370128444
Position 1579: 0.10003808878427836
Position 2775: 0.0763449041681851
Position 608: 0.019070494393322777
Position 3707: 0.0162385543377938
Position 302: 0.015543864858400093
Position 5474: 0.015452241538766249
Position 5509: 0.010863653691082092
Position 3259: 0.010548637191021039
Position 5476: 0.0060993399404103595
Position 5472: 0.005962350461492311
Position 2697: 0.005902718430709215
Position 266: 0.0058142086935139645
Position 5480: 0.00536701014639181
Position 5478: 0.005296972320151645
Position 675: 0.0046218510137864995
Position 641: 0.004333810269616869
Position 2121: 0.004248516166583308
Position 169: 0.0034888493991482063
Position 2113: 0.0033238235229833533
Position 1952: 0.0031900628247915337
Position 583: 0.003168487816621985
Position 1324: 0.002725360090450764
Position 742: 0.00245905776252999
Position 3994: 0.0021573181440279355
Position 3769: 0.0019264477333381057
Position 1725: 0.0016683167867693693
Position 2967: 0.001640532475864547
Position 149: 0.0015885132473163505
Position 3136: 0.0014581193752926092
Position 1415: 0.0014119398914482506
Position 3725: 0.0012649559571725143
Position 653: 0.0012501405878719023
Position 5604: 0.0011339851015890862
Position 3384: 0.0009970483487013139
Position 3180: 0.0009321718724567018
Position 1383: 0.0008705052995651229
Position 2369: 0.0007812256141471991
Position 3034: 0.0007040400096819367
Position 4145: 0.0006558273560736068
Position 878: 0.0004398599159755132
Position 4557: 0.00043977550138264905
Position 1483: 0.0004313572663062258
Position 179: 0.00039585229718389547
Position 1879: 0.0003357876439403345
Position 3878: 0.000316814809407138
Position 1994: 0.00031045657213195533
Position 4010: 0.0003097512654399304
Position 5378: 0.00029811130210231115
Position 1151: 0.000284466368102505
Position 4468: 0.00027679343536858033
Position 5210: 0.0002677585747119991
Position 4781: 0.00025410185462524764
Position 6090: 0.00024900810402587716
Position 1543: 0.0002443062836473956
Position 2779: 0.00023710763891189178
Position 4694: 0.0002342989285550046
Position 1302: 0.00022968243654270705
Position 5487: 0.00022244562590034426
Position 3778: 0.00021427698798205265
Position 3357: 0.00020915882402428417
Position 1221: 0.00020084630491355946
Position 282: 0.00018691389330131387
Position 260: 0.00017372234668252155
Position 1086: 0.0001702692891976674
Position 2335: 0.00016360179210430853
Position 5484: 0.00016120058846899813
Position 3935: 0.00016117169509413985
Position 2389: 0.00015597319092836273
Position 320: 0.0001359891065170346
Position 5949: 0.00011935045667358802
Position 4019: 0.00011350924005254182
Position 1912: 0.00011108373246929245
Position 3678: 9.265451812121254e-05
Position 4902: 8.796244022050784e-05
Position 1082: 8.725516344032627e-05
Position 1550: 6.544725525105228e-05
Position 151: 6.519782462024284e-05
Position 711: 5.908093659560414e-05
Position 3966: 5.845864400626442e-05
Position 5431: 5.609875337243016e-05
Position 1465: 5.5566166109526304e-05
Position 132: 4.530611263012022e-05
Position 1070: 4.247801726739159e-05
Position 883: 4.062160511864929e-05
Position 1047: 3.5992376875695226e-05
Position 756: 3.257951317272036e-05
Position 838: 3.223064668016217e-05
Position 329: 2.8185034516226478e-05
Position 121: 2.6659710603637995e-05
Position 888: 2.3079318021103342e-05
Position 156: 2.2510898038728308e-05
Position 511: 1.8770345513106707e-05
Position 864: 1.6732113540910254e-05
Position 1264: 1.6028759103921303e-05
Position 154: 1.290877586968495e-05
Position 673: 1.0806383366418095e-05
Position 690: 9.206087525487237e-06
Position 2382: 9.032625600259573e-06
Position 1024: 8.377827056160627e-06
Position 422: 7.846062416158761e-06
Position 4244: 6.171029203551938e-06
Position 189: 6.127622363088748e-06
Position 306: 5.8329294448870436e-06
Position 4163: 5.537174893842655e-06
Position 4341: 4.644860429315186e-06
Position 4603: 4.0911764606596e-06
Position 4763: 2.414859642684622e-06
Position 2586: 1.256433102553742e-06
Position 1478: 1.207777650713793e-06
Position 2635: 8.719452993833959e-07
Position 4723: 8.674421639965892e-07
Position 1149: 8.557264929439096e-07
Position 5110: 3.985831746979348e-07
Position 335: 3.4127966578753746e-07
Position 4748: 3.029166039702925e-07
Position 4352: 2.3719600356807502e-07
Position 396: 2.36571244461394e-07
Position 647: 2.224013268267691e-07
Position 12: 1.1092892693143443e-07
Position 1214: 8.363068847005648e-08
Position 1959: 7.625643163789789e-08
Position 1758: 3.014537265615e-08
Position 360: 1.4617219527478344e-08
Position 23: 1.1065374393723271e-08
Position 352: 4.029799028330414e-09
Position 365: 2.0438233874551645e-09
Position 1869: 4.23081498915936e-10
Position 1623: 1.4138635014705502e-10
Position 94: 1.3930690191056871e-12
Position 391: 1.9313129736064134e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1671: 0.9712161852156085
Position 484: 0.9604700380022281
Position 4091: 0.8966737362816156
Position 3583: 0.7822426398237627
Position 5278: 0.6879744106640425
Position 3815: 0.11687560472416532
Position 4144: 0.09311262613062646
Position 3563: 0.0901310274092115
Position 4336: 0.0856176327426008
Position 6161: 0.08227074732507175
Position 710: 0.07961746449714308
Position 1561: 0.07436910196169004
Position 3759: 0.07283532956630627
Position 4391: 0.04139910708023274
Position 6120: 0.03243080169911748
Position 2687: 0.03211351625931312
Position 2523: 0.02510512450888513
Position 438: 0.022962160538961614
Position 6190: 0.021099871733377885
Position 5634: 0.02075567300609143
Position 5281: 0.018520160974588775
Position 1322: 0.016386806732370297
Position 1448: 0.016186047011896472
Position 4507: 0.012958938962924832
Position 2527: 0.009638371811936986
Position 6048: 0.009082536901769895
Position 4096: 0.008265658126159044
Position 5983: 0.008194685434110012
Position 2931: 0.008164759063381787
Position 4441: 0.007145720624547841
Position 1415: 0.006545967437991474
Position 2658: 0.0063861124046395695
Position 1863: 0.005286052266183805
Position 3834: 0.00493102904152278
Position 5827: 0.0047369481147508845
Position 2620: 0.0047054095636499555
Position 1951: 0.0046797535981741994
Position 2952: 0.0034019126407880294
Position 1178: 0.002978414860154313
Position 3135: 0.0026928691487382206
Position 679: 0.0026267106412421306
