Gene = NPPA
index = 956
Annotated 5SS: [222 671]
Annotated 3SS: [ 343 1768]
SMsplice 5SS: [222 671]
SMsplice 3SS: [ 343 1768]
top_k =  500
Partition function (log Z): -6.34679300564043

Sorted 5' Splice Sites (High to Low Probability):
Position 222: 0.9300509846892829
Position 671: 0.7762793801085127
Position 458: 0.3042737284000797
Position 504: 0.056552793043542056
Position 411: 0.04588747485972068
Position 123: 0.020239239465639564
Position 160: 0.013039337149813028
Position 479: 0.007947625812443045
Position 1668: 0.006497209124642578
Position 240: 0.0020114482112841368
Position 1654: 0.001999955492024137
Position 969: 0.0012897738371029357
Position 1665: 0.0010879815252627086
Position 389: 0.0009423940098257961
Position 1322: 0.0007321904381496762
Position 1009: 0.0005754287783157488
Position 404: 0.0004317279307405708
Position 1644: 0.0003662736260682739
Position 300: 0.0003025309042142065
Position 182: 0.0002592066772660678
Position 1680: 0.00012688976306476622
Position 1733: 0.00011999326531775976
Position 1672: 9.685068980248143e-05
Position 1597: 8.192056698417027e-05
Position 15: 7.398444021005966e-05
Position 304: 6.482838474221288e-05
Position 309: 2.96749994717722e-05
Position 192: 6.599085772395218e-06
Position 194: 3.904389160845054e-06
Position 245: 2.6527398697113714e-06
Position 1092: 6.627308609304717e-07
Position 273: 3.3258232629109097e-07
Position 657: 9.73102500829541e-08
Position 73: 2.924318735659656e-08
Position 802: 1.298638106006815e-08
Position 325: 1.7235311609977626e-09
Position 392: 4.7826081210408636e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 343: 0.7584616081392944
Position 1768: 0.5311082163718974
Position 558: 0.3577934516839752
Position 1552: 0.12077162145388465
Position 2004: 0.09050300787383928
Position 562: 0.0525351987704054
Position 591: 0.04693199300838383
Position 1723: 0.04297352693250468
Position 903: 0.041006850345676714
Position 621: 0.03203586802902079
Position 300: 0.0131948345262101
Position 1728: 0.01125448809326525
Position 1664: 0.006982126836315746
Position 829: 0.006669701877272991
Position 787: 0.00643915999603969
Position 606: 0.006039146933212323
Position 365: 0.005273202927114745
Position 768: 0.00451437231742817
Position 2008: 0.004192525680153394
Position 1197: 0.003136390269565828
Position 2029: 0.002593142168760482
Position 1503: 0.0025580066078802343
Position 1532: 0.0022553540674627283
Position 404: 0.0018717236382827516
Position 1946: 0.0018611582496755913
Position 1535: 0.0016009399073006793
Position 1901: 0.0014923879601779955
Position 1621: 0.0013518270151825981
Position 1036: 0.0013196267120749983
Position 1710: 0.001162939418803603
Position 304: 0.001026423415435991
Position 920: 0.0009419260627002218
Position 881: 0.0007030498397538513
Position 457: 0.0006947582124746037
Position 1881: 0.0006639260707988029
Position 1661: 0.0006325021070997848
Position 600: 0.0005970795032124744
Position 806: 0.000581888344580623
Position 1214: 0.0005579803185754881
Position 1907: 0.0005430531446794013
Position 204: 0.0005101913007808476
Position 370: 0.0004720004619142188
Position 862: 0.00046779537234688923
Position 411: 0.00033771057769487486
Position 444: 0.00029270629230980684
Position 479: 0.00021352768735442425
Position 383: 0.00020128544121038807
Position 630: 0.00019130064973836417
Position 2066: 0.00018935016303859203
Position 663: 0.00018723623779569657
Position 2054: 0.0001530826476013313
Position 567: 0.00013049995956378426
Position 2069: 0.00011288923887444865
Position 924: 9.573931983864858e-05
Position 1776: 9.330388723392515e-05
Position 749: 8.788430130748604e-05
Position 1085: 8.139571411153991e-05
Position 1353: 7.254574409357105e-05
Position 483: 6.784522102055533e-05
Position 1076: 6.773952407917269e-05
Position 643: 6.762933787798714e-05
Position 2040: 6.213309936064819e-05
Position 1164: 6.123047083802237e-05
Position 1952: 5.133291000256557e-05
Position 833: 5.094715881448167e-05
Position 503: 4.9369455591387446e-05
Position 1732: 4.046031029833931e-05
Position 1299: 3.280132070519643e-05
Position 428: 2.2593633563813597e-05
Position 914: 2.1814345975870204e-05
Position 152: 1.6423329031377504e-05
Position 380: 1.5633922269691502e-05
Position 97: 1.305317435995006e-05
Position 221: 5.9786734154685564e-06
Position 425: 5.021393181887554e-06
Position 488: 2.967947520694207e-06
Position 388: 7.355691272999815e-07
Position 308: 6.950008044790976e-07
Position 225: 3.6341761451119834e-07
Position 127: 2.1728525688291737e-07
Position 415: 1.7003799606838032e-07
Position 159: 1.4138683920367266e-07
Position 493: 1.0539467967926129e-07
Position 645: 1.0474904542685475e-07
Position 256: 7.20336222404051e-08
Position 497: 6.703159576048785e-08
Position 103: 1.3759651865157644e-08
Position 245: 1.2862067092336644e-08
Position 164: 1.2309569363726046e-08
Position 231: 2.7313953357531135e-09
Position 169: 3.244824966031095e-10
Position 171: 2.0050689645384672e-11
Position 236: 1.6024383635738132e-11
