Gene = DAP3
index = 428
Annotated 5SS: [  117 20767 28071 32561 36433 36962 38681 40065 40309 42358 42976 48006]
Annotated 3SS: [20714 27947 32458 36323 36868 38549 39983 40149 42297 42885 47887 49098]
SMsplice 5SS: [  117  2450  5856  9096 28071 38681 40065 40309 42358 42976 49240]
SMsplice 3SS: [ 2340  5732  8976 27947 38549 39983 40149 42297 42885 49098 49550]
top_k =  500
Partition function (log Z): -20.02358715581582

Sorted 5' Splice Sites (High to Low Probability):
Position 5856: 0.9763903431880261
Position 2450: 0.9141414988462921
Position 9096: 0.656837010956379
Position 117: 0.529112797767433
Position 186: 0.4187429693463054
Position 3433: 0.33889905779236335
Position 18827: 0.22952829584192586
Position 8365: 0.21548699596662035
Position 8111: 0.1419854587753674
Position 5215: 0.0510005395433945
Position 4296: 0.04918939767799479
Position 5652: 0.048184845795235624
Position 2445: 0.04635870329039069
Position 9042: 0.03499833361450626
Position 3964: 0.03332280189161601
Position 5467: 0.02631190452431805
Position 6374: 0.020909089069551533
Position 2862: 0.02062973263818988
Position 5629: 0.01746290852445104
Position 5426: 0.016377380214568082
Position 5648: 0.015561175619705103
Position 139: 0.015419304278111395
Position 2201: 0.015198290128538027
Position 2995: 0.014100275968384982
Position 202: 0.012851420276922746
Position 8274: 0.00990151120356588
Position 8003: 0.00854234584354162
Position 3526: 0.007371502067098052
Position 4140: 0.006910664907892477
Position 386: 0.0068951236900415295
Position 1354: 0.006351897122415893
Position 8149: 0.006228240601970611
Position 2845: 0.0059246541388435
Position 6058: 0.005373113105163514
Position 3988: 0.0048376311330669405
Position 193: 0.004176909820801622
Position 6394: 0.004055954957376511
Position 3534: 0.0037337088291881622
Position 6297: 0.003715752588666747
Position 4132: 0.0037093331681469443
Position 2568: 0.0034681967654272526
Position 3297: 0.0030772638128409974
Position 6226: 0.002735348704437711
Position 412: 0.002079906034179808
Position 9171: 0.001969961969027924
Position 8455: 0.0017127290033416116
Position 673: 0.001453675923950447
Position 8317: 0.0014174589936813728
Position 490: 0.0012327587273870983
Position 282: 0.0012103694115623744
Position 1126: 0.001039359460148498
Position 1313: 0.0010031341237955725
Position 74: 0.000819712581828204
Position 9214: 0.0007175910995453458
Position 641: 0.0007065871625521229
Position 78: 0.0006924800692588545
Position 549: 0.00059716748246267
Position 919: 0.0005328709596116416
Position 553: 0.00045299984337799227
Position 1122: 0.0003618712686229099
Position 1459: 0.00030246817342047765
Position 2722: 0.0002755394452983509
Position 9584: 0.00026479931722989564
Position 435: 0.0002639709150438238
Position 796: 0.00023767515799326972
Position 144: 0.00022960498461228345
Position 1945: 0.0002294899847673067
Position 2129: 0.00022253792576645097
Position 481: 0.00022028301030929348
Position 449: 0.00020082523677370689
Position 2559: 0.0002004026467625688
Position 986: 0.0001771431319742015
Position 1634: 0.00015840362198699825
Position 1601: 0.00013663568646757793
Position 2499: 0.0001059979766859178
Position 461: 9.499160283357056e-05
Position 399: 9.086575747333958e-05
Position 269: 9.052225128115035e-05
Position 1236: 7.797100105134632e-05
Position 3775: 7.707366916453426e-05
Position 352: 6.507569052834038e-05
Position 2726: 6.265750366541129e-05
Position 3706: 5.988392753721684e-05
Position 3059: 5.96370551966835e-05
Position 3178: 5.4675843950825566e-05
Position 973: 5.4116557050851845e-05
Position 979: 5.068894380887192e-05
Position 82: 4.827972727268379e-05
Position 1192: 4.5982422358529994e-05
Position 279: 4.075709941957396e-05
Position 886: 3.878938976219292e-05
Position 511: 3.853735276849571e-05
Position 2735: 3.573932528107508e-05
Position 1135: 3.450846394657078e-05
Position 629: 3.180947928593328e-05
Position 1050: 2.910653629158833e-05
Position 3033: 2.7858504377707087e-05
Position 3809: 2.2922123378130173e-05
Position 969: 2.1028183697352047e-05
Position 76: 2.0179665595525054e-05
Position 284: 1.8759365279909687e-05
Position 1876: 1.6632753708586516e-05
Position 1006: 1.3073225034464706e-05
Position 3553: 7.573250317331886e-06
Position 3460: 4.180941055151518e-06
Position 3475: 1.8472056711987605e-06
Position 276: 2.39773125783545e-08
Position 509: 5.115237911108065e-09
Position 103: 3.0471169808544374e-09
Position 2803: 2.0084036831488885e-09
Position 90: 1.922147622011423e-09
Position 731: 1.2412763986050573e-09
Position 299: 8.357898637715711e-10
Position 240: 7.255562002123683e-10
Position 356: 5.339276064184587e-10
Position 296: 4.3977877062506343e-10
Position 293: 3.212274417429447e-10
Position 245: 2.071346381661474e-10
Position 3: 1.4968701635745813e-10
Position 336: 1.551158766800983e-11
Position 36: 8.897723220249379e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2340: 0.9630786322076204
Position 5732: 0.7627656120575956
Position 8976: 0.6405412596521579
Position 19508: 0.5649877677470475
Position 3387: 0.3002092705329181
Position 18697: 0.2608143124036228
Position 5763: 0.2008498436449048
Position 19013: 0.14044859277460942
Position 8277: 0.11440850459892048
Position 5451: 0.08915946046915367
Position 18642: 0.08837031297040282
Position 8209: 0.06935212988729107
Position 7915: 0.06924555639660271
Position 8028: 0.06262884440413144
Position 8882: 0.048973621607778454
Position 8352: 0.034974259933821666
Position 8031: 0.03200563794220904
Position 9480: 0.03061171201480934
Position 3880: 0.0274746413554769
Position 9583: 0.02535249048715194
Position 6138: 0.02248775824266566
Position 3357: 0.021424367285745708
Position 3635: 0.02065356026569717
Position 5124: 0.019604077699772626
Position 21638: 0.019419912927601046
Position 9041: 0.019237270728971738
Position 4081: 0.017589293779741947
Position 4131: 0.017536615439990973
Position 13548: 0.01689585986855909
Position 2801: 0.016115185127451005
Position 12363: 0.01591868813918432
Position 5363: 0.014999603383951827
Position 5341: 0.012893042495287095
Position 2783: 0.012518705962403544
Position 5018: 0.011542796844339686
Position 5132: 0.010760668398983403
Position 12408: 0.010742676405243816
Position 5108: 0.008653218357015113
Position 5942: 0.008646060095051021
Position 3156: 0.007945955981108168
Position 3280: 0.007427756753565015
Position 15255: 0.0069889711902767
Position 2722: 0.006878466503746018
Position 3408: 0.006523933831412033
Position 9781: 0.0064176158056789495
Position 4210: 0.0060863329975633365
Position 5747: 0.0057695248561239355
Position 5811: 0.005268116031841468
Position 3389: 0.0050283633963005975
Position 6247: 0.004397732699954819
Position 1710: 0.00425355985107198
Position 3230: 0.003911700880678421
Position 5495: 0.0038751579608506982
Position 1120: 0.003276284189236846
Position 2032: 0.0030158968327466842
Position 5303: 0.002995368920447146
Position 1125: 0.0029628485185544634
Position 10900: 0.0028412244572079658
Position 4174: 0.002832587296982681
Position 8099: 0.0024879739130771856
Position 12706: 0.002319309119065347
Position 16663: 0.0022553320768212925
Position 10497: 0.0022255757552029276
Position 8095: 0.0019537534673638012
Position 6221: 0.0019231436687382098
Position 2592: 0.0019225972875012284
Position 4224: 0.0019085585792546762
Position 2035: 0.001853319706294209
Position 8062: 0.001840800366123219
Position 6159: 0.0017914620958849414
Position 12866: 0.0015201412475882325
Position 4091: 0.0014263473321348545
Position 4978: 0.0012900085497800685
Position 2942: 0.0012254990322681251
Position 4099: 0.0011059822015362143
Position 1870: 0.0011005152161312826
Position 2102: 0.001083361554175761
Position 2366: 0.001082958703069525
Position 11432: 0.00106835697499883
Position 949: 0.0010615700809585135
Position 9950: 0.0010211308139087385
Position 3657: 0.0009686392210340945
Position 9300: 0.0008587211755383842
Position 2614: 0.0008242429554949216
Position 7762: 0.0008165372315945504
Position 4016: 0.0007734439978844207
Position 9095: 0.0007636812351183572
Position 7404: 0.0007547386569056601
