Gene = GIN1
index = 592
Annotated 5SS: [   88 11583 13436 15611 22562 22838 23611]
Annotated 3SS: [11436 13241 15304 22369 22660 23324 31978]
SMsplice 5SS: [   88  1607 11583 13055 13436 15611 22562 22838]
SMsplice 3SS: [ 1549 11485 12903 13301 15304 22369 22660 31978]
top_k =  500
Partition function (log Z): -1.0958166363095319

Sorted 5' Splice Sites (High to Low Probability):
Position 88: 0.9905027242990058
Position 15611: 0.96493651494337
Position 22562: 0.9607189528543655
Position 11583: 0.9351216901558217
Position 13436: 0.6874178964841156
Position 1607: 0.6464607394709653
Position 22838: 0.6150294778400256
Position 13055: 0.5932097049023994
Position 23611: 0.4281106573798899
Position 32093: 0.36946636427095925
Position 22761: 0.33806447901214126
Position 9307: 0.3306324899500748
Position 10578: 0.2715553054289146
Position 23650: 0.1961314097467504
Position 10674: 0.1854639170677263
Position 15377: 0.17501454191051008
Position 23412: 0.1541848988241881
Position 10089: 0.12952425575668217
Position 17898: 0.11836697294849952
Position 13432: 0.0799594872731364
Position 30353: 0.07345700373638092
Position 13803: 0.06187744978778649
Position 11535: 0.05697651065299557
Position 8321: 0.04892818240021805
Position 13362: 0.04684544081672863
Position 3702: 0.04607533830832063
Position 21162: 0.03427402246618043
Position 2030: 0.03074079314167153
Position 17560: 0.029145591902561104
Position 17502: 0.027100239644092545
Position 16828: 0.02683714144493504
Position 15393: 0.018700580761925333
Position 24951: 0.018500540695891764
Position 12269: 0.01788410883651901
Position 15446: 0.016128715314186016
Position 17823: 0.015819233863091232
Position 20496: 0.015442989605503278
Position 13385: 0.014448503741695347
Position 15737: 0.01234662772618748
Position 21167: 0.012022529318284268
Position 17769: 0.011264693746004011
Position 17971: 0.010099686374480648
Position 19343: 0.008156220565860737
Position 23152: 0.007690798610929237
Position 14563: 0.006435516445320492
Position 27399: 0.0060851139139983575
Position 22550: 0.004586853302734632
Position 313: 0.003090001397761055
Position 14198: 0.0030023858551510045
Position 135: 0.0025898617122901654
Position 26665: 0.0021210627750208825
Position 14057: 0.002096854164887306
Position 13817: 0.001996509368532789
Position 23058: 0.0018529733526358061
Position 14169: 0.0014716698031055067
Position 22749: 0.0012928773931932792
Position 13855: 0.0011986412770925233
