Gene = GDA
index = 583
Annotated 5SS: [  216 46122 53276 61308 64525 70040 73761 76318 78574 81715 91832 95812
 97967]
Annotated 3SS: [46032 53103 61219 64418 70011 73652 76209 78475 81646 91684 95680 97938
 98804]
SMsplice 5SS: [   216  12785  23816  27155  46122  46527  47502  48207  53276  58705
  61308  64525  76318  78574  95812  99165 101375]
SMsplice 3SS: [ 12683  23737  27069  46032  46427  47399  47994  53103  58562  61219
  64418  76209  78475  95680  98804 101282 102344]
top_k =  500
Partition function (log Z): -40.611550985986334

Sorted 5' Splice Sites (High to Low Probability):
Position 12785: 0.9763608077487967
Position 27155: 0.9610481448134187
Position 216: 0.9116504691675225
Position 23816: 0.8084164386914745
Position 22648: 0.6867711650956265
Position 16093: 0.5113655041962941
Position 10650: 0.45445035468001527
Position 9547: 0.3834605326716388
Position 12037: 0.3035799485184115
Position 13672: 0.2926626069623909
Position 2622: 0.2729679762859509
Position 3417: 0.24759059316659313
Position 16038: 0.16273427297343646
Position 9396: 0.15180751625426678
Position 15979: 0.12411263260084189
Position 4795: 0.10746590064502082
Position 12590: 0.07523285802072888
Position 13618: 0.052335186073917114
Position 16302: 0.021363185778344753
Position 198: 0.02039426668796675
Position 389: 0.020017989130514273
Position 174: 0.01749362425983205
Position 3751: 0.01580541504750177
Position 1461: 0.01557558953546885
Position 1398: 0.012679237713064354
Position 7446: 0.009492411784126424
Position 309: 0.009113271754515404
Position 1004: 0.008132767221014994
Position 6135: 0.007515541049305443
Position 1833: 0.007288320725243279
Position 140: 0.006425410255215523
Position 7454: 0.006375778358094049
Position 7465: 0.006261565552834292
Position 5462: 0.006223896706248414
Position 475: 0.0061472652464297905
Position 6647: 0.005577274197060436
Position 1278: 0.0024915401534476266
Position 16084: 0.0022748382714785336
Position 27159: 0.0022311327503843886
Position 1510: 0.0017310005408538306
Position 2060: 0.0010935083956391143
Position 2004: 0.000694622657097919
Position 316: 0.0004810470545690497
Position 95: 0.00044139375281939444
Position 1522: 0.00037383745453764436
Position 2569: 0.00026420623688595075
Position 1361: 9.246386806959067e-05
Position 1243: 8.073343994441483e-05
Position 1861: 6.747585852192903e-05
Position 262: 2.3480062865401665e-05
Position 300: 2.253410584038603e-05
Position 3428: 2.2022404350392294e-05
Position 281: 1.8304220777335253e-05
Position 931: 1.2887031746605569e-05
Position 759: 1.27702564301817e-05
Position 46: 7.83980754508743e-06
Position 1239: 6.220150579943046e-06
Position 231: 5.5505462023798224e-06
Position 621: 2.5409481054750013e-06
Position 789: 2.0838952681809557e-06
Position 953: 3.329745092867269e-07
Position 658: 5.2267174285510974e-08
Position 1302: 4.110333854605992e-08
Position 463: 1.7769053720403046e-08
Position 592: 1.7402491133046354e-08
Position 771: 1.6303567308202377e-08
Position 636: 1.5471232069669378e-08
Position 35: 1.5197524679305814e-08
Position 393: 8.644455712402547e-09
Position 419: 7.730455805037806e-09
Position 97: 6.368499877426049e-10
Position 290: 2.7293221262128447e-10
Position 1604: 1.4847370273312794e-10
Position 144: 1.326970824433231e-10
Position 1609: 9.076305825907342e-11
Position 336: 4.4524354995250134e-11
Position 25: 2.8392008201555155e-11
Position 347: 2.2020424510423482e-11
Position 1259: 2.0901921539336372e-12
Position 1170: 2.0295982664120493e-12
Position 1437: 6.549514767547859e-14
Position 1837: 6.210743206367285e-14
Position 624: 3.758928045383993e-16
Position 495: 6.483587475078607e-17
Position 573: 2.1404999095797695e-17
Position 672: 3.908012706753264e-18
