Gene = CLDND1
index = 378
Annotated 5SS: [ 195 1911 4159 5992]
Annotated 3SS: [1600 4047 5853 6163]
SMsplice 5SS: [ 195 5992]
SMsplice 3SS: [5895 6300]
top_k =  500
Partition function (log Z): -7.1229616226693375

Sorted 5' Splice Sites (High to Low Probability):
Position 5992: 0.9334014485906245
Position 195: 0.8831509644987884
Position 4159: 0.5218194040346034
Position 502: 0.16520906103981983
Position 4507: 0.06706407935945291
Position 1391: 0.06608106751311595
Position 6928: 0.04582207440647037
Position 1911: 0.04354438012334973
Position 5821: 0.04072486045470543
Position 114: 0.030994099778547373
Position 1264: 0.026654075877158796
Position 1714: 0.02598054938172654
Position 6184: 0.02522897173326963
Position 2433: 0.024840403456167923
Position 3915: 0.023585410177625676
Position 6251: 0.013980804034218731
Position 3911: 0.013613620962428805
Position 356: 0.0094990303484166
Position 7326: 0.006379366180655614
Position 7069: 0.004063305347693153
Position 3530: 0.0038453878636425555
Position 3504: 0.0037781638281583012
Position 6244: 0.0031551738760727125
Position 6164: 0.003075213249340076
Position 6687: 0.0019401397841165798
Position 256: 0.0016093104198173116
Position 199: 0.0008663012249038727
Position 1347: 0.0004899290735306566
Position 846: 0.0004741059482884054
Position 1310: 0.00043265402093673415
Position 3512: 0.00041481530668691666
Position 1395: 0.0003994419512714403
Position 3484: 0.00038279484328499684
Position 5996: 0.0003800851242425914
Position 1513: 0.0003631626434563747
Position 3124: 0.00034424773611159155
Position 2087: 0.00032079535740926887
Position 3009: 0.00030538069576991814
Position 3521: 0.0002551686851550494
Position 427: 0.00024143727734171367
Position 139: 0.0002106526085988255
Position 3332: 0.0001780288236778553
Position 3286: 0.00017081152196848695
Position 674: 0.00016691511807834033
Position 7365: 0.00015320755835024948
Position 300: 0.0001420999998986028
Position 3632: 0.00010987744488106092
Position 286: 0.00010840156793615214
Position 6726: 0.00010762895397200558
Position 441: 0.00010435371320552515
Position 1888: 9.045547012822303e-05
Position 166: 7.785568716224898e-05
Position 1491: 6.919825215574473e-05
Position 1243: 5.3522424111694034e-05
Position 667: 4.8423727744785184e-05
Position 2253: 3.8369389036272636e-05
Position 1998: 3.797398963673312e-05
Position 2309: 3.772386971220623e-05
Position 662: 3.372603863518228e-05
Position 228: 3.102997755532424e-05
Position 1255: 2.988942376272316e-05
Position 144: 2.7742133985005565e-05
Position 1410: 2.7312683958902022e-05
Position 351: 2.2759368564711215e-05
