Gene = PLGRKT
index = 1037
Annotated 5SS: [   90  1310  5982 76121 76801]
Annotated 3SS: [ 1183  5894 75989 76690 79517]
SMsplice 5SS: [   90  1310  5982 24569 45405 46001 53397 55722 56016 66788 76121 76801]
SMsplice 3SS: [ 1183  5894 24392 45228 45919 53268 55641 55846 66606 75989 76690 78037]
top_k =  500
Partition function (log Z): -34.813873789332604

Sorted 5' Splice Sites (High to Low Probability):
Position 5982: 0.9940339354865579
Position 1310: 0.8959213233192567
Position 90: 0.8814540579475397
Position 14327: 0.3224227753092745
Position 1445: 0.23335787692656051
Position 5514: 0.08879450945256584
Position 5687: 0.08819279067348475
Position 1864: 0.080626568447387
Position 3073: 0.057023419114137004
Position 247: 0.049438471637713095
Position 1756: 0.026972371856096244
Position 11028: 0.02589914634952962
Position 5324: 0.024292224854345245
Position 2111: 0.023950458509194045
Position 7144: 0.02155678039899472
Position 953: 0.019314525307202023
Position 11259: 0.0183057662182711
Position 525: 0.01806536643905245
Position 6605: 0.016784815866959676
Position 4578: 0.015883871548388336
Position 586: 0.013148209595255665
Position 115: 0.012430057672510415
Position 48: 0.008195177548302485
Position 5601: 0.007687123678952274
Position 4539: 0.007171732398933942
Position 5529: 0.0050747420717127
Position 4500: 0.004507686998439191
Position 127: 0.004483749920810062
Position 10644: 0.004184334928154982
Position 11010: 0.003899406594864994
Position 10659: 0.0037089427115610334
Position 202: 0.0036594687321517814
Position 651: 0.0025391188657733163
Position 2861: 0.002418945001598928
Position 7004: 0.001603500415887593
Position 676: 0.0015964046029933719
Position 1932: 0.0014951925759944362
Position 7267: 0.0014726318532076327
Position 237: 0.0011169312577143857
Position 327: 0.0007492832610777486
Position 141: 0.0006587766432556519
Position 635: 0.0006585612162983933
Position 985: 0.0005915482969610494
Position 8674: 0.0005332187165624638
Position 1184: 0.00041354661580348106
Position 1159: 0.00038951569986477936
Position 1105: 0.0003849906533996852
Position 6317: 0.0003237031825012928
Position 396: 0.0002752986298373035
Position 864: 0.00027176407183398583
Position 912: 0.00026817409964255054
Position 661: 0.0002499837046181962
Position 731: 0.0002155932240024702
Position 6840: 0.00015498443711851534
Position 577: 0.00013600532407217033
Position 1277: 9.727638289128576e-05
Position 94: 9.316686096846886e-05
Position 1672: 7.082948385323785e-05
