Gene = SIT1
index = 1259
Annotated 5SS: [187 439 584 757]
Annotated 3SS: [302 524 694 858]
SMsplice 5SS: [187 439 584 757]
SMsplice 3SS: [302 524 694 858]
top_k =  500
Partition function (log Z): 2.7289486691614315

Sorted 5' Splice Sites (High to Low Probability):
Position 187: 0.9872927116598064
Position 584: 0.9421971845979401
Position 439: 0.9378052197254937
Position 757: 0.9306628243761552
Position 1015: 0.041665752900324475
Position 952: 0.011024154560973897
Position 211: 0.010143154168153225
Position 942: 0.008050208861162199
Position 621: 0.00609670129699988
Position 34: 0.005987589596734772
Position 443: 0.004027681948795294
Position 911: 0.00227838234223558
Position 871: 0.0019040631184101375
Position 955: 0.0010882251815779204
Position 58: 0.0008887393392904278
Position 1457: 0.000724974889438167
Position 555: 0.0005628212633075717
Position 547: 0.0005395055445160672
Position 237: 0.0004452069915861108
Position 923: 0.00010242234893518571
Position 334: 9.52531542611144e-05
Position 1342: 9.265334299623799e-05
Position 1285: 4.483214046657628e-05
Position 1264: 4.1921623382678466e-05
Position 797: 3.5132922759406275e-05
Position 1446: 2.0422797421787936e-05
Position 1479: 1.222163015435903e-05
Position 1475: 1.1103928419993793e-05
Position 628: 9.303568495339553e-06
Position 222: 9.226186338040498e-06
Position 79: 8.333122347431856e-06
Position 227: 5.869611249355422e-06
Position 534: 5.178368181711758e-06
Position 10: 3.948938643081009e-06
Position 65: 2.8659827138232703e-06
Position 260: 2.3451522615251324e-06
Position 119: 1.80498215072205e-06
Position 463: 1.7943165706662366e-06
Position 353: 1.3159665642661947e-06
Position 338: 1.2833345782850045e-06
Position 117: 1.1445614189906553e-06
Position 492: 9.08753364787948e-07
Position 761: 7.90295196601308e-07
Position 397: 4.6669069454472285e-07
Position 768: 2.758627292276328e-07
Position 474: 1.4363550997843518e-07
Position 391: 1.1137278197006747e-07
Position 825: 7.465337575664672e-08
Position 1019: 1.6354700951664912e-08
Position 538: 1.5741341414152612e-08
Position 125: 1.16369018809272e-08
Position 70: 1.9902895022617256e-09
Position 830: 2.8463403652230594e-10
Position 273: 6.126319056565455e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 694: 0.976681630247498
Position 302: 0.9232520702431257
Position 524: 0.9189658812982269
Position 858: 0.44851306345052094
Position 1167: 0.2793579399543146
Position 823: 0.06945693776835721
Position 347: 0.051915640414155195
Position 844: 0.03901834981890949
Position 1326: 0.030493684702000576
Position 909: 0.02873442684292281
Position 1059: 0.023238870690412063
Position 1495: 0.013308200843159744
Position 865: 0.010092172602390133
Position 1176: 0.009151255928726792
Position 1618: 0.00811395761752925
Position 1141: 0.007505122769580281
Position 1034: 0.00736254472681335
Position 322: 0.005603985998888948
Position 894: 0.0051055383009791745
Position 1341: 0.004171163736138686
Position 830: 0.003889776559051051
Position 1015: 0.0026946782785176714
Position 1505: 0.0022916217094753823
Position 1400: 0.00226341461796852
Position 887: 0.002245808256851082
Position 492: 0.00216483059923481
Position 1144: 0.002156495725596432
Position 144: 0.0018614694490434818
Position 112: 0.0018194860653536077
Position 117: 0.001761076993107882
Position 1429: 0.0013788071689210593
Position 650: 0.0009455557280782866
Position 674: 0.0008541347094275864
Position 1073: 0.0008197332530905973
Position 397: 0.0007192810691390866
Position 1200: 0.0005283910976670602
Position 996: 0.000492705892900403
Position 1026: 0.0004311732465447921
Position 1131: 0.00043077733342997
Position 942: 0.00041738417440651156
Position 1364: 0.00040498301183667637
Position 1194: 0.00038655060523051934
Position 1564: 0.0003242672616207556
Position 1373: 0.00028244365566649463
Position 579: 0.0002489783352381861
Position 1572: 0.0002465933036517125
Position 1418: 0.0002359804790545549
Position 870: 0.00017650592126891313
Position 715: 0.00016322394978318043
Position 663: 0.0001519618428574315
Position 1528: 0.00014690052896670496
Position 1435: 0.0001226461912886548
Position 1002: 0.00010965999360911468
Position 653: 7.188078231319668e-05
Position 709: 6.769597461488022e-05
Position 1498: 6.50895374861746e-05
Position 1238: 6.316137933669594e-05
Position 975: 4.88135741339064e-05
Position 657: 4.711461638115361e-05
Position 951: 4.225139238630093e-05
Position 1251: 4.2040938003994746e-05
Position 489: 3.952315489487084e-05
Position 1575: 3.2168818588820434e-05
Position 405: 2.9761331969244105e-05
Position 583: 2.5311697481755364e-05
Position 114: 2.490193842016023e-05
Position 417: 2.2215442177698692e-05
Position 755: 1.7408302337855896e-05
Position 1471: 1.6851113258477522e-05
Position 456: 5.611439669269738e-06
Position 433: 5.046825996569514e-06
Position 154: 2.8200443259690657e-06
Position 532: 2.6050593735731463e-06
Position 534: 2.372121708319422e-06
Position 546: 2.0997551708440993e-06
Position 420: 1.721213452410797e-06
Position 414: 1.6809608390250074e-06
Position 721: 1.6198801815024798e-06
Position 544: 1.5326536600522535e-06
Position 867: 1.282869991588794e-06
Position 151: 7.703823318436117e-07
Position 717: 6.912546863969362e-07
Position 83: 5.525725688783267e-07
Position 729: 4.56905560310325e-07
Position 95: 4.1012502741081436e-07
Position 236: 4.031532183631832e-07
Position 448: 2.1580275579214955e-07
Position 474: 1.7441492466523353e-07
Position 745: 9.34769384728917e-08
Position 472: 5.365139059021129e-08
Position 598: 2.8321734940000225e-08
Position 156: 2.772576030050404e-08
Position 620: 2.487453908460806e-08
Position 726: 2.3150067121777868e-08
Position 613: 2.2117089926725077e-08
Position 587: 1.5794740498823916e-08
Position 615: 1.561569832130364e-08
Position 199: 3.4767132717230865e-10
Position 191: 1.847151873518516e-10
Position 204: 2.0810424786160428e-11
Position 782: 2.9879697544363034e-12
Position 219: 9.2044739927623e-14
