Gene = SSUH2
index = 1345
Annotated 5SS: [   85 16316 16775 18409 20026 21270 22411 24377 25846 26533 28526]
Annotated 3SS: [16216 16692 18132 19964 21144 22347 24290 25752 26426 28417 32059]
SMsplice 5SS: [  147 12127 13229 16316 16775 18409 20026 22411 24377 25846 26533 28626]
SMsplice 3SS: [12004 13147 16216 16692 18278 19964 22321 24290 25752 26426 28417 30447]
top_k =  500
Partition function (log Z): 22.83778259428694

Sorted 5' Splice Sites (High to Low Probability):
Position 16316: 0.9898718960444202
Position 16775: 0.9869141677938233
Position 20026: 0.8984904062566326
Position 12127: 0.8892019812396358
Position 26533: 0.8879375713661452
Position 24377: 0.873268448469087
Position 13229: 0.8604220723547453
Position 25846: 0.8414557474339948
Position 28626: 0.8132864052452589
Position 18409: 0.8041937015420145
Position 21270: 0.8007698285160997
Position 3852: 0.6691256569957509
Position 7344: 0.5662662688553538
Position 22411: 0.5378813285600215
Position 14002: 0.5040029082883798
Position 1313: 0.4675579356809667
Position 22807: 0.46179822974908563
Position 147: 0.4265907018719395
Position 22433: 0.4143865165584065
Position 20769: 0.3978739391110125
Position 19886: 0.35214121873792803
Position 85: 0.3452334875196289
Position 9731: 0.29914984205675443
Position 12284: 0.2905567145194861
Position 9040: 0.27557850919726773
Position 29489: 0.2574267908580576
Position 10164: 0.2411968493321235
Position 9512: 0.23720410727672658
Position 18224: 0.22381079187176176
Position 7911: 0.22030780301936825
Position 28526: 0.18367700193480083
Position 20895: 0.17875091239517568
Position 50: 0.16550140861381485
Position 6868: 0.1626792062694081
Position 1796: 0.15357332954124317
Position 27547: 0.15312610900172136
Position 9944: 0.14959178019211897
Position 20840: 0.14222248417759048
Position 26351: 0.14166879130613294
Position 19123: 0.1389120792273953
Position 8948: 0.13839848715136263
Position 1823: 0.12319962651400286
Position 9031: 0.11406386379940771
Position 17882: 0.10265731481779859
Position 858: 0.09721317000550424
Position 27045: 0.09279879284172754
Position 17677: 0.08006597551205852
Position 2346: 0.07338640739807085
Position 29763: 0.07234317144550988
Position 25161: 0.07190695189666302
Position 18700: 0.07190645821413731
Position 5724: 0.06924436335587984
Position 7985: 0.061501050747521595
Position 11869: 0.06020437057481626
Position 2816: 0.057974559335059454
Position 12131: 0.05711417571731792
Position 26273: 0.055990865492050616
