Gene = AMT
index = 77
Annotated 5SS: [ 393  650 1262 2543 3044 3494 3783 4936]
Annotated 3SS: [ 481 1180 2410 2964 3347 3601 4779 5034]
SMsplice 5SS: [ 315  650 1262 3044 3494 3783 4936 5139]
SMsplice 3SS: [ 495 1180 2964 3347 3601 4779 5034 5523]
top_k =  500
Partition function (log Z): -0.3704359220168323

Sorted 5' Splice Sites (High to Low Probability):
Position 3044: 0.8402073852449031
Position 650: 0.781049150433745
Position 315: 0.7808876491592286
Position 3494: 0.7261861858526215
Position 1262: 0.6981130784983998
Position 3783: 0.5831116319511048
Position 4936: 0.5380544857872442
Position 5139: 0.5067689685125136
Position 2543: 0.29214044343617107
Position 393: 0.13542938359827353
Position 1062: 0.09616269894618289
Position 4016: 0.08736441869327036
Position 3139: 0.07849968587219767
Position 3662: 0.07552103599275255
Position 2098: 0.04984801639391632
Position 5265: 0.0438873210645077
Position 3365: 0.03970200587023408
Position 2707: 0.03446832357000243
Position 3820: 0.03388984452858514
Position 4821: 0.015798829595759525
Position 5133: 0.015058064813435136
Position 3486: 0.014764976625980837
Position 3245: 0.014457293534319413
Position 5226: 0.014376855290340993
Position 4924: 0.01419368399541322
Position 2715: 0.011581631076942113
Position 2092: 0.010875878711623866
Position 1012: 0.010822561126237383
Position 3721: 0.010780276641402428
Position 4587: 0.010585577263737208
Position 2491: 0.00840111624741315
Position 4048: 0.005492052168590321
Position 2208: 0.005179607745993699
Position 2971: 0.004983230030319783
Position 794: 0.004974935812421864
Position 5210: 0.00466991997171512
Position 3554: 0.0044520663883635524
Position 1028: 0.004219076193650038
Position 4940: 0.0038230432323286623
Position 2817: 0.0031678187708249904
Position 2926: 0.0031430654580928297
Position 90: 0.0027960722535318185
Position 956: 0.002616540864821377
Position 1076: 0.0023269308146105223
Position 3509: 0.001957555698802042
Position 121: 0.001841384853202647
Position 5312: 0.0018071503315125795
Position 131: 0.0017641407565516035
Position 4876: 0.0017590431568654198
Position 124: 0.0017499290912566716
Position 4983: 0.0017394725846694935
Position 772: 0.0016113994444909025
Position 3431: 0.0013616620126886295
Position 2102: 0.0013201760672776543
Position 2593: 0.0012025900504089426
Position 10: 0.0010085913812849766
Position 865: 0.0009885450340278296
Position 2712: 0.0008457075041087155
Position 2114: 0.0008111161987779136
Position 3540: 0.0006791026984380121
Position 1925: 0.0006461944461411072
Position 273: 0.0006177358904330328
Position 2465: 0.0005201023907280349
Position 4848: 0.0004968810192679924
Position 2061: 0.000458319493728002
Position 552: 0.0003514042364101037
Position 1205: 0.00031248054983325685
Position 2758: 0.0002861066655172016
Position 405: 0.0002511000034761841
Position 421: 0.00021458564472667688
Position 3520: 0.00020063055622919696
Position 963: 0.00011414043439258449
Position 382: 8.185508784255633e-05
Position 571: 8.164702316016113e-05
Position 825: 4.2698755132766765e-05
Position 319: 2.606740056769515e-05
Position 781: 2.510602859372087e-05
Position 1045: 2.4448412276762527e-05
Position 485: 2.3794079953508105e-05
Position 3013: 2.1480479526666003e-05
Position 632: 1.8729666844065694e-05
Position 368: 1.8400120916476433e-05
Position 25: 1.7849416957102916e-05
Position 3910: 1.675154073251668e-05
Position 926: 1.3334213851415273e-05
Position 324: 1.2759076799554628e-05
Position 321: 1.0869486354885487e-05
Position 261: 7.163873161564906e-06
Position 264: 7.057112352378487e-06
Position 216: 5.690538512945384e-06
Position 370: 4.1417779768074626e-06
Position 259: 3.85315931995852e-06
Position 539: 3.587517494178976e-06
Position 280: 1.4957757160278648e-06
Position 42: 1.4283320743179406e-06
Position 331: 4.0867545496642913e-07
Position 1618: 4.0320186328740796e-07
Position 558: 7.150307379140875e-08
Position 634: 4.1186869410171143e-08
Position 566: 2.470618700363849e-08
Position 544: 2.3173403559978042e-08
Position 249: 1.1328033118228388e-09
Position 290: 2.083771700087064e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 2964: 0.934179575670774
Position 3601: 0.713137582544475
Position 1180: 0.6050801829139472
Position 5034: 0.5902454678055952
Position 4779: 0.588693024838457
Position 495: 0.5773536665476723
Position 3347: 0.5000737261681067
Position 5523: 0.4872556250503075
Position 2410: 0.29732387886008393
Position 5072: 0.26810588162200494
Position 3243: 0.15553715656717612
Position 481: 0.10683866861414122
Position 5385: 0.10149545656218023
Position 892: 0.08329008613155552
Position 1142: 0.07002150005412508
Position 5075: 0.06191507900996788
Position 3417: 0.06130469635163676
Position 3934: 0.0556049458541719
Position 1969: 0.05271963553667862
Position 3909: 0.03653324501972283
Position 3359: 0.031492941082137876
Position 2588: 0.024583207640037463
Position 5244: 0.017735700387814565
Position 951: 0.01547607703552267
Position 2614: 0.01514421264931393
Position 3283: 0.014497512082328287
Position 1952: 0.012812310417104098
Position 1127: 0.012737748887159629
Position 2564: 0.012717382926162374
Position 847: 0.012620256256051223
Position 3386: 0.011744551599125321
Position 5443: 0.011589998226612278
Position 3364: 0.011354017679768963
Position 484: 0.011197806041631073
Position 4524: 0.010585577263737208
Position 703: 0.007080082613622632
Position 191: 0.006892425451933507
Position 3617: 0.00618525768273462
Position 5395: 0.005893775240561982
Position 3867: 0.005154953343804225
Position 466: 0.005090085146507426
Position 4978: 0.0045920462766014135
Position 2385: 0.0028297946794761
Position 3167: 0.002403963693696103
Position 1048: 0.0020854998650815778
Position 3430: 0.001900307406741956
Position 1924: 0.0017573300476037654
Position 649: 0.0015570903265895162
Position 997: 0.0015018504045507153
Position 3476: 0.0014435007914147418
Position 984: 0.0014399474345153174
Position 2893: 0.0014393286362273598
Position 2305: 0.0013703720815924894
Position 939: 0.001362344386331144
Position 1186: 0.0012286051278937598
Position 1103: 0.0011697756036203775
Position 3659: 0.0011497357111229583
Position 448: 0.0008139919979630011
Position 2437: 0.0007515768939326505
Position 4735: 0.0007085132516350711
Position 1839: 0.0006952593480363671
Position 793: 0.0006203185350985197
Position 225: 0.0006158111083395752
Position 2610: 0.0006027843682812191
Position 973: 0.0005863623754347175
Position 3373: 0.000526906883191272
Position 3201: 0.0005112314087785676
Position 382: 0.00047712471989496243
Position 5609: 0.0004103471186868358
Position 613: 0.0003876031165860866
Position 259: 0.0003856218925075355
Position 1124: 0.0003748117693934427
