Gene = GTF2B
index = 627
Annotated 5SS: [  136  4358 27638 31479 31737 34413]
Annotated 3SS: [ 4250 27503 31331 31606 34130 38271]
SMsplice 5SS: [  136  4358 27638 31479 31737 34413]
SMsplice 3SS: [ 4250 27503 31331 31606 34130 38271]
top_k =  500
Partition function (log Z): -6.674266205542513

Sorted 5' Splice Sites (High to Low Probability):
Position 4358: 0.9999999893888645
Position 27638: 0.9999997553104734
Position 31479: 0.9999247037501047
Position 31737: 0.8145312161772543
Position 34413: 0.6005362756798598
Position 136: 0.5503826021124429
Position 35163: 0.24761591593468793
Position 12: 0.23344643242960678
Position 30611: 0.15808389487588378
Position 35229: 0.14501119721903674
Position 38512: 0.1402353458026831
Position 34418: 0.09915931730252864
Position 627: 0.055987158573280967
Position 74: 0.04744913714020639
Position 32938: 0.04649351206179446
Position 32459: 0.03818860240563056
Position 34246: 0.034289158217132444
Position 1371: 0.02890725035387896
Position 36790: 0.026006086363122793
Position 237: 0.01875703757584837
Position 140: 0.01821334785060345
Position 384: 0.013232303435267533
Position 34277: 0.010683946388421883
Position 535: 0.009762225058704197
Position 940: 0.007429072934745678
Position 374: 0.0054524581965319655
Position 571: 0.0044661058667971485
Position 1201: 0.0037296561112496428
Position 34587: 0.0036849852256469404
Position 37680: 0.0032451355853467872
Position 34619: 0.002803505566079748
Position 646: 0.0027852796624832856
Position 34494: 0.0026720500762266912
Position 37292: 0.0026186709849548282
Position 32981: 0.0022247916196551937
Position 36190: 0.001921871127588226
Position 32355: 0.0018077486641065415
Position 36892: 0.0008767681604500113
Position 32268: 0.00042835582307937283
Position 33375: 0.00036462763678740955
Position 11288: 2.713257979588201e-08
Position 3927: 8.274930450930188e-09
Position 1996: 7.838053288649172e-09
Position 1388: 3.2271343967375665e-09
Position 2664: 2.477387078818001e-09
Position 1704: 2.3613666564939057e-09
Position 3900: 1.5995359534974247e-09
Position 3234: 1.4237233650018344e-09
Position 4586: 1.3949616694566529e-09
Position 10923: 1.2749233809465762e-09
Position 7214: 7.063789879298528e-10
Position 4322: 6.810636473973805e-10
Position 5584: 4.6074358434082323e-10
Position 4354: 3.5749224082920894e-10
Position 415: 2.965861086841055e-10
Position 935: 1.5240107307572076e-10
Position 303: 1.0192942790859871e-10
Position 799: 8.596176825538003e-11
Position 8: 7.215178363832692e-11
Position 309: 5.577364721408741e-11
Position 217: 5.443879372903883e-11
Position 582: 5.0752423188580477e-11
Position 358: 3.4429641568117516e-11
Position 394: 2.1377589268955045e-11
Position 1613: 1.602342193835299e-11
Position 1156: 1.4529640798928816e-11
Position 699: 1.2928554488854312e-11
Position 1384: 1.0891143579458044e-11
Position 1853: 1.0780442477919059e-11
Position 748: 7.996022636763806e-12
Position 378: 5.982804819827048e-12
Position 2305: 3.1033344757336196e-12
Position 320: 2.9972217099043826e-12
Position 78: 1.6177565849024388e-12
Position 311: 4.882471607910493e-13
Position 76: 4.673066320429398e-13
Position 82: 2.676190164804668e-13
Position 92: 2.2535459717985286e-13
Position 403: 1.9506746848272196e-13
Position 43: 1.9090901434179417e-13
Position 337: 1.6691179130521052e-13
Position 331: 1.3229980195506838e-13
Position 16: 1.1134883183501678e-13
Position 396: 8.083721357220454e-14
Position 3503: 7.033644186000832e-14
Position 85: 7.016892108680982e-14
Position 351: 3.063952388427378e-14
Position 144: 1.971429218914195e-14
Position 124: 1.805605966720669e-14
Position 539: 5.372924564647798e-16
Position 87: 1.759006672693578e-17
Position 113: 6.889068729455796e-18
Position 19: 6.4618210442152026e-18
Position 107: 2.6556991427920897e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 27503: 0.9999997553104734
Position 31331: 0.9982145579640127
Position 38271: 0.8485688396387416
Position 4250: 0.7532705211390763
Position 31606: 0.6642231341176268
Position 34130: 0.5649951437657493
