Gene = SNTN
index = 1293
Annotated 5SS: [ 130 2129 7197]
Annotated 3SS: [ 2093  7056 11268]
SMsplice 5SS: [ 130 2129 7197]
SMsplice 3SS: [ 2093  7056 11268]
top_k =  500
Partition function (log Z): -6.649310976662321

Sorted 5' Splice Sites (High to Low Probability):
Position 130: 0.9927007888527062
Position 7197: 0.6739015615087238
Position 2129: 0.5983136333604788
Position 6336: 0.3218745735523852
Position 3565: 0.29866398665932004
Position 2228: 0.2836587342688575
Position 6793: 0.17978937489083355
Position 5508: 0.145034511381323
Position 3242: 0.10572005262622453
Position 936: 0.08997644024000546
Position 7135: 0.05793147884503733
Position 6998: 0.03123699129766481
Position 11119: 0.030639572505141946
Position 2586: 0.028337367315474333
Position 1672: 0.01463125069690127
Position 1403: 0.013758754186452907
Position 1804: 0.013494477067698728
Position 1501: 0.013015114648866956
Position 6830: 0.011084974334303803
Position 10124: 0.009951953076382386
Position 797: 0.009595189328641984
Position 11164: 0.00846805592586842
Position 1282: 0.004633541142088798
Position 6687: 0.004445033782492701
Position 1702: 0.004319974602239758
Position 4474: 0.003779530447529902
Position 1240: 0.002861738863082183
Position 7276: 0.0024691436205164217
Position 2631: 0.0011868002083706218
Position 1885: 0.0011105593736695876
Position 1465: 0.0009171148748485853
Position 2850: 0.0007146348027686499
Position 4316: 0.0006183696965109968
Position 384: 0.0005540581467586074
Position 6287: 0.0005413547071617223
Position 754: 0.00047070374255518736
Position 1889: 0.00039200724746013836
Position 877: 0.00034125722484041373
Position 814: 0.00026428472575066393
Position 370: 0.00023368475821563823
Position 325: 0.0002305015250482115
Position 836: 0.00022608813346259543
Position 565: 0.00021515900673352759
Position 824: 0.00016771387357466502
Position 1315: 0.00012819979920489281
Position 1394: 0.00012119459196589315
Position 30: 8.739148613212342e-05
Position 2553: 6.762078738264939e-05
Position 746: 6.104386646771747e-05
Position 314: 6.052675041582045e-05
Position 1266: 3.662446713840778e-05
Position 628: 3.6211039890479384e-05
Position 880: 2.9352496679208717e-05
Position 460: 2.4351377438222737e-05
Position 709: 1.5187528908334585e-05
Position 465: 1.2281241279005034e-05
Position 220: 1.1304011453024829e-05
Position 235: 9.55360480391692e-06
Position 39: 8.102679521041452e-06
Position 2151: 7.1772321636783755e-06
Position 2302: 6.5540946097711675e-06
Position 2188: 4.145249312799192e-06
Position 2186: 2.3018608566368915e-06
Position 1130: 1.748831740057203e-06
