Gene = MSMP
index = 888
Annotated 5SS: [270 610]
Annotated 3SS: [500 988]
SMsplice 5SS: [ 270  610 1026]
SMsplice 3SS: [ 435  988 1165]
top_k =  500
Partition function (log Z): -6.048156418904368

Sorted 5' Splice Sites (High to Low Probability):
Position 270: 0.9270699863103982
Position 1026: 0.5788358116271454
Position 610: 0.5761371378207872
Position 537: 0.16381836257442708
Position 846: 0.01396967192879556
Position 693: 0.009195900897026814
Position 116: 0.005239753160572168
Position 410: 0.0052106706507860775
Position 280: 0.0034550571190033507
Position 275: 0.002594634190178347
Position 1062: 0.0014936283168270161
Position 788: 0.0008285678317467031
Position 1019: 0.0005318293120075266
Position 1021: 0.0004274466434515194
Position 10: 0.00040443491172068697
Position 209: 0.00032377910963094533
Position 850: 0.0002130239597983359
Position 910: 0.00016543921123956615
Position 250: 0.00015528905026745396
Position 92: 0.00013393688556004752
Position 287: 9.952864427752125e-05
Position 1030: 6.16295648261677e-05
Position 593: 5.3398122145390915e-05
Position 72: 3.740571209731095e-05
Position 614: 2.5608573400793914e-05
Position 129: 2.1875854186038453e-05
Position 752: 2.0069872469590898e-05
Position 652: 1.982145965343302e-05
Position 561: 1.4877038264352068e-05
Position 674: 1.0988655730244562e-05
Position 423: 6.17716064021771e-06
Position 688: 5.787513528239664e-06
Position 750: 5.1646449241951255e-06
Position 80: 2.802635505463017e-06
Position 1052: 2.06021087132512e-06
Position 794: 1.1114565362034136e-06
Position 603: 1.0208781914050844e-06
Position 214: 9.97193447786947e-07
Position 989: 9.971265556370813e-07
Position 861: 9.050494507118885e-07
Position 376: 8.919736153546448e-07
Position 239: 6.833083259279602e-07
Position 587: 5.690192963525026e-07
Position 896: 5.389722560530115e-07
Position 541: 4.748509921205883e-07
Position 926: 4.7265415742957057e-07
Position 414: 3.3814318386187867e-07
Position 8: 3.2536076120929825e-07
Position 349: 2.5527049703366176e-07
Position 576: 2.179665849119053e-07
Position 347: 8.600183900764569e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 988: 0.9298970562158086
Position 1165: 0.5928622156290526
Position 435: 0.48201838449843143
Position 500: 0.218513554456471
Position 1220: 0.027384392557525332
Position 384: 0.007485676522767329
Position 462: 0.007272186159540552
Position 362: 0.006822731220892571
Position 1095: 0.0032508267093703186
Position 373: 0.0030911462677674696
Position 229: 0.002236279555684016
Position 1273: 0.0015193276999319607
Position 697: 0.0013353797267269122
Position 556: 0.001229538659118645
Position 706: 0.0011306879915749953
Position 440: 0.0011047104510255102
Position 849: 0.0004800352927961678
Position 338: 0.00041522570709334944
Position 1113: 0.000309151964774961
Position 623: 0.00029336194636990325
Position 541: 0.0002324075919689085
Position 995: 0.00019636102962011602
Position 1101: 0.00016918791825666974
Position 834: 0.00012997262705448636
Position 410: 0.00012700599969687635
Position 933: 0.00011747566250406587
Position 443: 0.00010979250926364706
Position 737: 0.00010641875668951843
Position 670: 9.866799022459508e-05
Position 681: 8.788244592249927e-05
Position 236: 7.124659863604219e-05
Position 517: 6.462071202335753e-05
Position 856: 6.387285527869937e-05
Position 941: 5.301542496013361e-05
Position 1125: 5.138180274733975e-05
Position 709: 4.304892713248076e-05
Position 750: 4.036574319638181e-05
Position 1232: 2.857978275614685e-05
Position 614: 1.548353200000336e-05
Position 389: 1.4092766783927428e-05
Position 652: 1.3244861475298309e-05
Position 1235: 1.2629327594957013e-05
Position 888: 1.260613776705229e-05
Position 185: 1.192516351897015e-05
Position 720: 1.0989799214067718e-05
Position 782: 9.6106086732174e-06
Position 763: 6.402991473331252e-06
Position 1034: 6.374903118441769e-06
Position 711: 6.34267025113229e-06
Position 945: 5.88788457539733e-06
Position 660: 5.420376165094042e-06
Position 674: 5.095769755677469e-06
Position 758: 4.35872085410847e-06
Position 169: 4.0186476279888695e-06
Position 445: 2.3807765011949873e-06
Position 246: 2.098761263953681e-06
Position 770: 1.9318918839887216e-06
Position 861: 1.4505193185837587e-06
Position 1025: 1.400490641629977e-06
Position 137: 1.0855497720031217e-06
Position 875: 1.032134071965146e-06
Position 239: 9.946488431102803e-07
Position 631: 6.793834556488114e-07
Position 188: 1.868668313626108e-07
Position 263: 1.3886873246494118e-07
Position 150: 1.28766681891186e-07
Position 250: 7.306272856761969e-08
Position 175: 7.057929977715328e-08
Position 269: 6.929914897558998e-08
Position 134: 1.872924273057868e-08
Position 308: 1.3786188809773707e-08
Position 305: 8.619312555301017e-09
Position 319: 5.0842860951105325e-09
Position 77: 2.484217328719456e-09
Position 103: 2.415664476709746e-09
Position 291: 2.1494918875100136e-09
Position 275: 2.043028557597399e-09
Position 90: 2.0376364325308245e-09
Position 72: 1.6760572737466407e-09
Position 105: 8.68430538390282e-10
Position 299: 5.93012529151304e-10
Position 114: 4.5829404166804257e-10
Position 285: 4.4265473952845565e-10
Position 95: 3.999643430094493e-10
Position 312: 3.6631473277231255e-10
Position 85: 1.978659092342245e-10
Position 111: 1.7268241684349858e-10
Position 323: 1.2230444027730996e-10
Position 302: 9.823732354039893e-11
Position 122: 7.988236501261735e-11
Position 92: 7.571347399084562e-11
Position 124: 6.492931090253428e-11
Position 80: 6.347659941573648e-11
Position 100: 1.1776039794050073e-14
