Gene = SPRR2G
index = 1323
Annotated 5SS: [18]
Annotated 3SS: [737]
SMsplice 5SS: [ 18 574]
SMsplice 3SS: [511 737]
top_k =  500
Partition function (log Z): -6.934639182681369

Sorted 5' Splice Sites (High to Low Probability):
Position 18: 0.6845763816931291
Position 574: 0.5733621024631466
Position 149: 0.2570970069672066
Position 388: 0.02984602371826924
Position 186: 0.024398453016502824
Position 606: 0.020589587787464406
Position 642: 0.007156484551202231
Position 76: 0.005319416345220308
Position 430: 0.004020597415140951
Position 581: 0.003784785446528694
Position 235: 0.003348159904549711
Position 163: 0.002749773491078301
Position 959: 0.002118086852075009
Position 315: 0.0013143798043536927
Position 590: 0.0010019509382572518
Position 627: 0.0006790736289553563
Position 170: 0.0006766000085702733
Position 140: 0.0006204475061811161
Position 723: 0.00043165036544464796
Position 977: 0.0002370051204363643
Position 322: 0.00022714053662148677
Position 851: 0.00017370794668065094
Position 595: 0.00017311274529752092
Position 597: 0.00012712190683475264
Position 22: 0.00011378602744484506
Position 646: 0.00011010569507147553
Position 534: 9.212649437841262e-05
Position 59: 8.593668775793585e-05
Position 615: 4.888714507483012e-05
Position 57: 3.1892798520785694e-05
Position 259: 2.8680508463749017e-05
Position 670: 2.574764228624948e-05
Position 65: 2.572650955238829e-05
Position 824: 2.3824292480960445e-05
Position 254: 1.772874044620769e-05
Position 807: 1.6936783172377592e-05
Position 328: 4.791986440629587e-06
Position 425: 9.933210129957356e-07
Position 300: 4.2063521484287766e-07
Position 90: 1.5957198664456516e-09
Position 476: 5.151556115640829e-10
Position 277: 4.9687812133899663e-11
Position 203: 3.4681358925615046e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 737: 0.8244830989971329
Position 511: 0.3815709560562763
Position 470: 0.16720820809651102
Position 527: 0.06125782929377844
Position 121: 0.049317110803218905
Position 474: 0.040269149342915554
Position 695: 0.02904072027719901
Position 956: 0.0162959965786129
Position 1206: 0.007380354371004246
Position 1041: 0.006581663195421109
Position 230: 0.0048653805912586105
Position 914: 0.004310387589495208
Position 953: 0.003994665597564585
Position 1264: 0.003696521340561987
Position 440: 0.003685805317347792
Position 1063: 0.0032514931878110816
Position 487: 0.00288532920485029
Position 395: 0.0027936705950690538
Position 173: 0.0027094090607165653
Position 773: 0.0021197725749565015
Position 676: 0.0011208252504121762
Position 362: 0.0009314939764169524
Position 81: 0.0009137886199190712
Position 824: 0.000641152767473964
Position 776: 0.00044610455837831067
Position 1157: 0.00037771766098540423
Position 159: 0.00037204772148431616
Position 851: 0.000274603299094755
Position 653: 0.00022816976604117493
Position 1117: 0.00021448700461056033
Position 770: 0.0002037763417455731
Position 890: 0.00014477863057963856
Position 1283: 0.00012953535152310255
Position 128: 0.00011632494090153304
Position 959: 0.00010824241221784251
Position 713: 0.00010570187946479988
Position 971: 9.936825955492122e-05
Position 537: 8.142459269115613e-05
Position 1124: 6.397819912192446e-05
Position 999: 5.861030638342663e-05
Position 148: 4.163911813829152e-05
Position 300: 3.0536061265804543e-05
Position 408: 2.924030516974667e-05
Position 753: 2.5688512797653135e-05
Position 779: 2.279540051891575e-05
Position 328: 2.0338706609207077e-05
Position 831: 1.9674308544544886e-05
Position 370: 1.87295980499685e-05
Position 235: 1.858079192438378e-05
Position 1069: 1.5648163732901542e-05
Position 456: 1.5479394388273476e-05
Position 185: 1.4678510077121771e-05
Position 131: 8.664497745463665e-06
Position 550: 7.288566383092185e-06
Position 413: 4.197065145327671e-06
Position 248: 3.789879704034427e-06
Position 374: 3.1616538071753235e-06
Position 420: 2.917191552562901e-06
Position 233: 2.79016613455568e-06
Position 203: 6.034831148919024e-07
Position 239: 1.8447015220220482e-07
Position 241: 1.672435401068901e-07
Position 139: 1.0330957552320087e-07
Position 193: 8.761293430923717e-08
