Gene = CASD1
index = 281
Annotated 5SS: [  420  7859  8526 17409 18453 23452 24005 25726 28097 29259 34733 35904
 37378 39837 41681 42630 44778]
Annotated 3SS: [ 7761  8404 17363 18389 23406 23880 25510 27673 29168 34612 35746 37297
 39734 41539 42551 44684 45693]
SMsplice 5SS: [  420  7859  8526 17409 18453 23452 24005 29259 35904 41681 44778]
SMsplice 3SS: [ 7761  8404 17363 18389 23406 23880 29168 35746 41539 44684 45693]
top_k =  500
Partition function (log Z): 2.560496211311275

Sorted 5' Splice Sites (High to Low Probability):
Position 8526: 0.9785217289270666
Position 24005: 0.9718494772194654
Position 35904: 0.961923589875848
Position 7859: 0.9606276972559333
Position 29259: 0.9579307173384611
Position 41681: 0.9459020704586342
Position 420: 0.8910069512936465
Position 17409: 0.7914544594812077
Position 23452: 0.6739373166626998
Position 44778: 0.6472940855826367
Position 18453: 0.6212840070810202
Position 35510: 0.5136871056392941
Position 33301: 0.45388533851605767
Position 34733: 0.4343803739104171
Position 45090: 0.4262084711518333
Position 42630: 0.41441947537241286
Position 8255: 0.35371415884418855
Position 18944: 0.34744235843954646
Position 8300: 0.28616438329611066
Position 20858: 0.2676191761060427
Position 39824: 0.2576795642699295
Position 33362: 0.22096749475964528
Position 20625: 0.21064847648281268
Position 28287: 0.189771999923652
Position 30946: 0.18371214100339775
Position 37378: 0.18118015381789832
Position 38118: 0.14424243937555004
Position 1139: 0.11673179701459739
Position 28097: 0.11065172638583705
Position 20730: 0.10640686140668493
Position 35371: 0.1009965824282456
Position 30883: 0.08697118968120188
Position 40012: 0.08041320513228241
Position 42394: 0.07247850150288417
Position 13243: 0.07232914006134548
Position 41916: 0.06755998033785032
Position 356: 0.06188836327718765
Position 21722: 0.06093171387131172
Position 39837: 0.052133224693579755
Position 41714: 0.05061043356653048
Position 39118: 0.046030668964899275
Position 2190: 0.043518962985773596
Position 36487: 0.042539757847963454
Position 44835: 0.04060821047106475
Position 40799: 0.03964950730073512
Position 38286: 0.03872610898775385
Position 15226: 0.03812697964360808
Position 8843: 0.037571741622032896
Position 35202: 0.037404154192747514
Position 39172: 0.034127157811493045
Position 17425: 0.030030215456904163
Position 8734: 0.03000543589840523
Position 2134: 0.02809132524036149
Position 29690: 0.027519537941433806
Position 25726: 0.027424229263475687
Position 42118: 0.025540753003099957
Position 39205: 0.02507705519773689
Position 43896: 0.024483116512931953
Position 116: 0.023459754102963293
Position 34672: 0.022727127318343955
Position 44782: 0.02198526158030264
Position 44868: 0.019492512843200357
Position 18747: 0.01940008608984825
Position 38086: 0.017137191465178
Position 7029: 0.015759695834638248
Position 31178: 0.014621013093467562
Position 34724: 0.014334352175133465
Position 41886: 0.01230281876931173
Position 40372: 0.009751202711735824
Position 1859: 0.009682054374571883
Position 165: 0.009297107176005235
Position 46236: 0.00915702852829769
Position 2663: 0.009139139066932953
Position 45888: 0.00910148324669491
Position 5864: 0.008620271898334657
Position 43785: 0.008527361362465742
Position 40378: 0.008488410149749662
Position 1021: 0.00831986824251066
Position 708: 0.008065100539383958
Position 1084: 0.007160113951246963
Position 33643: 0.006975014073730551
Position 5229: 0.00667223279861291
Position 1160: 0.006607043853974723
Position 1771: 0.006188410721364824
Position 5584: 0.0061309792806098365
Position 39186: 0.005642504094836482
Position 2924: 0.005234425341144653
Position 5370: 0.005184740019081106
Position 43419: 0.004594178207236123
Position 8057: 0.004471700207855338
Position 35837: 0.004132753910436644
Position 35926: 0.004116797520318297
Position 8338: 0.004083084733095788
Position 29640: 0.00385295158375715
Position 44831: 0.0031814747829705184
Position 11333: 0.0030771243618372547
Position 13412: 0.0030506127731529456
Position 13971: 0.0028027524313308234
Position 30115: 0.0024533236765044105
Position 40398: 0.002275409895711036
Position 41616: 0.0018758745558194096
Position 9015: 0.0017975439322700736
Position 24512: 0.0017657460009168871
Position 8650: 0.0014808803621684146
Position 861: 0.0014065891606284823
Position 15206: 0.001370977229835302
Position 36329: 0.001249981900433415
Position 42624: 0.001144883223589391
Position 45293: 0.001108952698999829
Position 17543: 0.0008518987660521238
Position 37178: 0.0006905017462469476
Position 877: 0.000685986325806946
Position 14338: 0.0006134311872976563
Position 24542: 0.0006006252218175431
Position 341: 0.0006004995758076478
Position 13141: 0.0005133247976593942
Position 15353: 0.0004875455613112735
Position 144: 0.0004597753190077866
Position 37445: 0.00041977735423278826
Position 557: 0.0004059319475947284
Position 139: 0.0003603299496177965
Position 730: 0.00028471272770064156
Position 1575: 0.0002641845981613466
Position 234: 0.00024212313201039086
Position 25028: 0.00023534172490531256
Position 1897: 0.00023070403376967123
Position 24282: 0.00018160999086891787
Position 1872: 0.00010419950324743173
Position 37076: 8.773203085014101e-05
Position 724: 8.430348938655615e-05
Position 665: 3.3844429335322424e-05
Position 368: 2.685574990215348e-05
Position 33242: 1.1501665374427927e-05
Position 631: 1.1342312199986321e-05
Position 29658: 1.0962529012341692e-05
Position 783: 1.0468734228777776e-05
Position 1463: 8.998722719486271e-06
Position 697: 6.212395297111418e-06
Position 85: 5.849547201610241e-06
Position 849: 5.753123962852479e-06
Position 8484: 5.303745773571493e-06
Position 854: 4.90027252725346e-06
Position 547: 3.3589887180599063e-06
Position 604: 2.3934424050391666e-06
Position 1116: 1.9973360705524947e-06
Position 1256: 1.8197210768690172e-06
Position 1119: 1.298802089798027e-06
Position 223: 6.387986363397805e-07
Position 1206: 4.2585097437693057e-07
Position 1424: 3.025111991949606e-07
Position 1157: 1.5491478592355086e-07
Position 762: 1.102442500733222e-07
Position 771: 3.622547989382103e-08
Position 267: 2.7375545416505797e-08
Position 20: 8.870125140912189e-09
Position 270: 7.741614894831898e-09
Position 374: 1.2670534401319642e-11
Position 453: 4.5088797359275764e-12
Position 594: 1.2444199306876195e-13
Position 634: 1.1283305416408369e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 41539: 0.9999999999999994
Position 8404: 0.9728051907574533
Position 23880: 0.9718494772194651
Position 35746: 0.9701731413066033
Position 7761: 0.9437161709613128
Position 44684: 0.8912397367413807
Position 17363: 0.8223365737041639
Position 29168: 0.6842501926422725
Position 33154: 0.6748643349410772
Position 23406: 0.6739373166627002
Position 18389: 0.6355855713635955
Position 8056: 0.5934448951694409
Position 20598: 0.561514875893457
Position 34612: 0.46516674953104487
Position 45693: 0.4345538959488363
Position 44997: 0.42182228745456496
Position 35476: 0.4132979418232714
Position 42551: 0.404189683024809
Position 39734: 0.33802115493315554
Position 18851: 0.30629304744112784
Position 30778: 0.2614190378746092
Position 29148: 0.25671304606759765
Position 37297: 0.18084999468760998
Position 35150: 0.17915325901859994
Position 37922: 0.1704949193753875
Position 46591: 0.1456222820845451
Position 28161: 0.1313294215827592
Position 979: 0.11614404737351804
Position 27923: 0.10899234284230926
Position 39036: 0.08197539485479452
Position 47116: 0.07637003561217598
Position 42325: 0.07432825706840801
Position 46015: 0.07070113438980784
Position 8645: 0.06910943528567175
Position 41805: 0.0615656706384987
Position 35445: 0.05963664141841594
Position 21551: 0.05120192533487716
Position 15097: 0.03998550243475466
Position 40532: 0.03964950730073511
Position 41828: 0.03907778060933106
Position 2020: 0.038945744610954694
Position 46710: 0.03882959975291533
Position 13046: 0.03794643005861508
Position 28275: 0.03338202276903217
Position 18575: 0.03129448373981799
Position 38163: 0.02961082045309442
Position 36400: 0.029484406102455424
Position 39926: 0.029312826585550594
Position 12879: 0.028745975410434485
Position 44977: 0.028151304427057516
Position 25510: 0.027424229263475687
Position 28198: 0.02506055557186065
Position 39920: 0.0228920125770856
Position 29557: 0.022559852482897103
Position 38907: 0.021672229553524307
Position 40105: 0.020515022757196515
Position 42511: 0.018573179373278056
Position 43692: 0.017479563676052672
Position 43843: 0.01584881365582939
Position 1714: 0.015371299599467952
Position 31093: 0.014621013093467567
Position 36211: 0.014232649054772045
Position 7893: 0.014038335548591184
Position 8242: 0.01403548149092881
Position 7682: 0.013342120850799648
Position 20730: 0.012654210609955443
Position 45887: 0.012030361336904202
Position 5335: 0.011315719299690935
Position 8071: 0.010553053635038194
Position 45431: 0.010527959345298234
Position 20709: 0.01050542749212777
Position 21381: 0.009729788536434572
Position 30800: 0.009264292809990395
Position 45708: 0.00914431245154284
Position 47033: 0.008841806102202717
