Gene = CMSS1
index = 383
Annotated 5SS: [   210 329228 342668 344599 348561 350007 354066 354570 358582]
Annotated 3SS: [329138 342595 344468 348500 349903 354004 354481 358492 360470]
SMsplice 5SS: [   210  20406  27115  32901  49336  63279 116768 130194 144325 186316
 201952 207725 230566 251933 284696 291496 295677 296774 296967 297165
 307971 329228 342668 344599 350015 354066 354570 358582]
SMsplice 3SS: [ 20290  27036  32791  49166  63168 116647 130092 144212 186196 201860
 207622 230501 251811 284651 291353 295523 296535 296864 297100 307814
 329138 342595 344468 349903 354004 354481 358492 360470]
top_k =  500
Partition function (log Z): -159.93914933395791

Sorted 5' Splice Sites (High to Low Probability):
Position 210: 0.9929056473737095
Position 1688: 0.24485306064060094
Position 2736: 0.1689770251201154
Position 8966: 0.14193127186809137
Position 9220: 0.10571248178518547
Position 5227: 0.09900551823715965
Position 1319: 0.09263411962154026
Position 3454: 0.08812720642302077
Position 8791: 0.06673124133214549
Position 1351: 0.05646357788810656
Position 4597: 0.04587119769694036
Position 9636: 0.031395285988410813
Position 8087: 0.025508808059209034
Position 9638: 0.014693647421918372
Position 3744: 0.014624078134683374
Position 552: 0.003573068594381431
Position 8221: 0.0020737865138854717
Position 3431: 0.0013731135510732066
Position 696: 0.0012238313868295
Position 744: 0.001126548369404687
Position 1769: 0.0010793813665964489
Position 172: 0.0007139607908177912
Position 886: 0.0006391951040482604
Position 1306: 0.0005386185685500921
Position 312: 0.0005312115596651937
Position 1447: 0.0004986796860605031
Position 1018: 0.0004749387657219285
Position 2986: 0.0004686078586058659
Position 2641: 0.00034159694429158167
Position 1126: 0.00023509701187210863
Position 677: 0.0001893678551791884
Position 3499: 0.00017928045247286075
Position 1790: 0.0001674191218508411
Position 705: 0.00011770152876697263
Position 260: 0.00011151672777367839
Position 7785: 8.780835037495829e-05
Position 3150: 8.263649201687433e-05
Position 1023: 6.232263901056505e-05
Position 1103: 5.798613716909458e-05
Position 1621: 5.6641753729825666e-05
Position 1204: 4.8419096494301256e-05
Position 355: 4.715832946786462e-05
Position 1614: 4.271042751319786e-05
Position 1731: 3.744197789916202e-05
Position 295: 2.985999514568149e-05
Position 1713: 2.7036949811374313e-05
Position 1792: 2.277634503746218e-05
Position 84: 2.1743560239746093e-05
Position 128: 1.530608188040176e-05
Position 1099: 1.4159389155496843e-05
Position 276: 1.115212213499784e-05
Position 512: 9.964967149534158e-06
Position 1028: 6.745490458967639e-06
Position 940: 2.814180038155457e-06
Position 1045: 1.270341606070816e-06
Position 641: 7.350736817756417e-07
Position 618: 4.927668242222126e-07
Position 605: 4.84853440137597e-07
Position 1526: 3.011139767113364e-07
Position 519: 2.390685819825695e-07
Position 169: 2.321866101838332e-07
Position 51: 2.2091911151687388e-07
Position 376: 2.1606435943415362e-07
Position 117: 2.0326751936605418e-07
Position 101: 1.5462410181754275e-07
Position 504: 1.4240632054366363e-07
