Gene = BTLA
index = 148
Annotated 5SS: [  291 20107 28350 29804]
Annotated 3SS: [19791 28205 29756 33177]
SMsplice 5SS: [  291 20107 29804]
SMsplice 3SS: [19791 29756 33177]
top_k =  500
Partition function (log Z): -21.24006597667525

Sorted 5' Splice Sites (High to Low Probability):
Position 291: 0.9670821652737392
Position 10099: 0.18037221902561823
Position 2314: 0.15359417633577332
Position 2086: 0.07447892847220555
Position 1638: 0.030695579703397396
Position 113: 0.029511306287693894
Position 117: 0.006911706523165097
Position 2344: 0.005182328685423361
Position 9522: 0.0033780617652664244
Position 539: 0.0027266113837248595
Position 4179: 0.0024117633496997604
Position 3186: 0.0020178038289079517
Position 1885: 0.0017743097233220465
Position 2239: 0.0017420387091440172
Position 4721: 0.0016436277072874178
Position 2603: 0.0016077761269369935
Position 2297: 0.0014463226170355493
Position 308: 0.0011540906099803028
Position 2351: 0.0010784808895374586
Position 2081: 0.0008857187926653148
Position 2338: 0.000856278004451312
Position 691: 0.0006412554838966521
Position 396: 0.00034433509204511304
Position 392: 0.00016184699657026419
Position 1106: 8.864734299058284e-05
Position 1669: 7.986162911640726e-05
Position 3167: 7.229240471644305e-05
Position 2131: 3.885716745103638e-05
Position 1456: 3.4222184057832965e-05
Position 791: 3.159341444822815e-05
Position 1847: 2.9805354318831724e-05
Position 1206: 1.863101294503974e-05
Position 1759: 1.2797501552581244e-05
Position 194: 5.815424830123307e-06
Position 573: 5.696076846603229e-06
Position 369: 4.9846980638466604e-06
Position 1232: 2.7248110840833816e-06
Position 3472: 2.529169855642345e-06
Position 3575: 2.0175890175845233e-06
Position 471: 9.506218627626306e-07
Position 248: 4.46666027328192e-07
Position 90: 3.0950098904852556e-07
Position 8: 6.957943628273028e-08
Position 175: 2.179884094545529e-08
Position 376: 4.71148981464718e-09
Position 335: 2.9658145921732037e-09
Position 318: 2.180032655563348e-09
Position 880: 1.3780560212257985e-09
Position 578: 1.1542583829416765e-09
Position 374: 5.648350519145243e-10
Position 381: 3.2895010416731097e-10
Position 1011: 1.937361601876843e-10
Position 557: 4.6595960363571806e-11
Position 402: 9.066436651524376e-12
