Gene = CTNNBIP1
index = 420
Annotated 5SS: [  169 26559 32359 38295 39077]
Annotated 3SS: [26524 32273 38174 38985 59486]
SMsplice 5SS: [  169 16193 16445 17255 26559 32359 38295 39077 51059 51579]
SMsplice 3SS: [16156 16316 17170 26524 32273 38174 38985 50928 51367 59486]
top_k =  500
Partition function (log Z): -3.1383736175483854

Sorted 5' Splice Sites (High to Low Probability):
Position 26559: 1.0000000000000009
Position 17255: 1.0000000000000004
Position 169: 1.0
Position 38295: 0.9989774824395112
Position 39077: 0.9976123954002398
Position 32359: 0.9704224282472529
Position 16445: 0.9677024982904133
Position 49524: 0.9491144060449321
Position 51059: 0.8373751199849672
Position 16193: 0.7910183762001557
Position 39284: 0.6205730460680046
Position 51579: 0.5974357822694201
Position 38529: 0.525446975799132
Position 19546: 0.5148388737136399
Position 47316: 0.4609142643923262
Position 39635: 0.2892785982742568
Position 34647: 0.19053855841676154
Position 59727: 0.18401733028562933
Position 59518: 0.1699711769284128
Position 20605: 0.15787626434572527
Position 54874: 0.15113576757034092
Position 51555: 0.13752907854900165
Position 26182: 0.13337397387220915
Position 25714: 0.07875729700717708
Position 54660: 0.05198021294239086
Position 20092: 0.049076507507153824
Position 51493: 0.0455278776239825
Position 21019: 0.04249711000873435
Position 19699: 0.0416501587696192
Position 19526: 0.038422694025680715
Position 19304: 0.03715408584793605
Position 25772: 0.035482550329489375
Position 21291: 0.03233416406960241
Position 20070: 0.0313732227074464
Position 16764: 0.02823846088398861
Position 19358: 0.01039325307774026
Position 19284: 0.009407624098580213
Position 40546: 0.00289552489840439
Position 41832: 0.0021704513887043438
Position 38660: 0.0017275801063910108
Position 43496: 0.0012607650146282997
Position 39358: 0.0009588715406785225
Position 38256: 0.0009446231378793411
Position 39621: 0.0004910380384050736
Position 41940: 0.0002177116897855411
Position 40305: 0.00012270152751630775
Position 40377: 8.883843300183014e-05
Position 43289: 7.302485077760708e-05
Position 40291: 5.113262522410134e-05
Position 42573: 4.490657556987687e-05
Position 39891: 3.6500222034515515e-05
