Gene = IQCC
index = 713
Annotated 5SS: [  63  637 1101 1460]
Annotated 3SS: [ 492  847 1340 1578]
SMsplice 5SS: [  63  637 1101 1460]
SMsplice 3SS: [ 492  847 1340 1578]
top_k =  500
Partition function (log Z): -1.9402757127244432

Sorted 5' Splice Sites (High to Low Probability):
Position 63: 0.9236795382213123
Position 1101: 0.9235229859614582
Position 1460: 0.8224303887814184
Position 637: 0.7137529506760384
Position 1452: 0.1542637952415515
Position 48: 0.02054075650758125
Position 559: 0.018752587723701326
Position 568: 0.013922921767407533
Position 546: 0.008525622997361032
Position 389: 0.0069046016626555075
Position 39: 0.0028500258864762465
Position 927: 0.0015560515960281946
Position 1670: 0.0013129680771051281
Position 965: 0.0009300629725255215
Position 887: 0.0008638127622896013
Position 514: 0.00071134583251653
Position 82: 0.0002308653833584722
Position 1503: 0.0002054642743140145
Position 976: 0.00015479122976107696
Position 152: 0.00011957881012201107
Position 1509: 0.0001099950017616054
Position 455: 9.572779562313861e-05
Position 1238: 8.262759558613538e-05
Position 1558: 7.678032377703142e-05
Position 1496: 6.0635663898679404e-05
Position 594: 5.43415716181956e-05
Position 50: 5.418719289562097e-05
Position 789: 4.932471814583398e-05
Position 384: 4.8109465819360335e-05
Position 499: 4.6236831453007066e-05
Position 2174: 2.8038234921070235e-05
Position 681: 2.4360381260251882e-05
Position 1771: 1.6745774262760452e-05
Position 1551: 1.3691061855289767e-05
Position 116: 1.145970856199775e-05
Position 1143: 7.795585396719064e-06
Position 700: 5.283151371215728e-06
Position 729: 4.7998944960882125e-06
Position 428: 2.3288069162380787e-06
Position 320: 1.3241045138776906e-06
Position 774: 1.3136689869328956e-06
Position 157: 9.79816878832043e-07
Position 121: 8.841571406952707e-07
Position 11: 6.013645312301473e-07
Position 247: 5.323234723820349e-07
Position 195: 4.982073721561026e-07
Position 1167: 1.3898438476142683e-07
Position 809: 9.452214630739326e-08
Position 330: 7.109029617830278e-08
Position 1426: 3.897789042883851e-09
Position 1393: 2.1193276387914753e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1340: 0.977001611329266
Position 1578: 0.8205196740645073
Position 847: 0.5701428692549828
Position 492: 0.5502985349839689
