Gene = ZZZ3
index = 1628
Annotated 5SS: [    74  41137  41275  43210  50809  98142 100680 100883 101661 103132
 103885 106591 114327 116578]
Annotated 3SS: [ 41002  41211  43055  49252  98002 100531 100766 101588 103029 103788
 106437 114191 116476 116873]
SMsplice 5SS: [    74   7144  41137  60967  79237  97892  98142 100680 100883 101661
 103132 103885 106591 114327]
SMsplice 3SS: [  6968  41002  60868  79147  97828  98002 100531 100766 101588 103029
 103788 106437 114191 115634]
top_k =  500
Partition function (log Z): -59.055079038157544

Sorted 5' Splice Sites (High to Low Probability):
Position 7144: 0.732925911046521
Position 638: 0.5122108746112112
Position 2628: 0.26949549956567503
Position 612: 0.2633336900583684
Position 367: 0.22256889055538234
Position 2851: 0.11216342095278505
Position 3749: 0.09350318777329503
Position 2650: 0.08545873222563448
Position 6018: 0.08529653865778543
Position 6510: 0.06261791838944565
Position 5581: 0.06062137502039262
Position 247: 0.05377604856238178
Position 2791: 0.034773637307575885
Position 719: 0.013850019309174016
Position 4008: 0.012781749101657828
Position 1063: 0.010714542852575748
Position 6459: 0.008054770091259184
Position 163: 0.007846492150863806
Position 6761: 0.0072347273273057205
Position 7118: 0.0064905194454964515
Position 78: 0.0045489160111840295
Position 581: 0.0034927152455124285
Position 1293: 0.00323551945909303
Position 411: 0.002200201226882652
Position 2007: 0.001850156852277231
Position 296: 0.001846785989171899
Position 2044: 0.0017548325624738416
Position 81: 0.0015713379797932935
Position 398: 0.0014740122988846568
Position 3320: 0.0014270840740962102
Position 529: 0.001382924500469823
Position 2187: 0.0010049782343145802
Position 2201: 0.0008583440213731312
Position 113: 0.0005632340695038071
Position 1039: 0.0004899899602686086
Position 1075: 0.00034823756440728436
Position 1370: 0.00031739343405725543
Position 2469: 0.00025130534617686154
Position 361: 0.0002506281333138734
Position 37: 0.00015816312764657984
Position 3651: 0.0001446840096592599
Position 4113: 0.00013083671918432373
Position 3626: 0.00012853665911242195
Position 2540: 0.0001248919888810049
Position 1766: 0.00010319731724373596
Position 1772: 0.00010061538051994013
Position 869: 9.5790161421172e-05
Position 4180: 8.422667299936181e-05
Position 2838: 7.063600634562214e-05
Position 371: 5.9778561281147756e-05
Position 441: 2.786301287399752e-05
Position 125: 1.7100358338406208e-05
Position 264: 1.5071788098851216e-05
Position 103: 1.0246292258306834e-05
Position 423: 9.701256934538774e-06
Position 454: 4.359804759070637e-06
Position 421: 2.505099358834124e-06
Position 146: 2.0329612978224245e-06
Position 12: 1.8865483212292909e-06
Position 15: 1.2843664118153528e-06
Position 342: 6.040255619128892e-07
Position 493: 4.027154514050985e-07
Position 669: 3.8261169027744347e-07
Position 684: 1.493514818727665e-07
Position 280: 1.204260440118451e-07
Position 520: 1.0106740565611373e-07
Position 270: 8.205393202000148e-08
Position 542: 5.690961985137438e-08
Position 307: 5.1892838647291985e-08
Position 643: 4.547386279222062e-08
Position 695: 3.588260143567684e-08
Position 631: 2.54606278990748e-08
Position 705: 2.380332802064886e-08
Position 495: 6.199757356131812e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6968: 0.7791105305665644
Position 2562: 0.296488071048479
Position 15972: 0.16927985921042413
Position 7568: 0.1421025107925977
Position 5327: 0.10777887724932433
Position 441: 0.09304046672118856
Position 3603: 0.08625589067625974
Position 2740: 0.08615815882407898
Position 6360: 0.0768974180649677
Position 18389: 0.06124367700902418
Position 2507: 0.05363500263945423
Position 14017: 0.053157702286472625
Position 5908: 0.052268264156873565
Position 2715: 0.05144127584042682
Position 11228: 0.042966394255762604
Position 17524: 0.041709126390649956
Position 6159: 0.039827809223732635
Position 12717: 0.038287421331217444
Position 11299: 0.030621280145402056
