Gene = ISPD
index = 720
Annotated 5SS: [   257  15262  45231 112800 119902 143194 162403 162933 205257]
Annotated 3SS: [ 14984  45080 112694 119855 143095 162309 162839 205124 329522]
SMsplice 5SS: [   257   8599  15262  38372  44983  45231  63501  71836  73647  85763
  96322 112800 143018 143194 162403 162933 188880 205257 210970 238521
 283096 302302 320805 325785]
SMsplice 3SS: [  8474  14984  38275  44775  45080  63408  71614  73520  85645  96282
 112694 142857 143095 162309 162839 188753 205124 210822 238411 282982
 301946 320731 325641 331166]
top_k =  500
Partition function (log Z): -150.04705207728918

Sorted 5' Splice Sites (High to Low Probability):
Position 8599: 0.6921399187663956
Position 257: 0.5642972599901888
Position 936: 0.4204621784470219
Position 164: 0.1571068774581041
Position 15262: 0.14560688496708454
Position 8017: 0.0914981635165651
Position 12624: 0.08109767256886843
Position 13144: 0.050974910170724974
Position 2781: 0.0501441714655938
Position 645: 0.045733826200323895
Position 8032: 0.042249971341490826
Position 7424: 0.03915305524873108
Position 2817: 0.03882078807650471
Position 8652: 0.028669011204405796
Position 3238: 0.0032565394174310183
Position 2363: 0.00245479986236933
Position 493: 0.0020384523145662416
Position 2137: 0.001530819798636061
Position 2615: 0.0015000219869575253
Position 8097: 0.001206277298844938
Position 711: 0.0011108550564508275
Position 737: 0.0010471294114384644
Position 3610: 0.0008611056143031068
Position 4750: 0.0008021449680421377
Position 7092: 0.000722102831220313
Position 1939: 0.0003106858105229552
Position 672: 0.00020884974173402966
Position 661: 0.00016003174382114984
Position 58: 0.0001391778720759262
Position 676: 0.0001015579638266521
Position 539: 5.517619240128358e-05
Position 284: 5.383261874545698e-05
Position 649: 2.9654137054642115e-05
Position 589: 2.3291232561668058e-05
Position 43: 2.1339179641030858e-05
Position 1276: 2.083095621181572e-05
Position 183: 2.0060126831161785e-05
Position 633: 1.5275263601872625e-05
Position 419: 1.2151185933122203e-05
Position 147: 9.496089611799592e-06
Position 642: 8.726952655148689e-06
Position 371: 7.4864145503305475e-06
Position 531: 2.61562649355584e-06
Position 1523: 1.89205602303327e-06
Position 560: 1.3724986001323372e-06
Position 598: 1.2646213997083488e-06
Position 1974: 1.1350625445030078e-06
Position 514: 1.0435007477711834e-06
Position 149: 9.469694942141944e-07
Position 606: 7.989932443615377e-07
Position 55: 3.962631786191161e-08
Position 102: 1.9402304949933476e-08
Position 496: 1.5888685794329813e-08
Position 1053: 1.3591354018961972e-08
Position 983: 1.1186182698896346e-08
Position 811: 6.890745339107335e-09
Position 975: 5.736151322396709e-09
Position 907: 2.7885135412804785e-09
Position 1089: 2.4609756161019397e-09
Position 138: 8.758514145588628e-10
Position 391: 1.192682320907366e-12
Position 476: 1.6368505552135665e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 8474: 0.6346250757597134
Position 14984: 0.4409004943624779
Position 16511: 0.1461470614501101
Position 831: 0.14200036398147212
Position 8372: 0.10277341572372133
Position 12788: 0.09337256266932883
Position 7951: 0.09264490531097441
Position 12524: 0.08888143481217631
Position 7648: 0.08251748470592873
Position 9673: 0.07829245766850552
Position 12955: 0.07683058046757459
Position 11749: 0.06399145338807995
Position 2703: 0.0477220256725271
Position 409: 0.043101578966395
Position 15405: 0.02969648494551574
Position 2661: 0.02880282694758722
Position 17074: 0.027320440934964912
Position 7369: 0.02283122817181846
Position 14470: 0.021328282846967493
Position 7271: 0.018857101028275702
Position 8195: 0.016570335349500292
