Gene = MXRA8
index = 901
Annotated 5SS: [  80 1855 3086 3292 3854 4182 4343 4506 4688]
Annotated 3SS: [1830 2782 3189 3382 4025 4302 4428 4606 4905]
SMsplice 5SS: [  80 3086 3292 4182 4343 4506 4688]
SMsplice 3SS: [2782 3189 4025 4302 4428 4606 4905]
top_k =  500
Partition function (log Z): 2.1001810934671683

Sorted 5' Splice Sites (High to Low Probability):
Position 80: 0.9547444118967325
Position 4688: 0.9367164316771402
Position 3292: 0.9170224083412073
Position 4182: 0.9005751111853741
Position 3086: 0.7626009601417013
Position 4506: 0.7604220347373971
Position 4343: 0.5204887802851285
Position 2833: 0.16810108055890288
Position 3854: 0.12302504131390699
Position 3514: 0.08743893578139786
Position 1855: 0.07356589230807208
Position 4224: 0.04447133020512527
Position 1640: 0.03194520950620536
Position 3421: 0.027723783953366547
Position 105: 0.014312564648917957
Position 394: 0.012586515500401864
Position 1411: 0.012483318502175248
Position 5064: 0.010293062850998508
Position 186: 0.008507461158266857
Position 4286: 0.007471390497871566
Position 5286: 0.0051180624848496045
Position 3662: 0.0049349082050605736
Position 4488: 0.004162092920072992
Position 208: 0.003776846619900298
Position 2164: 0.0034230283709804406
Position 2887: 0.0027509298112118248
Position 2566: 0.002547702672720144
Position 1119: 0.002253358611703248
Position 3463: 0.002073868607384734
Position 3115: 0.00198728727030336
Position 1026: 0.0014829348186560073
Position 541: 0.0013896602379469174
Position 427: 0.001330062502300161
Position 3006: 0.001185191938003847
Position 1683: 0.001170724821812903
Position 3478: 0.0011470420487890848
Position 1679: 0.0011329070739301487
Position 133: 0.0010721382320839927
Position 5396: 0.0010265901446017687
Position 3279: 0.0009825867754643064
Position 1155: 0.0009450216467795177
Position 3677: 0.0009077219603569626
Position 3496: 0.0008078836363725725
Position 1715: 0.0007234777301043535
Position 4145: 0.0006696004530707357
Position 3585: 0.0005629047580675048
Position 390: 0.0005127387841378266
Position 3694: 0.0005044487197725799
Position 2860: 0.0004264217634705669
Position 2250: 0.0003730224004906138
Position 3517: 0.00034233129027479744
Position 4401: 0.0003230924036807597
Position 2615: 0.0003015225136976037
Position 119: 0.00030076430506138584
Position 86: 0.00029927390667773633
Position 1932: 0.0002874174862555152
Position 1416: 0.0002779635034518733
Position 3127: 0.00027535063737029505
Position 3544: 0.0002623869200534401
Position 2791: 0.0002529868546137381
Position 4668: 0.000235391297294712
Position 5035: 0.00021839279629131108
Position 1008: 0.00021262080020760578
Position 1767: 0.00021169019279071883
Position 257: 0.00019729958163220495
Position 3296: 0.00017126108147784796
Position 3637: 0.0001662623796922287
Position 3430: 7.696334230943568e-05
Position 991: 6.817318636816034e-05
Position 3775: 6.384457744605145e-05
Position 1240: 4.222745816161231e-05
Position 1541: 3.105520881751709e-05
Position 947: 2.4656385530502494e-05
Position 1689: 1.904816654237873e-05
Position 704: 1.7377432998174347e-05
Position 127: 1.4671098512337536e-05
Position 4325: 1.2806507309126123e-05
Position 1555: 1.2415736899625933e-05
Position 84: 8.6843136777116e-06
Position 1324: 5.3438306597234635e-06
Position 1522: 4.697977097987428e-06
Position 1107: 4.664445867517966e-06
Position 3267: 4.355501353177566e-06
Position 67: 3.5006423913437045e-06
Position 1440: 3.2865504430952915e-06
Position 1662: 3.0384003868627237e-06
Position 1341: 2.997846955845956e-06
Position 4834: 1.2509543513995697e-06
Position 803: 1.339007631506795e-07
Position 337: 1.331790661579355e-07
Position 245: 1.23964415727192e-07
Position 112: 9.714414337061392e-08
Position 178: 7.797595847191806e-08
Position 289: 2.060057715646226e-08
Position 613: 1.165025055298249e-09
Position 381: 7.534823858246468e-10
Position 398: 6.262125590779814e-10
Position 137: 5.081706734404864e-10
Position 250: 5.1174002535671275e-11
Position 422: 3.528160858963635e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4606: 0.9739927372372345
Position 4025: 0.9385219431490354
Position 3189: 0.915162937381052
Position 2782: 0.7343135861514519
Position 4428: 0.5632378487616724
Position 4302: 0.5078105422933763
Position 4905: 0.30655179121106524
Position 3382: 0.2242566618133323
Position 5097: 0.19276510654086992
Position 5600: 0.16546468111685037
Position 4398: 0.15961439653869575
Position 5202: 0.14085622923998808
Position 1830: 0.0679453705048846
Position 2810: 0.04564612978943675
Position 5501: 0.04238782913818661
Position 5779: 0.03951424400049252
Position 2898: 0.039487553564208154
Position 5028: 0.03309517972731802
Position 4099: 0.029628541538683523
Position 1536: 0.026478724921394317
Position 4801: 0.02234095624698464
Position 3000: 0.022246122738998265
Position 4377: 0.022185458701835317
Position 2680: 0.02007782124698755
Position 2733: 0.01858560695606682
Position 2919: 0.017712611292291593
Position 2651: 0.012269756205582953
Position 2604: 0.011208267297675595
Position 3684: 0.009211617617605429
Position 3980: 0.007548409336627584
Position 2874: 0.007390341686512432
Position 4096: 0.007359856787398122
Position 1498: 0.006877840415047253
Position 5318: 0.006765217036989046
Position 1228: 0.006022109559807469
Position 1244: 0.004935833603985451
Position 4432: 0.0046582500003737115
Position 2741: 0.0042048563612218075
Position 3693: 0.0037084913750867273
Position 4170: 0.0034506664577395314
Position 3936: 0.0033519727968363885
Position 3158: 0.0031501477397844657
