Gene = ABTB1
index = 6
Annotated 5SS: [ 142 1514 1661 3175 3492 3642 4144 4347 4624 4904 7246]
Annotated 3SS: [1450 1604 3029 3331 3595 4026 4227 4524 4735 7044 7328]
SMsplice 5SS: [ 142 1514 1661 3175 3492 3661 4144 4347 4624 4904 7246]
SMsplice 3SS: [1404 1604 3029 3331 3595 4026 4227 4524 4755 7044 7328]
top_k =  500
Partition function (log Z): 23.178083537526234

Sorted 5' Splice Sites (High to Low Probability):
Position 4347: 0.9904578470864169
Position 3492: 0.9627536981287419
Position 3175: 0.9617021725696194
Position 4624: 0.9564563563873427
Position 142: 0.919962063675742
Position 1514: 0.9176761785690976
Position 4904: 0.8990364870688539
Position 7246: 0.8188601203888658
Position 1661: 0.5879663671758112
Position 4144: 0.5489625049554115
Position 6365: 0.4621171754779071
Position 3661: 0.43338156827918883
Position 3642: 0.34362018726747784
Position 5184: 0.24028908935603374
Position 4131: 0.24010289126180898
Position 2812: 0.20151817485938417
Position 444: 0.1898369745376425
Position 2816: 0.14352284574949625
Position 1709: 0.13453841745876133
Position 5295: 0.12480062492814463
Position 5567: 0.11888735235951406
Position 6642: 0.10847100544369484
Position 5333: 0.10434213343923343
Position 3709: 0.10262855016489374
Position 2239: 0.1011836675877801
Position 1687: 0.09833867378134385
Position 6515: 0.09507426501252504
Position 3947: 0.08668693595235683
Position 2832: 0.08447859443427852
Position 1689: 0.07860704775590985
Position 4121: 0.0701490367720221
Position 369: 0.06121738279764995
Position 1479: 0.05547867210429402
Position 7522: 0.05106144940430542
Position 5468: 0.049337889819673304
Position 7159: 0.04761882665779111
Position 7234: 0.04761700332703213
Position 6511: 0.04583035630153027
Position 4176: 0.032493131028284924
Position 2820: 0.031839059211809996
Position 1693: 0.028990578512400954
Position 5348: 0.028739710948547402
Position 4155: 0.028028655825627607
Position 7449: 0.027251738023982175
Position 4885: 0.024977288892206344
Position 3939: 0.02437976763630862
Position 168: 0.024191339067623902
Position 7163: 0.021995828783338868
Position 2007: 0.02034982831660336
Position 1731: 0.02010766137746971
Position 3222: 0.0190245019633904
Position 484: 0.018068435667503442
Position 4053: 0.01585937452422955
Position 2550: 0.013415271223208729
Position 6254: 0.013320198889645673
Position 7531: 0.012946611672768395
Position 5661: 0.01291098524942906
Position 5188: 0.012148051593922982
Position 1715: 0.011983111515378156
Position 2953: 0.00997218730892721
Position 5069: 0.009806004151123692
Position 1485: 0.006807791120157962
Position 5289: 0.00655953080306169
Position 1451: 0.0063151028724824695
Position 3208: 0.006301082717460874
Position 2904: 0.006157046553352011
Position 6740: 0.005397142943606698
Position 1639: 0.004782166076765857
Position 4982: 0.00477543866644012
Position 3780: 0.00475781300150522
Position 137: 0.004548519046447646
Position 3908: 0.0044109643946098585
Position 900: 0.004283671018869701
Position 1707: 0.0038985356660690743
Position 4362: 0.0038908673911378835
Position 1174: 0.0038592823176212556
Position 3125: 0.003558697235934548
Position 6505: 0.003455554974138008
Position 5376: 0.00331569903875903
Position 610: 0.003228825381829896
Position 1496: 0.0031714029753612933
Position 2042: 0.0028567594061091996
Position 1533: 0.0028205097168951918
Position 1312: 0.0027985064139354333
Position 7589: 0.002096030982125759
Position 1808: 0.002074484858587014
Position 1697: 0.002031110618383707
Position 1123: 0.0020150825051547558
Position 3418: 0.0020091564445894653
Position 3654: 0.0019773467148060594
Position 409: 0.0017382143643015105
Position 177: 0.0016679530292126553
Position 7264: 0.0014696524895606593
Position 999: 0.001429734379938113
Position 4139: 0.0014026014521942027
Position 4063: 0.0013247521428601423
Position 128: 0.0012604318892218095
Position 2617: 0.0012416571350846698
Position 69: 0.001211546523620692
Position 3060: 0.0011707701217726404
Position 5139: 0.001167076596838282
