Gene = TERT
index = 1389
Annotated 5SS: [  277  1735 12619 14890 15757 16407 22863 23929 26528 28584 30644 34574
 36450 39761 40680]
Annotated 3SS: [  380 12422 14708 15576 16250 22766 23842 26413 28511 30454 34446 36387
 39635 40541 41215]
SMsplice 5SS: [  277  1735 12619 15757 16407 17529 22863 23929 26528 28584 30644 30958
 33891 34574 36450 39761 40680]
SMsplice 3SS: [ 1627 12446 15576 16250 17456 22766 23842 26413 28511 30454 30871 33798
 34446 36387 39635 40541 41215]
top_k =  500
Partition function (log Z): 23.392638418794828

Sorted 5' Splice Sites (High to Low Probability):
Position 26528: 0.999994016108816
Position 36450: 0.9987387619126153
Position 1735: 0.9975275359076449
Position 30644: 0.9712045170384538
Position 22863: 0.946568268777106
Position 15757: 0.944678855319016
Position 23929: 0.9053004734537252
Position 28584: 0.8963271197428759
Position 16407: 0.8577826365827033
Position 39761: 0.7340618531576741
Position 30958: 0.7183641592060577
Position 12619: 0.6852937086176645
Position 17529: 0.6322919717448134
Position 277: 0.5545134085181175
Position 33891: 0.552343881898477
Position 24140: 0.524485730821631
Position 34574: 0.5151458016037481
Position 8883: 0.47246197240463117
Position 25333: 0.3944614200276678
Position 23585: 0.37681535727926424
Position 8924: 0.3601893472173293
Position 28833: 0.316702807499414
Position 32746: 0.27369679280989456
Position 669: 0.2605873930933023
Position 540: 0.2257374939644493
Position 18369: 0.21589197978316807
Position 118: 0.17046768633021758
Position 13717: 0.16708542242835764
Position 31393: 0.16104482800720293
Position 31967: 0.13700169032783438
Position 21255: 0.12722381069276575
Position 18444: 0.12224905221179656
Position 135: 0.11660491551853706
Position 14137: 0.09122004892106107
Position 16349: 0.08853428376668471
Position 24226: 0.08679492179567079
Position 28295: 0.08561522940601297
Position 34684: 0.08429087881496666
Position 32928: 0.07819303520148341
Position 33901: 0.07724834996338242
Position 26226: 0.07554493358114031
Position 24211: 0.0752569811627025
Position 14755: 0.07432214751286716
Position 23946: 0.06949455151993977
Position 14928: 0.06419957060302772
Position 18482: 0.06105938676416593
Position 17550: 0.06059044566523259
Position 12502: 0.06054580472365382
Position 40686: 0.055847235207546427
Position 17153: 0.0551345087658479
Position 22678: 0.05268940022337828
Position 36863: 0.0521576183653343
Position 18260: 0.05135455068338289
Position 516: 0.046206150612850425
Position 12523: 0.04353837039196768
Position 3102: 0.040137752811108846
Position 31353: 0.04001611474724018
