Gene = NPPB
index = 957
Annotated 5SS: [230 718]
Annotated 3SS: [ 461 1259]
SMsplice 5SS: [230 718]
SMsplice 3SS: [ 461 1259]
top_k =  500
Partition function (log Z): -4.879510799941477

Sorted 5' Splice Sites (High to Low Probability):
Position 230: 0.9570874700239377
Position 718: 0.8593277382889014
Position 1195: 0.16659572991523303
Position 573: 0.06099658843902837
Position 412: 0.031459459134400236
Position 1176: 0.013680638231176392
Position 553: 0.007483373383612916
Position 168: 0.0026683598554253737
Position 978: 0.0017322032436871216
Position 504: 0.001563690968998332
Position 195: 0.0012635845492668823
Position 656: 0.0011603790452433054
Position 370: 0.0011173876419184612
Position 15: 0.0010236306886196105
Position 424: 0.000807920129444193
Position 217: 0.0005655404850769689
Position 648: 0.00044211027534708775
Position 357: 0.00039184086201684854
Position 386: 0.00036955687709325447
Position 890: 0.0003280879264979015
Position 278: 0.0002432136289633614
Position 382: 0.00021461544635720627
Position 896: 0.00018094643077189496
Position 223: 0.0001339821755668457
Position 563: 0.00011848329420470764
Position 788: 0.00010812517654974056
Position 609: 0.0001071812406249701
Position 592: 8.774062916592758e-05
Position 396: 8.15401544072997e-05
Position 759: 6.91937124003723e-05
Position 1353: 5.126354381050997e-05
Position 873: 3.657114613621151e-05
Position 1173: 3.0406357821900053e-05
Position 1156: 2.8377479286741845e-05
Position 825: 1.2488350506517019e-05
Position 771: 1.1030718623033423e-05
Position 555: 1.035943262531631e-05
Position 1371: 9.704286456211821e-06
Position 325: 8.235123700772783e-06
Position 1338: 2.6229364812325343e-06
Position 84: 1.827587014985734e-06
Position 291: 1.2195743518958658e-08
Position 428: 4.113605527409318e-09
Position 491: 4.952798230711027e-10
Position 761: 1.6530018511944238e-10
Position 1008: 1.337100227547763e-10
Position 171: 1.2827650089203358e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1259: 0.8687113067762002
Position 461: 0.8318862960549013
Position 1113: 0.10977843784222625
Position 552: 0.0661297277484624
Position 997: 0.05737251028707612
Position 1060: 0.03947690594485921
Position 482: 0.038360625288502176
Position 856: 0.022263527329688403
Position 325: 0.01862344764418091
Position 957: 0.017458134444889535
Position 637: 0.008016435086678294
Position 503: 0.007849569462898366
Position 1404: 0.005484980416099104
Position 824: 0.0039550629056339616
Position 677: 0.0029676276964828397
Position 759: 0.0016411320964140905
Position 298: 0.0014403447970220728
Position 1013: 0.0011507402299629579
Position 1171: 0.0010755717027063289
Position 1005: 0.0009776696882353327
Position 467: 0.00094044063012328
Position 300: 0.0008311532400554887
Position 1318: 0.0006163180639892969
Position 533: 0.0005644077995065981
Position 963: 0.000492762614142932
Position 378: 0.00047413634441385204
Position 464: 0.0003542789182926068
Position 333: 0.0002790544324755383
Position 406: 0.00025322410215533885
Position 673: 0.00022059702761419912
Position 863: 0.00017296600378599104
Position 1068: 0.00017054072537355387
Position 890: 0.00016853381299659657
Position 1449: 0.00015996182655866867
Position 644: 0.0001113447914477418
Position 1072: 0.00010282322564489303
Position 1423: 8.845988900224828e-05
Position 819: 8.270233613080413e-05
Position 700: 7.666592952472138e-05
Position 1295: 6.596483969441058e-05
Position 1079: 6.149148268969087e-05
Position 576: 5.633243484569389e-05
Position 572: 5.4952802192355496e-05
Position 512: 5.4214923002218296e-05
Position 1017: 5.29785929924801e-05
Position 563: 5.2685361250667395e-05
Position 1266: 5.0927975202892935e-05
Position 382: 4.344415843091713e-05
Position 1353: 4.092566410998602e-05
Position 1462: 3.823361415917745e-05
Position 189: 2.9366566739076357e-05
Position 691: 2.784615570775228e-05
Position 536: 2.7114549920099283e-05
Position 340: 2.015353386853361e-05
Position 421: 1.876876991107671e-05
Position 538: 1.7753516776809805e-05
Position 93: 1.708971638132233e-05
Position 1074: 1.2369474023669004e-05
Position 229: 1.0063290456207539e-05
Position 1277: 9.631083363147065e-06
Position 654: 9.297168932333692e-06
Position 775: 9.28682166517745e-06
Position 167: 8.940180248048474e-06
Position 1118: 8.930577852091505e-06
Position 436: 7.888758767737075e-06
Position 1133: 6.709298073745469e-06
Position 509: 6.279198459664815e-06
Position 109: 6.1429004626077625e-06
Position 584: 2.2772251718762233e-06
Position 113: 1.5778285939388539e-06
Position 84: 9.933896953756999e-07
Position 200: 6.988310714558702e-07
Position 267: 6.839347489111123e-07
Position 95: 2.907317009142289e-07
Position 524: 2.1614981151728987e-07
Position 264: 1.537732222377893e-07
Position 351: 5.178842226599641e-08
Position 276: 3.162678839007332e-08
Position 497: 1.3759797740877084e-08
Position 349: 9.91497895537837e-09
Position 251: 3.773939872982419e-09
Position 246: 3.0785294030733883e-09
Position 241: 1.066136686983515e-09
Position 416: 2.8470565088667604e-10
Position 234: 2.6200699967345927e-10
Position 236: 6.245941163103348e-11
