Gene = ZBED8
index = 1588
Annotated 5SS: [459]
Annotated 3SS: [4557]
SMsplice 5SS: [459]
SMsplice 3SS: [1566]
top_k =  500
Partition function (log Z): -12.021234723803483

Sorted 5' Splice Sites (High to Low Probability):
Position 459: 0.47628140829006343
Position 1353: 0.35513653335985784
Position 1118: 0.30924280621014794
Position 789: 0.15736207881279962
Position 1104: 0.10914219143903087
Position 512: 0.10485133177355102
Position 388: 0.05160275828085194
Position 463: 0.02620156811253564
Position 82: 0.02353982463010243
Position 397: 0.021594363742958377
Position 2656: 0.020153534517232063
Position 454: 0.013280539758813738
Position 133: 0.004712537502629536
Position 615: 0.0035171791759114846
Position 2982: 0.003500271017087855
Position 1766: 0.003162675739333187
Position 163: 0.00172999548460004
Position 1158: 0.0016348559339530346
Position 375: 0.0012773864962584652
Position 502: 0.0012290476317637228
Position 203: 0.0009031690979446367
Position 1327: 0.0008277594729239198
Position 353: 0.0007196871736549353
Position 3335: 0.0005902753868118982
Position 704: 0.0005901333726936502
Position 621: 0.0005664927153778239
Position 608: 0.0005011075361372739
Position 1322: 0.0004375480245397948
Position 718: 0.0004096755226726995
Position 1172: 0.00018428558219766648
Position 1100: 0.00015458575276543397
Position 1722: 0.00015000188596075867
Position 1410: 0.00014878560937545428
Position 1015: 0.0001074434774600459
Position 1502: 0.00010680442799366381
Position 1023: 8.5070299708634e-05
Position 1108: 7.138061330766072e-05
Position 242: 5.2755481731096385e-05
Position 2469: 3.667392322966193e-05
Position 939: 3.218213877926113e-05
Position 795: 2.7148699022562617e-05
Position 1122: 2.698591234058444e-05
Position 554: 2.552856478455014e-05
Position 736: 2.4036725318028364e-05
Position 986: 2.1156449271257812e-05
Position 153: 2.099326139430767e-05
Position 85: 1.7529725353980548e-05
Position 697: 1.6167241212019627e-05
Position 1168: 1.5961732354752985e-05
Position 300: 1.5955045917158292e-05
Position 3151: 7.476077079350485e-06
Position 689: 5.710699610818095e-06
Position 539: 4.857856339945886e-06
Position 571: 3.5008819954747897e-06
Position 21: 9.48609416739984e-07
Position 411: 9.384835737177743e-07
Position 1450: 3.976487919218349e-07
Position 516: 3.432402619895741e-07
Position 1285: 8.859416085584997e-08
Position 1013: 6.835020791878262e-08
Position 1110: 3.760441365280772e-08
Position 793: 8.043322038252707e-10
Position 468: 3.597175680728609e-11
Position 330: 4.207221086392554e-12
Position 365: 6.448334566616414e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 1566: 0.6575872678038165
Position 1278: 0.35735292468051105
Position 884: 0.25603151073224234
Position 642: 0.07477806164606972
Position 4557: 0.047485823355460255
Position 2737: 0.03659096811038853
Position 3404: 0.035707250405936745
Position 2581: 0.03162559305375812
Position 1008: 0.015734982607518704
Position 5354: 0.015269459105014802
Position 1039: 0.015081901819102553
Position 3250: 0.013781163403669009
Position 5900: 0.011752121227375569
Position 2382: 0.011580262817682502
Position 2401: 0.009518939264291006
Position 1562: 0.00906693429132267
Position 986: 0.008952683912681907
Position 3052: 0.008332585415979598
Position 2599: 0.007976933779656834
Position 5915: 0.007055731950989471
Position 5542: 0.0059674602183388105
Position 675: 0.004894301899138272
Position 4615: 0.004025950470756496
Position 5939: 0.0034399341111586027
Position 2642: 0.003298681934357231
Position 5835: 0.0028415128235004163
Position 6903: 0.0028284192323718075
Position 897: 0.0025012752277281287
Position 955: 0.0024886976251161275
Position 2361: 0.002323135797810102
Position 2883: 0.0022777692437943595
Position 321: 0.0018558019207791838
Position 5239: 0.0018191175947211034
Position 1526: 0.0017429986344101923
Position 4132: 0.0016281641437986727
Position 2539: 0.0015774407543062228
Position 6069: 0.0014358074689918043
Position 1545: 0.0014262815302217929
Position 5052: 0.0013780373113991694
Position 4383: 0.0013118602185034187
Position 717: 0.0013079034248181876
Position 2912: 0.001305078163285869
Position 4512: 0.0011448856038008568
Position 1638: 0.0011090647786202272
Position 2753: 0.0009819089154714247
Position 1843: 0.0009460556834080449
Position 324: 0.0008154619495903299
Position 1187: 0.0007534815580826525
Position 2702: 0.0006060139683668146
Position 2227: 0.0004708812695915978
Position 1307: 0.0004217134543047844
Position 2282: 0.00039690201968826483
Position 458: 0.0003953866041702153
Position 921: 0.0003752967611208013
Position 1460: 0.00035977415584770474
Position 4152: 0.00033622266035172833
Position 483: 0.00032422974217129864
Position 1765: 0.000261157015437685
Position 3127: 0.00023561676005860735
Position 1711: 0.0002159494912440016
Position 375: 0.00014837381470640218
Position 906: 0.00014717544804012818
Position 2019: 0.0001220454329000069
Position 1132: 0.00012203252952812609
Position 254: 0.00011860577318248637
Position 1061: 7.865538263420252e-05
Position 1108: 7.104620645656952e-05
Position 536: 4.3758353133864954e-05
Position 1046: 3.248676371005716e-05
Position 462: 2.1012983798721055e-05
Position 711: 1.1300097740510637e-05
Position 516: 9.678194169051125e-06
Position 563: 9.211280140318409e-06
Position 349: 4.7470082042307175e-06
Position 387: 4.5319293631588836e-06
Position 176: 3.79302379389062e-06
Position 267: 3.3418890372400937e-06
Position 491: 3.116821582137635e-06
Position 725: 2.5675653530525505e-06
Position 501: 2.4914097391264682e-06
Position 1066: 2.4252532062576867e-06
Position 793: 2.4140979895446957e-06
Position 682: 1.8732674403600356e-06
Position 524: 1.7651035307641153e-06
Position 552: 1.2064906949709362e-06
