Gene = UTS2
index = 1543
Annotated 5SS: [ 125  531 2620 3792]
Annotated 3SS: [ 507 2508 3747 5548]
SMsplice 5SS: [ 125 2620]
SMsplice 3SS: [2508 3852]
top_k =  500
Partition function (log Z): -8.714829255738419

Sorted 5' Splice Sites (High to Low Probability):
Position 125: 0.8697117695626619
Position 2620: 0.5905435566202779
Position 531: 0.3756600415818242
Position 3792: 0.2592236197833063
Position 2897: 0.22521007651970867
Position 2696: 0.05806551441702739
Position 1865: 0.02866317906356373
Position 3009: 0.021933638774443907
Position 4518: 0.02019714371280105
Position 796: 0.018606728505963566
Position 1893: 0.008983819852658366
Position 2878: 0.006876784854603824
Position 1432: 0.0020775694154089915
Position 2339: 0.0020038906317772524
Position 1787: 0.001972403559268317
Position 2062: 0.001618040952469841
Position 1550: 0.0015990801595525113
Position 2429: 0.0009267528915748758
Position 2587: 0.0003948687014294309
Position 1045: 0.00031060567959003343
Position 1002: 0.0002436645321139703
Position 255: 0.00014452511621868087
Position 324: 0.00014092615234912093
Position 204: 0.00010115565925275017
Position 348: 9.682150842676246e-05
Position 430: 5.76720708715139e-05
Position 62: 3.0348118920375854e-05
Position 739: 1.4429222284592292e-05
Position 12: 1.043452390325252e-05
Position 319: 8.804292731726475e-06
Position 2819: 7.333270711553106e-06
Position 2865: 7.210903055437323e-06
Position 555: 5.648764462725632e-06
Position 702: 4.85016980593634e-06
Position 372: 2.0757052012409733e-06
Position 705: 1.442846858180305e-06
Position 379: 1.3974711860379581e-06
Position 1123: 1.358002340641258e-06
Position 184: 8.404986598502887e-07
Position 129: 6.699282923802015e-07
Position 161: 6.197042819613642e-07
Position 594: 5.816999674782395e-07
Position 450: 2.937753160066008e-07
Position 419: 2.8215647431296094e-07
Position 1774: 2.1557942308067936e-07
Position 33: 1.3142488013023123e-07
Position 215: 1.858480073194025e-08
Position 226: 1.8402987427249002e-08
Position 781: 4.062305094940618e-09
Position 410: 2.866497047606109e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2508: 0.6038796104025893
Position 3747: 0.24379642662373888
Position 464: 0.21213939505010965
Position 5482: 0.1493685625377353
Position 2793: 0.14350300248828235
Position 2790: 0.12828860852916427
Position 3852: 0.12243398010443336
Position 4999: 0.11267573500194897
Position 5548: 0.11193837680547174
Position 1773: 0.06635863493745033
Position 2690: 0.05218553506753655
Position 2982: 0.04976112979704804
Position 3695: 0.042520952820427296
Position 4367: 0.03776288608250277
Position 2643: 0.03371630902663117
Position 4420: 0.031233336831750606
Position 2360: 0.03091107091871911
Position 5554: 0.029470998473575708
