Gene = CTBS
index = 417
Annotated 5SS: [  226  3883  4534  8624 10730 11208]
Annotated 3SS: [ 3743  4324  8451 10631 11045 19264]
SMsplice 5SS: [  226  3883  4534  8624 11220]
SMsplice 3SS: [ 3743  4324  8451 11045 24220]
top_k =  500
Partition function (log Z): -4.910763051735223

Sorted 5' Splice Sites (High to Low Probability):
Position 8624: 0.9898420529141904
Position 3883: 0.9766296623086701
Position 4534: 0.8404334398121922
Position 226: 0.7454924167862601
Position 11220: 0.6536748579727149
Position 10730: 0.5437238498572154
Position 11208: 0.3074464759490716
Position 433: 0.1653644988779514
Position 3692: 0.1348089718823818
Position 3680: 0.11515301782459444
Position 2689: 0.11121250505044344
Position 4872: 0.10670423201946555
Position 14139: 0.10182608064827348
Position 549: 0.09845480649229066
Position 10693: 0.08349561386048045
Position 6319: 0.07181822325506473
Position 8367: 0.05443906010751953
Position 2718: 0.044058124908712845
Position 13811: 0.033734545651001806
Position 10257: 0.026033660538528347
Position 6389: 0.02004223425192397
Position 3663: 0.01906240500635936
Position 8335: 0.018497130153381183
Position 8269: 0.017645378321239438
Position 3364: 0.016449037543524232
Position 14146: 0.01523824577614746
Position 2986: 0.014727630478119196
Position 5030: 0.014025077787436032
Position 2965: 0.013855417600963066
Position 1280: 0.013019903012658025
Position 8236: 0.011708244380368497
Position 865: 0.011262820374108947
Position 5952: 0.010654522845709358
Position 5147: 0.010118454598878994
Position 252: 0.00975496824493426
Position 5859: 0.009683631126520684
Position 7107: 0.009401342573742115
Position 8925: 0.005299198000625975
Position 4222: 0.004449380717435375
Position 8843: 0.004346184811912246
Position 2745: 0.004287174132040021
Position 4251: 0.004168097018641243
Position 11988: 0.003952665514285958
Position 10948: 0.0036343612624744927
Position 14: 0.003301925770486134
Position 284: 0.0030389667883408134
Position 2902: 0.0028336067102425902
Position 307: 0.002448364482876047
Position 8029: 0.0024354076012395266
Position 8574: 0.002341072287405043
Position 2541: 0.0023154410383085166
Position 12346: 0.0021939164090849983
Position 278: 0.0020510082165156175
Position 11409: 0.0020430189511391294
Position 16528: 0.0019673260337969407
Position 11115: 0.0019072810050771163
Position 10938: 0.0016092922731131857
Position 3658: 0.001396410495824997
Position 2600: 0.0013119096238456585
Position 710: 0.0013010272464288168
Position 10676: 0.001245270258375701
Position 2453: 0.0011899994140272812
Position 14220: 0.0008405027571380631
Position 8837: 0.0006679656967510999
Position 404: 0.0006582181081316694
