Gene = BRIX1
index = 142
Annotated 5SS: [ 522 3100 4508 6912 7213 7393 7676 7859 9600]
Annotated 3SS: [2987 4463 6840 7162 7318 7624 7756 9470 9849]
SMsplice 5SS: [ 522 3100 6912 7213 7393 7859 9600]
SMsplice 3SS: [2987 6840 7162 7318 7756 9470 9849]
top_k =  500
Partition function (log Z): -0.5370104050082358

Sorted 5' Splice Sites (High to Low Probability):
Position 522: 0.945320022966002
Position 7859: 0.9404896452957912
Position 7393: 0.93425698557311
Position 6912: 0.9039333467049081
Position 9600: 0.8643573704945925
Position 7213: 0.6918282240068158
Position 3100: 0.6330712433550796
Position 7676: 0.3903198751672681
Position 4508: 0.2392789484556966
Position 3397: 0.09786715407674464
Position 3260: 0.060376003390126574
Position 934: 0.053979188213787874
Position 7107: 0.049731470394292675
Position 3389: 0.04788352877332094
Position 6254: 0.03053104789257849
Position 8925: 0.027755654701948327
Position 1697: 0.02217573750385606
Position 635: 0.020638324723278666
Position 3286: 0.019093479906697644
Position 7521: 0.01604883407485278
Position 4521: 0.015261857966430484
Position 4479: 0.014294660585698076
Position 3644: 0.01401101061965214
Position 7411: 0.009873988267474503
Position 3377: 0.009751198276939268
Position 4795: 0.008942744184604993
Position 10018: 0.008166678525372135
Position 4791: 0.006558121631411644
Position 7096: 0.005966419507480289
Position 5349: 0.005304456993112955
Position 477: 0.005200347902966405
Position 5437: 0.004988759475387766
Position 9298: 0.003553970178044148
Position 10014: 0.003524558245231193
Position 7418: 0.0034886286176955767
Position 4926: 0.0034620000133471105
Position 3694: 0.00325503292853419
Position 2660: 0.0028759390410109265
Position 2577: 0.0028667660708464457
Position 9667: 0.0028223080128336403
Position 3311: 0.002621131094680958
Position 565: 0.0024030210375940875
Position 7255: 0.0021719575686807288
Position 3542: 0.002123146225782147
Position 7364: 0.0019275641868381852
Position 8497: 0.001596085229305794
Position 127: 0.0015111952549094968
Position 8778: 0.0014664245004850198
Position 2123: 0.0013280053243414352
Position 1403: 0.001205259700266651
Position 998: 0.0010520687021677985
Position 2341: 0.0010277602631382438
Position 1587: 0.0010123676535772382
Position 1090: 0.0008528212926278661
Position 2382: 0.0007767484774360008
Position 1557: 0.0007329764282027857
Position 4161: 0.0006812192199752542
Position 1349: 0.0006661365829219294
Position 8182: 0.0006661343980876452
Position 1033: 0.0006433134225039151
Position 1430: 0.0005953919920769715
Position 1943: 0.0005904687785646201
Position 3745: 0.0005494784111907709
Position 769: 0.0005471032439132154
Position 47: 0.0005196215674729391
Position 2563: 0.0005029720906199206
Position 1793: 0.00047106124307979517
Position 402: 0.0004291131881005807
Position 25: 0.00025423655018273154
Position 2043: 0.0002417812782719507
Position 639: 0.0002188647304565276
Position 3077: 0.00021344518845589256
Position 3758: 0.00020557247152348094
Position 3740: 0.00020223536320302824
Position 6922: 0.00019668591261939048
Position 3343: 0.0001423892886383279
Position 1106: 0.00013426944642241427
Position 1353: 0.0001313625551826525
Position 1133: 0.00012740376692361215
Position 2075: 0.00012590566703740916
Position 3362: 0.00011935337111325077
Position 2249: 9.572575994226924e-05
Position 7537: 8.440002904972043e-05
Position 4063: 7.938223424153145e-05
Position 1551: 6.940120597218518e-05
Position 1813: 6.856053955493329e-05
Position 8512: 3.9858410677554053e-05
Position 52: 8.82413549616157e-06
Position 9: 2.7917967980128903e-06
Position 1360: 2.428904423719769e-06
Position 8293: 2.2598702869996744e-06
Position 136: 1.9228572529492624e-06
Position 9769: 1.2042113063285475e-06
Position 617: 1.0459685549937228e-06
Position 513: 1.0327374657376572e-06
Position 9607: 9.983720289393068e-07
Position 581: 5.854886030373866e-07
Position 726: 5.072337142330163e-07
Position 806: 3.1462599265669424e-07
Position 798: 2.888578119387337e-07
Position 884: 2.5816367229814915e-07
Position 83: 2.384604814213204e-07
Position 176: 1.8289940360493222e-07
Position 1224: 1.6604302668187948e-07
Position 17: 1.5233012492677833e-07
Position 1160: 1.5139303640403134e-07
Position 801: 1.5025409860433117e-07
Position 7843: 1.2184921898249643e-07
Position 626: 8.931100817185475e-08
Position 534: 7.861697597779976e-08
Position 643: 2.8955063952052258e-08
Position 958: 2.7744901928617056e-08
Position 7774: 2.697621947491756e-08
Position 836: 1.022168896362242e-08
Position 905: 9.537344419679937e-09
Position 213: 6.955070104683503e-09
Position 877: 4.012051470390142e-09
Position 976: 2.2567461283276034e-09
Position 919: 4.483432678718833e-10
Position 852: 3.2916267905731093e-10
Position 388: 4.20198539477868e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 7318: 0.9560522457330011
Position 6840: 0.9234328966598929
Position 9849: 0.8074296358756679
Position 7756: 0.7636727589255496
Position 9470: 0.6920030575001943
Position 2987: 0.48126241035661615
Position 7162: 0.3432378509335562
Position 4463: 0.2613160647174952
Position 7520: 0.25458335966400863
Position 6983: 0.20723890463730532
Position 7624: 0.1889356620967321
Position 3031: 0.1672641564547572
Position 3310: 0.1284238343442283
Position 7103: 0.12811792464753496
Position 9498: 0.0978682949770236
Position 3191: 0.0909470002883527
Position 7478: 0.04644902585987366
Position 9533: 0.04525523834455427
Position 9822: 0.0411166018016065
Position 7134: 0.04010394342490537
Position 9717: 0.03216747716683766
Position 9504: 0.031860500426628954
Position 6189: 0.028133097517897495
Position 7005: 0.024783201845621605
Position 877: 0.022193385895520317
Position 7695: 0.0214942171361754
Position 7948: 0.019986576200589305
Position 7927: 0.017878705621410813
Position 10393: 0.01650773767854863
Position 4671: 0.014552483478173854
Position 7764: 0.012825820080982998
Position 9866: 0.012778366038332137
Position 1586: 0.010971064777704211
Position 1485: 0.010633967660806279
Position 9385: 0.010507471563979864
Position 7675: 0.010471039723092001
Position 10326: 0.010155935611780765
Position 8603: 0.010001496599002466
Position 7788: 0.009373012122228063
Position 3561: 0.008657476125826086
Position 4252: 0.008251440906904618
Position 8764: 0.008172046222501993
Position 7730: 0.008061713405416114
Position 7661: 0.007393604596945337
Position 9877: 0.007360073704608742
Position 9970: 0.006636240780305813
Position 9157: 0.006241010109353361
Position 615: 0.005539519894912162
Position 5325: 0.005398449408948427
Position 3579: 0.004933368205030407
Position 9188: 0.004382051645806086
Position 10147: 0.004143512546309792
Position 798: 0.004105552802499806
Position 5143: 0.004012388014601368
Position 10218: 0.003880017450340479
Position 8553: 0.0038393436204315653
Position 3232: 0.0033958320536277065
Position 9988: 0.003310664635563261
Position 3342: 0.0031418522147351148
Position 8411: 0.003071421544582163
Position 8801: 0.002975801000022194
Position 9542: 0.002881121657170552
Position 2557: 0.0027955462792971383
Position 8712: 0.002426901374318971
Position 6121: 0.0023979503746810083
Position 8715: 0.0020716987499234617
Position 7056: 0.0018336544166187674
Position 2456: 0.0016566405082902916
Position 3564: 0.001603356679328763
Position 2485: 0.0014806517130423135
Position 4335: 0.0014095759403693173
Position 4389: 0.0012104914046185448
Position 1929: 0.0011062422933039867
Position 1329: 0.000969106952415463
Position 839: 0.0009036283678381396
Position 5202: 0.0008823790449509269
Position 7341: 0.0008711179724995233
Position 8681: 0.0008612060774377657
Position 1661: 0.0008442417945325733
Position 997: 0.0008379417699968122
Position 1551: 0.0008120152272009008
Position 7271: 0.0007938322985291226
Position 3033: 0.000789553861731142
Position 8787: 0.0007706585353697283
Position 4041: 0.000760601454216785
Position 9890: 0.000756050600241253
Position 1897: 0.0007066397360688197
Position 4287: 0.0007031426497936071
Position 10439: 0.0006688139118340062
Position 1061: 0.0006519540912218739
Position 638: 0.0006412841229359422
Position 665: 0.0006334775551330059
Position 8649: 0.0005998650162255924
Position 2009: 0.0005379414564151868
Position 7836: 0.0005276201134721898
Position 7543: 0.0005218875350113878
Position 10223: 0.00047336590848513803
Position 10347: 0.00046257947557980104
Position 9587: 0.00044796341576575647
Position 3541: 0.0004469898233500187
Position 2993: 0.00040032291565159176
Position 2199: 0.0004000778740184756
Position 1455: 0.00037667839530591395
Position 4765: 0.00034617351404684255
Position 9197: 0.0003306474504094104
Position 1582: 0.0002983891603529879
Position 1982: 0.00029203278993700216
Position 8671: 0.00024693375790658565
Position 1211: 0.0002294304614051267
Position 9408: 0.0002282976956465233
Position 649: 0.00019436076347966735
Position 718: 0.00017147622320642735
Position 1266: 0.00016219993880196254
Position 9256: 0.0001516056865930744
Position 2150: 0.00013237444763188503
Position 834: 0.00012156822929681595
Position 7923: 0.00011467665090066836
Position 2235: 0.00011211189169590968
Position 8428: 0.00011082245126915861
Position 10398: 9.734568330654619e-05
Position 2434: 9.648174515140721e-05
Position 7587: 8.094707483539277e-05
Position 1823: 8.065297907870503e-05
Position 7363: 7.789358365407212e-05
Position 3123: 7.037658524438977e-05
Position 6883: 6.453942447780673e-05
Position 685: 6.274246865755663e-05
Position 905: 5.789736513045882e-05
Position 402: 5.2591156847152845e-05
Position 2193: 5.2237658225920426e-05
Position 620: 4.959065927509131e-05
Position 2247: 4.8624116746991795e-05
Position 1270: 4.824318142888252e-05
Position 599: 4.810514318656236e-05
Position 2451: 4.5032548554186245e-05
Position 1531: 4.1552436700064414e-05
Position 9298: 4.1341912228182325e-05
Position 1214: 4.039911160520772e-05
Position 3065: 3.4269434467968025e-05
Position 3626: 3.304466724784828e-05
Position 884: 2.9868130557269896e-05
Position 2865: 2.8715106813199163e-05
Position 2881: 2.7262913030118847e-05
Position 1871: 2.1957962687876647e-05
Position 806: 2.1836676776727988e-05
Position 1844: 2.0021814340138772e-05
Position 1561: 1.647639606386967e-05
Position 2536: 1.5571469524776122e-05
Position 3046: 1.4555516139490304e-05
Position 767: 1.2464925304645726e-05
Position 152: 1.1559846991000284e-05
Position 2042: 1.1357162535500165e-05
Position 185: 9.646002324983998e-06
Position 4316: 8.960225786658485e-06
Position 757: 5.530870133273558e-06
Position 3285: 4.362099817800998e-06
Position 3249: 2.9541674675036224e-06
Position 8654: 1.8306939995681245e-06
Position 3099: 1.6508020062884956e-06
Position 3275: 1.126106224034031e-06
Position 3096: 9.320199888643514e-07
Position 1334: 1.7402625106291825e-07
Position 1253: 1.5865399397819855e-07
Position 1237: 9.583648251647303e-08
Position 1165: 6.933688031787044e-08
Position 678: 4.226215514402239e-08
Position 1631: 9.303084941111204e-09
Position 228: 8.57977246543649e-09
Position 1112: 7.939096125550375e-09
Position 407: 6.497151658462434e-09
Position 297: 4.975522629829094e-09
Position 1011: 4.466031224952424e-09
Position 919: 3.139515470915741e-09
Position 1636: 1.4211668593859117e-09
Position 248: 1.3560004792363658e-09
Position 1712: 1.345379209327665e-09
Position 336: 1.2324882759316269e-09
Position 471: 1.192099724340245e-09
Position 236: 1.1030590667124665e-09
