Gene = DNALI1
index = 458
Annotated 5SS: [ 157  830 2578 4817 5327]
Annotated 3SS: [ 683 2407 4637 5161 8106]
SMsplice 5SS: [ 157  830 2578 5327 8912]
SMsplice 3SS: [ 683 2407 5161 8852 9660]
top_k =  500
Partition function (log Z): 2.253741169052621

Sorted 5' Splice Sites (High to Low Probability):
Position 5327: 0.9905342447095015
Position 157: 0.9402817928850995
Position 830: 0.9317477528127375
Position 8912: 0.6047372982232161
Position 2064: 0.5155256996217643
Position 2578: 0.49973720476261385
Position 2591: 0.3949412082531229
Position 4817: 0.38835248624897273
Position 5637: 0.29519894640363836
Position 2857: 0.2873911060090462
Position 5980: 0.17493709618351724
Position 4741: 0.11682639569947123
Position 8752: 0.09478135494298892
Position 4170: 0.07321792687860959
Position 3057: 0.0728460103521133
Position 1933: 0.06786316443679752
Position 9452: 0.06775248640946943
Position 1610: 0.05494422459084788
Position 9076: 0.054476105889676774
Position 5885: 0.0338127250459879
Position 2136: 0.033127935267982474
Position 4974: 0.02533648415571048
Position 569: 0.02494977789189501
Position 6104: 0.024078816281507015
Position 4955: 0.024019466716797375
Position 124: 0.02113439156004237
Position 3016: 0.019765316160403387
Position 299: 0.01807161892811732
Position 9165: 0.016228737285845063
Position 2285: 0.015351264765838575
Position 5835: 0.014115498438040013
Position 8794: 0.007257850679095079
Position 2582: 0.0057908496768089195
Position 2072: 0.0053540840453600086
Position 2036: 0.0044358194906998025
Position 5354: 0.004044607818684871
Position 105: 0.0039001546737651304
Position 3078: 0.003636583855502192
Position 620: 0.0034063858749803625
Position 5343: 0.002895687201827218
Position 3214: 0.002643628309517608
Position 838: 0.002490307520167867
Position 13: 0.002371348363693877
Position 2786: 0.002327104932209296
Position 3350: 0.0020743643537727073
Position 3610: 0.0019852652810009594
Position 2289: 0.0018493723417576013
Position 4912: 0.001565636930868177
Position 5264: 0.0013679163980035948
Position 2908: 0.0012082359103884716
Position 3834: 0.0011795319901396237
Position 407: 0.0010955101920777086
Position 229: 0.0010545341147523083
Position 4303: 0.001000903306456112
Position 459: 0.0005917000403270898
Position 2445: 0.0005055697400852425
Position 2238: 0.0004327106239162725
Position 8340: 0.00034565885135594846
Position 727: 0.00028330647497350675
Position 2495: 0.0002673454606112632
Position 2598: 0.00026514772637409626
Position 332: 0.00022676193737469264
Position 2185: 0.0002212325486440011
Position 2076: 0.0002003771073817129
Position 435: 0.00017860613141898576
Position 1929: 0.00015956791124092327
Position 268: 0.00014974175082776636
Position 2242: 0.0001319976139430834
Position 1910: 0.0001292344507590101
Position 5674: 0.00011224612028588288
Position 1774: 4.4445102450525316e-05
Position 1653: 3.739611494155035e-05
Position 4: 3.375407231684991e-05
Position 285: 3.203562918854055e-05
Position 1731: 2.8445340711185037e-05
