Gene = MEAF6
index = 826
Annotated 5SS: [  107  1341  5309  5486 12960 18057 18879]
Annotated 3SS: [ 1224  5220  5439 12766 18026 18844 20655]
SMsplice 5SS: [  107  1341  5309  5486 12960 13838]
SMsplice 3SS: [ 1224  5220  5439 12766 13745 20655]
top_k =  500
Partition function (log Z): 1.3981180065316852

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9908201953045019
Position 5309: 0.9888206612486768
Position 12960: 0.9653107163177005
Position 1341: 0.9459245624674169
Position 13838: 0.7608768583276515
Position 5486: 0.571971725225356
Position 9631: 0.5023488601398747
Position 15256: 0.2270699042463703
Position 18879: 0.16816153878954315
Position 2716: 0.12884441629332202
Position 13540: 0.10814008243531995
Position 7389: 0.08467932855636136
Position 9649: 0.07888320015558443
Position 18057: 0.06778690409436829
Position 13905: 0.05865804703755209
Position 6750: 0.04723313649419153
Position 5443: 0.0350824967279612
Position 13660: 0.027511526156515868
Position 4828: 0.025255480066431964
Position 13346: 0.02458013292514833
Position 13620: 0.0231741545016753
Position 1323: 0.02294642887986832
Position 19191: 0.018440855967479037
Position 20839: 0.017608842202411407
Position 18217: 0.015686661958362522
Position 13303: 0.015432761782769715
Position 15522: 0.01283314387124051
Position 15342: 0.0124323777017473
Position 14137: 0.010496562891976265
Position 2136: 0.009848309625801435
Position 14250: 0.00709698553787737
Position 18938: 0.00640687527410274
Position 417: 0.0062515370992001495
Position 5100: 0.005891469188362745
Position 7828: 0.0056083224881835515
Position 15260: 0.005007523363353393
Position 988: 0.004844543364203318
Position 9729: 0.004833303224858924
Position 1293: 0.0047656692417219785
Position 11453: 0.004640923700725223
Position 3613: 0.004631517029760451
Position 970: 0.0036837655189185035
Position 879: 0.0036268721766635897
Position 990: 0.0027747019892043756
Position 13599: 0.002703303248760468
Position 1380: 0.0026908313585620497
Position 2697: 0.002682714835815725
Position 14006: 0.00263732298899897
Position 5634: 0.002535088991460898
Position 1833: 0.002184783956056786
Position 4051: 0.002054163637477586
Position 3112: 0.0020131574306736758
Position 10545: 0.001845825895061224
Position 956: 0.0017171267927055037
Position 1048: 0.0016641576694740388
Position 19321: 0.0016587803063562367
Position 7253: 0.0016100568015316027
Position 894: 0.001443091337250344
Position 247: 0.0012885584720148467
Position 1192: 0.0011346344918930764
Position 14675: 0.001118952564278491
Position 413: 0.0011144012464551847
Position 430: 0.0011052918118109219
Position 5322: 0.0009488568063824812
Position 2981: 0.0009484634808071923
Position 992: 0.000780228534899463
Position 4133: 0.0007292856042258376
Position 7569: 0.0007215494370335508
Position 15361: 0.0006395002338152101
Position 2705: 0.0005833453325868761
Position 3245: 0.0005668899158447495
Position 374: 0.0005308512679151719
Position 1086: 0.00048569165710085654
Position 10758: 0.00047769037320345535
Position 14048: 0.0004251872551772641
Position 1792: 0.00037826339039768287
Position 5283: 0.00036321760456846966
Position 2905: 0.0003437740298473405
Position 5313: 0.00033949667070832477
Position 1699: 0.00033566594271991604
Position 1401: 0.00032835716200661465
Position 1358: 0.0003230853217149432
Position 13747: 0.0003003734335428059
Position 919: 0.00027486256998825507
Position 14325: 0.00026916277116738763
Position 626: 0.0002604655932516635
Position 447: 0.0002545094422630373
Position 6790: 0.00021788599772238547
Position 553: 0.0001448190729822058
Position 288: 0.00011839894579171105
Position 950: 0.00011793701062374551
Position 272: 0.00011786588944960777
Position 1118: 9.714844169609081e-05
Position 5563: 8.922462414400221e-05
