Gene = HNRNPCL2
index = 660
Annotated 5SS: [62]
Annotated 3SS: [272]
SMsplice 5SS: [62]
SMsplice 3SS: [272]
top_k =  500
Partition function (log Z): -6.611736489562803

Sorted 5' Splice Sites (High to Low Probability):
Position 62: 0.9689824448708805
Position 79: 0.015096851576342
Position 570: 0.015087826407680187
Position 123: 0.012700201140327326
Position 503: 0.003927384196349781
Position 375: 0.0034931357347163646
Position 29: 0.002456254340726717
Position 765: 0.0013317936332899163
Position 740: 0.00036557501309756284
Position 362: 0.00020166641673897688
Position 493: 0.00019585521944574862
Position 95: 0.00012937988219491144
Position 348: 7.777423996777153e-05
Position 105: 7.576309859314527e-05
Position 129: 3.19818408492367e-05
Position 113: 1.2521030449433269e-05
Position 1090: 1.0147850383220238e-05
Position 66: 9.072978948816003e-06
Position 550: 5.643459376117933e-06
Position 507: 5.133343600265484e-06
Position 161: 4.380933188453747e-06
Position 688: 3.8029009897173816e-06
Position 1096: 1.8662667929023851e-06
Position 505: 8.229351844856978e-08
Position 595: 5.640839359262558e-08
Position 535: 2.0528003590105012e-08
Position 317: 9.825665724151555e-09
Position 229: 9.026521239232248e-09
Position 295: 6.6982039843712465e-09
Position 466: 4.071130612990013e-09
Position 243: 2.081440644293787e-09
Position 822: 1.6024428635802464e-09
Position 6: 6.492192776874811e-10
Position 249: 2.5860964236144157e-10
Position 532: 2.516195292518642e-10
Position 246: 2.0458515941496233e-10
Position 280: 1.9449216398129853e-10
Position 226: 9.578288417483313e-11
Position 417: 7.588288116248926e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 272: 0.9757471620503442
Position 712: 0.017930861914097387
Position 874: 0.009796417291228293
Position 287: 0.006077314442351389
Position 658: 0.0037928399763338307
Position 739: 0.0020197070390444035
Position 655: 0.001355452207098173
Position 757: 0.0010637017187392357
Position 365: 0.0009862904628805502
Position 433: 0.0007941552679694435
Position 603: 0.0007839632027917859
Position 891: 0.0005682315583445004
Position 1266: 0.0003922905450197401
Position 540: 0.0003330525925080819
Position 1008: 0.00025005259237156544
Position 1234: 0.00023765175706547288
Position 477: 0.00023062459171149035
Position 461: 0.00018429337599802688
Position 901: 0.0001568032484686839
Position 942: 0.00015545500668304508
Position 996: 0.000134263162092131
Position 687: 0.00012681946717787502
Position 630: 9.77076199435816e-05
Position 1239: 8.302201391474074e-05
Position 342: 7.959075084835643e-05
Position 694: 7.376568732528013e-05
Position 196: 6.970540024225581e-05
Position 683: 6.890932590887008e-05
Position 1071: 6.870570123137607e-05
Position 966: 5.28142549304739e-05
Position 714: 4.7723319998850806e-05
Position 1029: 4.768474518138183e-05
Position 827: 4.7089909758566186e-05
Position 633: 3.750667212264832e-05
Position 1077: 3.546281125044025e-05
Position 300: 3.5402570992745284e-05
Position 570: 3.07207798275784e-05
Position 1186: 2.902668586858145e-05
Position 1189: 2.290291366111169e-05
Position 348: 2.1928416228990497e-05
Position 149: 1.827252729117552e-05
Position 917: 1.799040219912912e-05
Position 1005: 1.6121903823558124e-05
Position 1251: 1.090501857731724e-05
Position 730: 1.041137319459533e-05
Position 762: 1.0010796525349625e-05
Position 926: 9.962539987734678e-06
Position 1020: 9.530535499707454e-06
Position 302: 5.308750041564187e-06
Position 378: 4.41179344852684e-06
Position 375: 4.3601217899606244e-06
Position 975: 4.1585876515323175e-06
Position 555: 3.905460746609008e-06
Position 105: 3.852527825335212e-06
Position 835: 3.283459849224555e-06
Position 308: 3.207300792113398e-06
Position 1343: 1.9174681520657433e-06
Position 129: 1.8951635949397254e-06
Position 721: 3.6303447729412395e-08
Position 352: 2.7325875815684767e-08
Position 387: 5.70864806145372e-09
Position 134: 1.9807501593764213e-09
Position 381: 3.199250364393632e-10
Position 314: 1.2168776908194888e-10
Position 109: 1.938812440541069e-11
Position 118: 1.1863964705866896e-11
Position 83: 1.5352761458613035e-14
