Gene = RHBDD2
index = 1138
Annotated 5SS: [ 313 3289 4901]
Annotated 3SS: [2880 4749 9043]
SMsplice 5SS: [ 313 4853]
SMsplice 3SS: [4725 9043]
top_k =  500
Partition function (log Z): -5.141159855074791

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9932270069064997
Position 4853: 0.522084477641391
Position 4901: 0.46690179506274954
Position 2539: 0.4661090574800286
Position 1368: 0.16559339234119677
Position 6395: 0.134879445278263
Position 2543: 0.06815017842725218
Position 637: 0.033473753216383996
Position 5627: 0.02342852543158503
Position 3990: 0.02122834074528616
Position 1546: 0.011810072514188136
Position 4050: 0.01101797814101925
Position 183: 0.008566207447169325
Position 2534: 0.007493168312894964
Position 2635: 0.007303791076314643
Position 6303: 0.006067091548442265
Position 3852: 0.0060642194275564885
Position 2892: 0.005282173335920232
Position 1427: 0.005082180885833596
Position 7378: 0.004832891894781813
Position 536: 0.0033645286549335326
Position 5548: 0.002937487667191955
Position 167: 0.0028766654675129013
Position 1231: 0.002875183405625938
Position 3103: 0.0024120405329933663
Position 4257: 0.0022610142012680257
Position 2982: 0.0020749890801756705
Position 3945: 0.0018957617281295243
Position 3289: 0.0017983577993098626
Position 1351: 0.0017326625024041285
Position 3515: 0.0015468058616220964
Position 3932: 0.0014239649245630078
Position 155: 0.0011049156447985751
Position 2547: 0.0010554554368278665
Position 2991: 0.0008380214959416541
Position 3144: 0.0008216210735217545
Position 1648: 0.0007399804335948569
Position 587: 0.0007394221887538335
Position 3655: 0.0006742564676032143
Position 1091: 0.0005351564394481437
Position 3333: 0.0005314923722035162
Position 1715: 0.00048163643981486977
Position 2293: 0.00045261392419566985
Position 7147: 0.0004513786997537984
Position 3720: 0.0004179182058285348
Position 1591: 0.0003595936738329995
Position 860: 0.00034705360398112
Position 2057: 0.00032785466550962455
Position 1921: 0.0003274364534357149
Position 5401: 0.00031438507907839263
Position 2117: 0.000296780405886132
Position 1531: 0.0002704728153476237
Position 5647: 0.00023795177289544583
Position 2121: 0.00023053181587982815
Position 1131: 0.0001870860630374041
Position 823: 0.00017711241633312005
Position 650: 0.00014819086016304876
Position 173: 0.0001096591894691637
Position 1251: 9.246832871282207e-05
Position 1905: 7.923760180110324e-05
Position 1729: 6.324402098895041e-05
Position 1674: 5.456060435498138e-05
Position 1512: 4.504221243243048e-05
Position 1053: 1.2102656046591698e-05
Position 287: 1.0656496605310548e-05
Position 2674: 9.65037135673255e-06
Position 479: 8.899990866671325e-06
Position 157: 7.849199671433048e-06
Position 5225: 7.283635030748163e-06
Position 5088: 6.739345722279204e-06
Position 1204: 5.766379999843728e-06
Position 968: 4.855116014302267e-06
Position 2612: 4.770336753693984e-06
Position 1156: 4.086243652303694e-06
Position 868: 3.6939383807879852e-06
Position 175: 2.93442893059615e-06
Position 2434: 2.335772339712051e-06
Position 2470: 2.0804129363939863e-06
Position 368: 1.7471034821367561e-06
Position 104: 1.6280240795149373e-06
Position 433: 7.313674994067764e-07
Position 1690: 5.85935695666434e-07
Position 345: 3.722935140666495e-07
Position 225: 1.5283019020125953e-07
Position 1514: 9.718949643069474e-08
Position 508: 7.119333932591134e-08
Position 417: 1.2568156194172374e-08
Position 936: 1.0149026055000574e-08
Position 427: 5.6933811663654764e-09
Position 242: 5.023904526378292e-09
Position 48: 4.421555183796076e-09
Position 351: 2.4903500473808358e-09
Position 682: 9.869047464113998e-10
Position 495: 9.661170635968957e-10
Position 493: 4.0755453245992856e-10
Position 23: 1.4988127742325745e-10
Position 572: 5.482890538998804e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 4725: 0.7496511599478477
Position 2416: 0.5210987875608312
Position 9043: 0.3108963600133817
Position 4749: 0.16498532943836802
Position 1297: 0.13954535763400855
Position 6270: 0.08323186356839492
Position 4785: 0.07597053329412849
Position 9536: 0.07161671327911061
Position 6394: 0.06528056143063148
Position 9888: 0.053179992852771765
Position 6346: 0.049325236888769365
Position 6289: 0.04561330548072143
Position 9119: 0.04362115836049149
Position 6475: 0.03405734510944724
Position 9799: 0.03282181832861482
Position 3814: 0.031759285696285146
Position 9557: 0.03066962401733935
Position 8921: 0.029273954648265404
Position 8078: 0.02750760266319627
Position 9725: 0.027320393520865977
Position 2374: 0.026743334296156097
Position 6553: 0.026558993814156967
Position 7239: 0.02550150301451871
Position 9077: 0.022366174755954822
Position 515: 0.016697773352251016
Position 5318: 0.01663463168468739
Position 5456: 0.015749809095070972
Position 8394: 0.014634397649199124
Position 9259: 0.014582326159080141
Position 8697: 0.012681577814978678
Position 4967: 0.012638520657559804
Position 404: 0.012150941447851277
Position 2880: 0.010580402442494061
Position 1426: 0.009330493147856868
Position 8464: 0.009230137726982807
Position 8234: 0.008091028026115773
Position 7443: 0.00786050186756808
Position 1221: 0.0073132470308053055
Position 254: 0.006833858014105405
Position 5533: 0.00626343763993174
Position 1256: 0.005866427384587623
Position 1266: 0.00567971332453934
Position 908: 0.005484739893552513
Position 9227: 0.0053391026503127196
Position 5586: 0.00517688606531586
Position 461: 0.005075472018863217
Position 3929: 0.004752685118076879
Position 5298: 0.00473374640480386
Position 1119: 0.004544746592458855
Position 5039: 0.0045042623425490275
Position 9103: 0.004480505055493671
Position 1335: 0.004322045558272847
Position 6680: 0.004283563429187401
Position 9621: 0.004187589708385623
Position 2810: 0.0036234726854091227
Position 9441: 0.0035330321793273084
Position 8133: 0.003527023284058586
Position 3944: 0.0033804645259972697
Position 9319: 0.0033309573319101416
Position 7318: 0.0029383741656733185
Position 1079: 0.0026919758327606366
Position 3902: 0.002688533962630011
Position 9200: 0.0026255271271451723
Position 2357: 0.0025858505591944644
Position 1591: 0.0018557936578533117
Position 4991: 0.0018361021997256204
Position 7061: 0.0017877504865646439
Position 9891: 0.0017855920345584146
Position 3403: 0.0016855536745975894
Position 8557: 0.001547475940041574
Position 6573: 0.0014767316518044993
Position 582: 0.0014764351139025834
Position 1094: 0.0014561697288460644
Position 5128: 0.0013713080198650754
Position 6791: 0.0012464664499920617
Position 4825: 0.0012455732883951114
Position 257: 0.0011465208105353542
Position 5483: 0.0011006641613184123
Position 382: 0.0010701672386075978
Position 7618: 0.0010105291919748401
Position 7499: 0.0009925164519731925
Position 7037: 0.0009887952623905565
Position 5293: 0.0009418878872617689
Position 5547: 0.0008938514050182352
Position 3242: 0.0008049243023783085
Position 3864: 0.0007014219702757967
