Gene = SETD9
index = 1249
Annotated 5SS: [ 484 2277 3875 4730 5707]
Annotated 3SS: [1908 3750 4613 5600 7554]
SMsplice 5SS: [ 201 3875 4730 5707]
SMsplice 3SS: [3750 4613 5600 7554]
top_k =  500
Partition function (log Z): -1.8759708379671807

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.9337779062583913
Position 5707: 0.9210016289548417
Position 201: 0.8789999728362896
Position 4730: 0.8206685430850699
Position 2277: 0.25749090411143116
Position 605: 0.0854513221599827
Position 621: 0.060558160907232636
Position 484: 0.05283302339239146
Position 206: 0.04283377586173617
Position 5092: 0.04147388339793639
Position 2261: 0.030099454678725688
Position 2220: 0.029734329683043178
Position 2269: 0.029252177724794517
Position 1852: 0.028614798429079786
Position 925: 0.028560871003206995
Position 4707: 0.028131911192079077
Position 5268: 0.022250554294280484
Position 6473: 0.0216519481469758
Position 1135: 0.019429811810599027
Position 919: 0.01369103792489501
Position 4751: 0.011203936377864439
Position 2368: 0.01061262250229708
Position 749: 0.01019378193177871
Position 5137: 0.009450619379087324
Position 2623: 0.008805945693707214
Position 1663: 0.008328902009164151
Position 2243: 0.008287646352979006
Position 2099: 0.007137728650348268
Position 1118: 0.0060197671087582495
Position 2133: 0.005746345939788601
Position 5792: 0.005546752497587455
Position 872: 0.005045575831451834
Position 5301: 0.0042620165037016875
Position 1985: 0.0042582241488014734
Position 4267: 0.004241492320863389
Position 2999: 0.0036105426258924355
Position 6251: 0.0033285991031181093
Position 7460: 0.0032149558680933683
Position 698: 0.0031993354947315237
Position 2754: 0.002775341658747079
Position 634: 0.0024736409867648205
Position 6433: 0.0014094262061418793
Position 436: 0.001075601164841834
Position 1220: 0.0009208682053159281
Position 7330: 0.0009074699562460385
Position 7666: 0.0008488214036413664
Position 1310: 0.000705734059112466
Position 3828: 0.0006887528082420522
Position 6571: 0.0006704730023878891
Position 5180: 0.0006584125024676225
Position 1964: 0.0006124365809971255
Position 4404: 0.0005015908536659593
Position 1946: 0.0004994987779325085
Position 58: 0.0004703250277206577
Position 1684: 0.00046171874519986624
Position 6919: 0.0004587611232466136
Position 3864: 0.00044102810458202424
Position 27: 0.0003489733226520065
Position 959: 0.00032473440385416064
Position 6122: 0.000281013346603716
Position 6757: 0.00024068961995077072
Position 5309: 0.00023733628816545677
Position 1262: 0.00018536609846825573
Position 7634: 0.00018247871729667705
Position 950: 8.203359140135952e-05
Position 1049: 7.863916831985369e-05
Position 1355: 5.710107235555502e-05
Position 76: 5.462648261313631e-05
Position 1496: 4.376152851680897e-05
Position 245: 3.5868813004622225e-05
Position 4814: 2.8742882896111933e-05
Position 844: 2.0504538640455344e-05
Position 1341: 1.9083426043545187e-05
