Gene = HEMGN
index = 645
Annotated 5SS: [ 336 2223 8359]
Annotated 3SS: [ 2128  7171 10914]
SMsplice 5SS: [ 336 7254]
SMsplice 3SS: [ 7171 10914]
top_k =  500
Partition function (log Z): -7.339476884683332

Sorted 5' Splice Sites (High to Low Probability):
Position 336: 0.9712867759080441
Position 7254: 0.6569055772304062
Position 2223: 0.39077833371824267
Position 5159: 0.09490895803673007
Position 8359: 0.07305147525593533
Position 2385: 0.0703738672761191
Position 6937: 0.03526524087254633
Position 6762: 0.029968810332057262
Position 4336: 0.02962112945208204
Position 8742: 0.02711662276537447
Position 8383: 0.024397784605434163
Position 6016: 0.02063964733038353
Position 3916: 0.017029844028289578
Position 384: 0.016586828763640305
Position 569: 0.014866295710889037
Position 2424: 0.013903947824082588
Position 2522: 0.013852387935073318
Position 2228: 0.011349155839318904
Position 1207: 0.007637562096199408
Position 9186: 0.0064880441625365295
Position 9978: 0.006297629238381931
Position 7617: 0.006066795776834102
Position 5081: 0.005421576283033903
Position 6727: 0.005265854108111416
Position 11027: 0.004276571795728681
Position 948: 0.0038284749839521976
Position 6011: 0.003757661046176536
Position 1256: 0.003526094091703731
Position 3492: 0.0033744000489310737
Position 7347: 0.00310976815939992
Position 8290: 0.0027582656393082125
Position 1611: 0.0026588395577825945
Position 10135: 0.0023949817060631732
Position 2432: 0.0018187682934841902
Position 3038: 0.0017548534283245484
Position 244: 0.0017320704984560256
Position 6079: 0.001193927479857118
Position 3226: 0.0011731055446179074
Position 1260: 0.0008142963012933358
Position 5850: 0.0007845662131863621
Position 1733: 0.0007194765971334957
Position 7377: 0.0007046404288710611
Position 931: 0.0006110603222745198
Position 2709: 0.0005693913040328131
Position 6607: 0.0004781011546913087
Position 2697: 0.00038085131762486703
Position 4309: 0.0003471545850287193
Position 491: 0.000195018028691668
Position 1883: 0.00018996832257438918
Position 2283: 0.00018121642876366335
Position 151: 0.00014324276592223446
Position 1170: 0.00010914224815435661
Position 1072: 8.390121401944886e-05
Position 890: 7.99799085698072e-05
Position 1111: 7.596905043835007e-05
Position 134: 7.036813741390935e-05
Position 149: 6.977812185427753e-05
Position 1352: 6.888761023312272e-05
Position 1778: 6.322975059838613e-05
Position 361: 4.761117915945993e-05
Position 367: 4.123963423016791e-05
Position 935: 3.1798032827338866e-05
Position 1204: 1.2314542118180917e-05
Position 129: 1.1820583019040876e-05
Position 2188: 5.711291527956515e-06
Position 2091: 3.680723009739419e-06
Position 65: 3.6402823875189727e-06
Position 93: 3.2365214294959577e-06
Position 2271: 2.788463299630496e-06
Position 174: 2.672186139080435e-06
Position 153: 1.9872144807454367e-06
Position 77: 1.9135433670846303e-06
Position 158: 6.296512001924712e-07
Position 99: 5.97932940540275e-07
Position 23: 4.6294824931007086e-07
Position 155: 3.640906519557753e-07
Position 58: 2.2545868402991162e-07
Position 63: 2.0806640382077653e-07
Position 535: 1.6974502985623987e-07
Position 968: 7.127087071700368e-08
Position 172: 4.50688638297683e-08
Position 566: 2.9611233477755945e-08
Position 96: 2.1337927765621473e-08
Position 222: 1.540987853706756e-08
Position 500: 1.2638067338324312e-08
Position 181: 4.725508540937422e-09
Position 983: 1.7129443573383138e-09
Position 460: 8.613379589165796e-10
Position 905: 6.143058361406536e-10
Position 851: 1.6008522335371564e-10
Position 542: 1.163137724167813e-10
Position 894: 8.905395653710857e-11
Position 216: 2.1277478525066233e-11
Position 613: 7.40789105554063e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 7171: 0.7968700250190358
Position 10914: 0.7761891800127235
Position 2128: 0.38432140427633826
Position 4986: 0.09395261199948664
Position 8271: 0.07710253115107513
Position 2362: 0.06305890033719651
Position 1970: 0.03499917022006851
Position 6502: 0.03045505050498958
Position 5953: 0.026164210965558387
Position 8668: 0.024089426158712086
Position 8049: 0.01715216949529446
Position 2067: 0.017079590154325742
Position 6522: 0.016057646334595915
Position 11236: 0.015914173061881844
Position 4053: 0.015059342969762612
Position 10680: 0.012075361411236664
Position 10047: 0.0103590959595899
Position 7136: 0.009021540436489851
Position 9877: 0.00872855644040996
Position 1071: 0.008355186020800055
Position 6700: 0.007688834592095327
Position 4213: 0.007645188995907539
Position 7509: 0.007496119878846323
Position 6872: 0.007270106537513105
Position 11131: 0.0071056364986238655
Position 9082: 0.006744395636295487
Position 6633: 0.006501568552059309
Position 8358: 0.006292144068557666
Position 2131: 0.0057751252068783095
Position 3759: 0.005163054225280954
Position 6677: 0.005065154802708913
Position 524: 0.004864591419616652
Position 4908: 0.004697291377599365
Position 8480: 0.0045390158757515455
Position 3790: 0.004313515630235826
Position 5030: 0.004231464988535105
Position 8936: 0.00410140936388544
Position 4210: 0.0039330277943517115
Position 997: 0.0039284658057715935
Position 873: 0.0038100597333327155
Position 4123: 0.0037659940297938496
Position 3777: 0.0033690819430339846
Position 5596: 0.0027647272921122188
Position 9453: 0.0027314297120479506
Position 9548: 0.002286062751960659
Position 3391: 0.001689153455601012
Position 6607: 0.0016769577100423083
Position 2939: 0.0016554081944603312
Position 1430: 0.0016227636554068323
Position 3814: 0.0015650439787427224
Position 3270: 0.001523426666385499
Position 3762: 0.0013800777650677537
Position 2967: 0.0013042816724506048
Position 3354: 0.0012661423442487728
Position 2339: 0.0012003322129357761
Position 3175: 0.0011087896330417976
Position 2023: 0.0009282608401703699
Position 7635: 0.0007232290726901621
Position 7178: 0.0007029210450889406
Position 1381: 0.0006426500449763915
Position 1291: 0.0006372833377343049
Position 3837: 0.000633368359846727
Position 1474: 0.0006220072447764462
Position 3704: 0.0005741444293573626
Position 8007: 0.0005710991374953669
Position 666: 0.0005375433326720581
Position 7821: 0.0005329176403359312
Position 5910: 0.0005168265401577263
Position 8858: 0.00036995429071610096
Position 4073: 0.0003496000711767121
Position 2497: 0.0003483588643765178
Position 7659: 0.0003382967796137237
Position 6447: 0.0002824614798439192
Position 2471: 0.00027182205492833305
Position 2082: 0.00023794278526413613
Position 447: 0.00022968702107554928
Position 9164: 0.00020439413654377972
Position 6153: 0.0001983894304756064
Position 7791: 0.00019662459126461746
Position 7362: 0.00019557009298927443
Position 7551: 0.00018541512624929972
Position 3115: 0.0001769854122007154
Position 1916: 0.0001722940121448421
Position 4389: 0.00017027242465334885
Position 2722: 0.0001697080968973874
Position 1092: 0.00015023231086256782
Position 460: 0.0001432833307144653
Position 433: 0.0001378936853926544
Position 500: 0.00013311911998336136
Position 1498: 0.00012743192010703338
Position 5486: 0.00012284718236589106
Position 1559: 0.0001126765358014283
Position 1349: 0.00010877879426043769
Position 5592: 9.886428730875163e-05
Position 1598: 9.167835459641118e-05
Position 2992: 9.084148171167018e-05
Position 4820: 8.526192319946702e-05
Position 1766: 7.638565302962761e-05
Position 851: 7.19892283260493e-05
Position 1672: 5.6767729288477326e-05
Position 6236: 5.2526029180787755e-05
Position 2027: 5.0791335142271406e-05
Position 4147: 4.823784527045345e-05
Position 771: 4.5018368340426846e-05
Position 252: 4.233238757370186e-05
Position 633: 4.0572126151549754e-05
Position 1990: 3.8341093029557166e-05
Position 4805: 3.265297737028325e-05
Position 1691: 3.1937238172707674e-05
Position 2754: 3.1233111996582083e-05
Position 239: 3.077694634509639e-05
Position 2950: 3.0645434844339446e-05
Position 4864: 2.8500900134086634e-05
Position 1306: 2.741545848635416e-05
Position 3665: 2.6360106284194253e-05
Position 201: 2.4953541381143816e-05
Position 208: 2.4122974354749916e-05
Position 1253: 2.3798912970317627e-05
Position 1814: 2.3705882575103465e-05
Position 2159: 2.358250297333993e-05
Position 226: 2.2435039167285867e-05
Position 3719: 2.1166298196698264e-05
Position 1233: 2.0997120147211213e-05
Position 4292: 1.8639726433680667e-05
Position 1708: 1.5525294814034924e-05
Position 3111: 1.4081299559234822e-05
Position 741: 1.2382616449779443e-05
Position 2818: 1.0889803589493656e-05
Position 1633: 1.0682655598091704e-05
Position 1600: 1.0669549798342538e-05
Position 1170: 1.011286617704589e-05
Position 317: 9.106576463724992e-06
Position 1255: 7.807686613326806e-06
Position 222: 5.933398996787864e-06
Position 551: 5.867264241639487e-06
Position 3868: 5.62767646750127e-06
Position 1983: 5.3404370522494214e-06
Position 1434: 5.071444863696816e-06
Position 289: 4.290272995759906e-06
Position 335: 3.8676504887650175e-06
Position 905: 3.7006694869118103e-06
Position 1351: 3.5625314721891124e-06
Position 947: 3.536065178710377e-06
Position 172: 3.3749614783528846e-06
Position 887: 2.68473811740699e-06
Position 2147: 2.5248434964662274e-06
Position 271: 2.4910580978895334e-06
Position 7173: 2.3765469039820072e-06
Position 2091: 2.18164860831376e-06
Position 818: 2.0462905168336025e-06
Position 2267: 1.986725433538647e-06
Position 320: 1.952430516704643e-06
Position 243: 1.5878829316577752e-06
Position 613: 1.5801751314376848e-06
Position 455: 1.548730046719533e-06
Position 236: 1.148707911009812e-06
Position 298: 1.0624888146026284e-06
Position 1882: 8.677725600746986e-07
Position 2006: 7.984842183484526e-07
Position 1872: 7.133755290207592e-07
Position 1818: 6.310395608248051e-07
Position 2286: 5.687287129152489e-07
Position 1800: 4.895344826067481e-07
Position 2283: 4.5224540653640733e-07
Position 2408: 1.6762457224982996e-07
Position 1437: 1.3100025266742182e-07
Position 1329: 1.2375302359640547e-07
Position 2231: 4.918568728075366e-08
Position 1023: 1.4943248379828408e-09
Position 1029: 1.2652630686662017e-09
Position 792: 6.903201976626815e-10
Position 743: 5.429676514132604e-10
Position 1044: 5.17287602783199e-10
Position 684: 4.7432762213515e-10
Position 1027: 4.3945069344187096e-10
Position 1051: 4.1106680480197947e-10
Position 1035: 4.105798958017256e-10
Position 566: 2.084246200562027e-10
Position 797: 1.2760062647648978e-10
Position 178: 1.1738848602407345e-10
Position 355: 1.0419982309408495e-10
Position 256: 7.489092098180881e-11
Position 322: 6.928310750948567e-11
Position 674: 6.797416100766227e-11
Position 912: 3.40800094839468e-11
Position 553: 3.2465270504737114e-11
Position 927: 2.4116662855200207e-11
Position 375: 1.1877081341641108e-11
