Gene = RP11-322N21.2
index = 1167
Annotated 5SS: [251]
Annotated 3SS: [848]
SMsplice 5SS: [251]
SMsplice 3SS: [848]
top_k =  500
Partition function (log Z): -10.087661831972

Sorted 5' Splice Sites (High to Low Probability):
Position 251: 0.728469621899157
Position 74: 0.2046872577341515
Position 197: 0.028758685069950093
Position 267: 0.02208531009268699
Position 371: 0.01131105657470456
Position 403: 0.004490148039757711
Position 277: 0.0024203020130275
Position 763: 0.002034952341249938
Position 25: 0.0008919540199829265
Position 149: 0.0007714136026682756
Position 310: 0.00035836847312944477
Position 530: 0.00028190259881479907
Position 140: 0.00011056257001560364
Position 116: 9.70917547621176e-05
Position 565: 9.625630922719108e-05
Position 719: 6.184613215803993e-05
Position 229: 5.364945956140639e-05
Position 231: 3.633107409178527e-05
Position 524: 1.3247521559790167e-05
Position 615: 8.098960623296818e-06
Position 108: 7.1296227741990884e-06
Position 282: 6.912033189396925e-06
Position 634: 6.6518604789103146e-06
Position 164: 5.830370443711243e-06
Position 114: 4.111883006028072e-06
Position 449: 2.550827061170998e-06
Position 666: 2.230325889182169e-06
Position 452: 1.1135097987335136e-06
Position 639: 1.0622575563490824e-06
Position 328: 7.74634987778957e-07
Position 315: 7.100441732923585e-07
Position 29: 1.272645340575392e-08
Position 53: 3.5801202819988047e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 848: 0.8842078692093466
Position 644: 0.048034812695004925
Position 892: 0.020689278761746276
Position 947: 0.01575844511412224
Position 855: 0.007292486494647431
Position 674: 0.00556993745258774
Position 354: 0.0047275842908185844
Position 895: 0.004242578714287773
Position 188: 0.0038500257685389902
Position 295: 0.0021554654611125918
Position 138: 0.0014467692732256629
Position 161: 0.0013340225812640816
Position 708: 0.0013095237593830035
Position 348: 0.001053556593532601
Position 104: 0.0006852443744680574
Position 559: 0.0006522382358568506
Position 164: 0.0006490784524222755
Position 864: 0.0005413743420495501
Position 523: 0.00028388707323638335
Position 304: 0.000250051815185306
Position 521: 0.00022938280505169903
Position 728: 0.00022071825856213067
Position 148: 0.00021791562616923645
Position 468: 0.000216182849249339
Position 517: 0.00019078941769548702
Position 250: 0.00017851783091472532
Position 655: 0.0001693142131545821
Position 719: 0.00013035840959378065
Position 759: 0.00010444048468005469
Position 571: 8.744570172072482e-05
Position 739: 6.059771645711988e-05
Position 803: 5.4616531402966254e-05
Position 362: 5.084899180488773e-05
Position 442: 4.545755843697179e-05
Position 978: 4.528241527847612e-05
Position 761: 3.535398545950182e-05
Position 229: 3.535011593290651e-05
Position 590: 3.528041045776671e-05
Position 474: 3.4610433484999e-05
Position 609: 3.412765956174706e-05
Position 275: 2.971544715805587e-05
Position 169: 1.6535216266446337e-05
Position 792: 1.6071344299817984e-05
Position 577: 1.2448062143842454e-05
Position 756: 1.1752794204090011e-05
Position 297: 1.0150625360327393e-05
Position 491: 8.111337539993608e-06
Position 786: 7.956919476012035e-06
Position 495: 7.64939945602359e-06
Position 905: 7.61142323801205e-06
Position 902: 7.406620627205455e-06
Position 370: 6.463756883157884e-06
Position 384: 5.205200407364459e-06
Position 255: 4.056657499374826e-06
Position 114: 3.6127284326292688e-06
Position 530: 2.9381479820849867e-06
Position 485: 2.0248478738836887e-06
Position 119: 1.7745120370569747e-06
Position 375: 1.573846605019321e-06
Position 788: 1.2990780558460604e-06
Position 125: 9.605088367835233e-07
Position 89: 9.423377854489986e-07
Position 128: 6.365012391887031e-08
Position 259: 4.714266229695207e-13
